,,,,nation,pos,age,born,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,,,,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1819,Tottenham,Michel Vorm,NED,GK,34,1983,2.0,4.0,0.0,0.0,2.0,0.0,4.2,0.32,0.2,0.11,4.0,12,33.3,51,17.0,15.7,24.7,10,40.0,35.6,18,1.0,5.6,2.0,1.0,15.4
ENG-Premier League,1819,Tottenham,Paulo Gazzaniga,ARG,GK,26,1992,3.0,2.0,0.0,0.0,0.0,0.0,4.3,0.33,2.3,0.77,15.0,44,34.1,82,13.0,29.3,29.3,26,76.9,54.7,42,2.0,4.8,2.0,0.67,13.1
ENG-Premier League,1819,Watford,Ben Foster,ENG,GK,35,1983,38.0,59.0,4.0,2.0,6.0,3.0,55.5,0.3,-0.5,-0.01,340.0,941,36.1,942,98.0,69.9,45.9,308,91.9,63.2,575,31.0,5.4,72.0,1.89,16.9
ENG-Premier League,1819,West Ham,Łukasz Fabiański,POL,GK,33,1985,38.0,55.0,4.0,0.0,10.0,1.0,62.7,0.31,8.7,0.23,306.0,825,37.1,917,155.0,59.0,43.0,309,91.9,61.3,554,29.0,5.2,16.0,0.42,12.1
ENG-Premier League,1819,Wolves,John Ruddy,ENG,GK,31,1986,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.1,0.14,5.0,11,45.5,14,2.0,35.7,37.9,7,85.7,49.7,15,1.0,6.7,0.0,0.0,11.0
ENG-Premier League,1819,Wolves,Rui Patrício,POR,GK,30,1988,37.0,46.0,3.0,1.0,6.0,4.0,39.3,0.27,-2.7,-0.07,213.0,541,39.4,579,103.0,52.8,39.1,284,82.7,50.5,493,14.0,2.8,18.0,0.49,12.1
ENG-Premier League,1819,Wolves,Will Norris,ENG,GK,24,1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,,0,0.0,,,0,,,0,0.0,,0.0,0.0,
ENG-Premier League,1920,Arsenal,Bernd Leno,GER,GK,27,1992,29.4,39.0,6.0,0.0,6.0,0.0,40.0,0.22,1.0,0.04,64.0,266,24.1,732,185.0,23.4,27.9,253,37.5,34.4,468,17.0,3.6,38.0,1.29,15.6
ENG-Premier League,1920,Arsenal,Emiliano Martínez,ARG,GK,26,1992,8.6,9.0,1.0,0.0,3.0,0.0,11.8,0.26,2.8,0.32,28.0,98,28.6,232,48.0,29.3,31.4,61,49.2,40.2,138,8.0,5.8,4.0,0.47,13.2
ENG-Premier League,1920,Aston Villa,Jed Steer,ENG,GK,26,1992,0.1,,,,,,0.0,,,,,1,,1,,0.0,26.0,1,100.0,65.0,1,,,,,
ENG-Premier League,1920,Aston Villa,Pepe Reina,ESP,GK,36,1982,12.0,20.0,2.0,0.0,2.0,0.0,14.7,0.22,-5.3,-0.44,95.0,202,47.0,302,51.0,48.3,37.2,94,59.6,42.6,168,8.0,4.8,14.0,1.17,16.1
ENG-Premier League,1920,Aston Villa,Tom Heaton,ENG,GK,33,1986,19.9,35.0,3.0,1.0,7.0,1.0,28.4,0.26,-5.6,-0.28,112.0,358,31.3,431,99.0,52.4,39.5,195,67.7,50.5,379,11.0,2.9,13.0,0.65,12.1
ENG-Premier League,1920,Aston Villa,Ørjan Nyland,NOR,GK,28,1990,6.0,12.0,0.0,0.0,0.0,0.0,8.5,0.31,-3.5,-0.59,33.0,104,31.7,128,29.0,46.9,40.0,53,83.0,57.1,80,4.0,5.0,1.0,0.17,9.9
ENG-Premier League,1920,Bournemouth,Aaron Ramsdale,ENG,GK,21,1998,37.0,62.0,5.0,4.0,4.0,0.0,60.7,0.3,-1.3,-0.04,183.0,607,30.1,843,185.0,48.2,39.2,288,69.8,53.5,591,20.0,3.4,25.0,0.68,11.6
ENG-Premier League,1920,Bournemouth,Mark Travers,IRL,GK,20,1999,1.0,3.0,0.0,0.0,0.0,0.0,1.9,0.39,-1.1,-1.07,2.0,9,22.2,23,5.0,21.7,29.2,7,57.1,43.4,12,0.0,0.0,1.0,1.0,13.3
ENG-Premier League,1920,Brighton,Mathew Ryan,AUS,GK,27,1992,38.0,54.0,2.0,0.0,7.0,2.0,50.2,0.29,-1.8,-0.05,207.0,412,50.2,1201,255.0,25.3,29.0,274,39.4,33.4,526,20.0,3.8,26.0,0.68,13.7
ENG-Premier League,1920,Burnley,Nick Pope,ENG,GK,27,1992,38.0,50.0,4.0,0.0,7.0,1.0,45.7,0.25,-3.3,-0.09,263.0,870,30.2,883,180.0,67.6,47.1,304,89.8,63.7,623,52.0,8.3,48.0,1.26,14.9
ENG-Premier League,1920,Chelsea,Kepa Arrizabalaga,ESP,GK,24,1994,33.0,47.0,2.0,2.0,7.0,2.0,33.7,0.32,-11.3,-0.34,83.0,250,33.2,892,151.0,20.6,28.3,198,33.3,32.7,343,20.0,5.8,35.0,1.06,16.0
ENG-Premier League,1920,Chelsea,Willy Caballero,ARG,GK,37,1981,5.0,7.0,0.0,0.0,2.0,1.0,3.8,0.23,-2.2,-0.45,19.0,52,36.5,136,17.0,30.9,31.4,28,35.7,32.9,46,1.0,2.2,3.0,0.6,16.0
ENG-Premier League,1920,Crystal Palace,Vicente Guaita,ESP,GK,32,1987,35.0,42.0,0.0,0.0,3.0,2.0,47.4,0.33,7.4,0.21,202.0,625,32.3,783,173.0,51.3,38.8,274,81.4,56.8,591,23.0,3.9,24.0,0.69,12.3
ENG-Premier League,1920,Crystal Palace,Wayne Hennessey,WAL,GK,32,1987,3.0,8.0,0.0,1.0,2.0,0.0,8.3,0.36,0.3,0.1,35.0,85,41.2,65,7.0,78.5,48.9,39,87.2,61.3,60,0.0,0.0,3.0,1.0,13.2
ENG-Premier League,1920,Everton,Jordan Pickford,ENG,GK,25,1994,38.0,56.0,3.0,3.0,5.0,3.0,50.2,0.32,-2.8,-0.07,270.0,730,37.0,1115,195.0,50.8,40.1,264,62.1,48.5,510,24.0,4.7,25.0,0.66,13.4
ENG-Premier League,1920,Leicester City,Kasper Schmeichel,DEN,GK,32,1986,38.0,41.0,8.0,0.0,5.0,2.0,44.3,0.26,5.3,0.14,180.0,398,45.2,951,159.0,31.5,33.0,241,40.7,36.1,507,14.0,2.8,34.0,0.89,17.2
ENG-Premier League,1920,Liverpool,Adrián,ESP,GK,32,1987,9.7,10.0,0.0,1.0,1.0,0.0,7.5,0.28,-2.5,-0.26,36.0,99,36.4,241,51.0,33.2,33.0,70,27.1,29.2,127,7.0,5.5,14.0,1.44,15.3
ENG-Premier League,1920,Liverpool,Alisson,BRA,GK,26,1992,28.3,23.0,1.0,0.0,1.0,1.0,19.7,0.24,-2.3,-0.08,85.0,189,45.0,778,140.0,18.4,27.4,167,27.5,30.9,299,10.0,3.3,63.0,2.23,19.2
ENG-Premier League,1920,Manchester City,Claudio Bravo,CHI,GK,36,1983,3.9,7.0,0.0,0.0,0.0,0.0,4.5,0.3,-2.5,-0.66,18.0,44,40.9,108,17.0,26.9,28.0,28,53.6,39.7,63,1.0,1.6,1.0,0.26,11.0
ENG-Premier League,1920,Manchester City,Ederson,BRA,GK,25,1993,34.1,28.0,3.0,1.0,4.0,1.0,29.6,0.29,2.6,0.08,74.0,183,40.4,939,178.0,15.4,26.0,139,27.3,30.0,260,14.0,5.4,63.0,1.85,19.3
ENG-Premier League,1920,Manchester Utd,David de Gea,ESP,GK,28,1990,38.0,36.0,3.0,1.0,8.0,1.0,34.7,0.25,-0.3,-0.01,83.0,262,31.7,672,153.0,28.4,30.6,268,26.5,29.0,489,10.0,2.0,22.0,0.58,15.0
ENG-Premier League,1920,Newcastle Utd,Martin Dúbravka,SVK,GK,30,1989,38.0,58.0,2.0,3.0,8.0,2.0,63.0,0.32,7.0,0.18,288.0,750,38.4,749,119.0,60.7,42.0,340,86.8,58.3,686,21.0,3.1,26.0,0.68,11.6
ENG-Premier League,1920,Norwich City,Michael McGovern,NIR,GK,35,1984,1.8,6.0,0.0,0.0,0.0,0.0,4.8,0.3,-1.2,-0.66,4.0,22,18.2,37,11.0,43.2,34.4,14,42.9,33.2,24,0.0,0.0,3.0,1.7,14.5
ENG-Premier League,1920,Norwich City,Ralf Fährmann,GER,GK,30,1988,0.2,1.0,1.0,,,,1.2,0.08,,,,2,,7,2.0,28.6,22.7,3,0.0,15.7,5,1.0,20.0,,,11.3
ENG-Premier League,1920,Norwich City,Tim Krul,NED,GK,31,1988,36.0,68.0,3.0,1.0,11.0,3.0,60.5,0.29,-4.5,-0.12,169.0,598,28.3,1248,198.0,35.8,34.6,332,45.5,39.0,653,29.0,4.4,23.0,0.64,12.7
ENG-Premier League,1920,Sheffield Utd,Dean Henderson,ENG,GK,22,1997,36.0,33.0,1.0,0.0,2.0,0.0,39.2,0.31,6.2,0.17,260.0,833,31.2,779,106.0,74.3,51.9,261,97.3,69.1,552,20.0,3.6,23.0,0.64,12.5
ENG-Premier League,1920,Sheffield Utd,Simon Moore,ENG,GK,29,1990,2.0,6.0,0.0,0.0,0.0,0.0,4.5,0.41,-1.5,-0.74,10.0,39,25.6,37,4.0,75.7,51.2,11,100.0,69.5,20,0.0,0.0,0.0,0.0,7.0
ENG-Premier League,1920,Southampton,Alex McCarthy,ENG,GK,29,1989,28.0,35.0,1.0,0.0,4.0,1.0,37.2,0.32,3.2,0.11,191.0,528,36.2,643,76.0,59.1,41.6,178,83.1,56.6,439,25.0,5.7,27.0,0.96,12.8
ENG-Premier League,1920,Southampton,Angus Gunn,SCO,GK,23,1996,10.0,25.0,2.0,1.0,1.0,0.0,17.5,0.28,-7.5,-0.75,38.0,178,21.3,181,27.0,62.4,42.3,77,84.4,55.5,139,4.0,2.9,12.0,1.2,17.0
ENG-Premier League,1920,Tottenham,Hugo Lloris,FRA,GK,32,1986,20.1,21.0,2.0,0.0,2.0,1.0,30.4,0.28,10.4,0.52,105.0,252,41.7,421,97.0,42.0,35.3,150,50.0,35.2,312,16.0,5.1,8.0,0.4,10.2
ENG-Premier League,1920,Tottenham,Paulo Gazzaniga,ARG,GK,27,1992,17.9,26.0,3.0,1.0,2.0,1.0,22.6,0.23,-2.4,-0.13,62.0,232,26.7,377,63.0,37.1,33.3,142,64.8,48.5,262,7.0,2.7,16.0,0.89,17.6
ENG-Premier League,1920,Watford,Ben Foster,ENG,GK,36,1983,38.0,64.0,8.0,3.0,7.0,3.0,62.6,0.31,1.6,0.04,302.0,923,32.7,912,118.0,71.7,46.9,295,91.2,62.2,581,30.0,5.2,55.0,1.45,15.9
ENG-Premier League,1920,West Ham,Darren Randolph,IRL,GK,32,1987,2.0,5.0,1.0,0.0,1.0,0.0,4.5,0.32,-0.5,-0.25,14.0,29,48.3,26,4.0,61.5,43.1,14,92.9,57.3,34,0.0,0.0,3.0,1.5,16.8
ENG-Premier League,1920,West Ham,David Martin,ENG,GK,33,1986,4.8,6.0,0.0,0.0,1.0,0.0,6.0,0.31,0.0,-0.01,39.0,101,38.6,79,12.0,74.7,46.9,44,95.5,60.8,83,1.0,1.2,1.0,0.21,12.4
