,,,players_used,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,url
,,,Unnamed: 3_level_1,Unnamed: 4_level_1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Unnamed: 17_level_1,Unnamed: 18_level_1,Unnamed: 19_level_1,Unnamed: 20_level_1,Unnamed: 21_level_1
league,season,team,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2021,vs Southampton,29,38,644,355,236,315,93,258,601,42.9,343,399,98,301,428,1072,680,14,/en/squads/33c895d4/2020-2021/Southampton-Stats
ENG-Premier League,2021,vs Tottenham,24,38,646,381,310,260,76,312,715,43.6,403,433,107,326,429,1075,615,15,/en/squads/361ca564/2020-2021/Tottenham-Hotspur-Stats
ENG-Premier League,2021,vs West Brom,30,38,554,328,256,235,63,241,505,47.7,264,296,75,221,328,882,672,13,/en/squads/60c6b05f/2020-2021/West-Bromwich-Albion-Stats
ENG-Premier League,2021,vs West Ham,24,38,562,328,279,218,65,244,542,45.0,298,405,116,289,364,926,710,9,/en/squads/7c21e445/2020-2021/West-Ham-United-Stats
ENG-Premier League,2021,vs Wolves,27,38,620,339,288,276,56,311,779,39.9,468,387,129,258,345,965,706,15,/en/squads/8cec06e1/2020-2021/Wolverhampton-Wanderers-Stats
ENG-Premier League,2122,vs Arsenal,27,38,608,339,314,212,82,271,590,45.9,319,427,164,263,364,972,737,18,/en/squads/18bb7c10/2021-2022/Arsenal-Stats
ENG-Premier League,2122,vs Aston Villa,31,38,598,343,278,246,74,254,587,43.3,333,356,127,229,339,937,743,6,/en/squads/8602292d/2021-2022/Aston-Villa-Stats
ENG-Premier League,2122,vs Brentford,29,38,505,285,216,225,64,214,476,45.0,262,423,132,291,381,886,830,12,/en/squads/cd051869/2021-2022/Brentford-Stats
ENG-Premier League,2122,vs Brighton,26,38,591,358,301,224,66,242,559,43.3,317,481,140,341,389,980,752,8,/en/squads/d07537b9/2021-2022/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2122,vs Burnley,23,38,512,306,249,202,61,221,479,46.1,258,369,104,265,280,792,853,9,/en/squads/943e8050/2021-2022/Burnley-Stats
ENG-Premier League,2122,vs Chelsea,26,38,643,356,337,237,69,260,624,41.7,364,487,169,318,376,1019,793,12,/en/squads/cff3d9bb/2021-2022/Chelsea-Stats
ENG-Premier League,2122,vs Crystal Palace,24,38,776,440,354,310,112,305,687,44.4,382,386,110,276,378,1154,712,16,/en/squads/47c64c55/2021-2022/Crystal-Palace-Stats
ENG-Premier League,2122,vs Everton,33,38,620,336,298,240,82,295,632,46.7,337,443,146,297,333,953,653,6,/en/squads/d3fd31cc/2021-2022/Everton-Stats
ENG-Premier League,2122,vs Leeds United,29,38,614,351,282,248,84,316,655,48.2,339,459,138,321,398,1012,735,20,/en/squads/5bfb9659/2021-2022/Leeds-United-Stats
ENG-Premier League,2122,vs Leicester City,28,38,618,370,262,264,92,250,547,45.7,297,455,117,338,400,1018,630,13,/en/squads/a2d435b3/2021-2022/Leicester-City-Stats
ENG-Premier League,2122,vs Liverpool,27,38,657,350,407,211,39,291,634,45.9,343,542,212,330,487,1144,999,18,/en/squads/822bd0ba/2021-2022/Liverpool-Stats
ENG-Premier League,2122,vs Manchester City,26,38,632,359,392,194,46,316,741,42.6,425,509,209,300,374,1006,909,24,/en/squads/b8fd03ef/2021-2022/Manchester-City-Stats
ENG-Premier League,2122,vs Manchester Utd,29,38,596,347,273,228,95,263,631,41.7,368,468,143,325,430,1026,686,17,/en/squads/19538871/2021-2022/Manchester-United-Stats
ENG-Premier League,2122,vs Newcastle Utd,29,38,632,364,298,260,74,273,632,43.2,359,373,120,253,268,900,665,12,/en/squads/b2b47a98/2021-2022/Newcastle-United-Stats
ENG-Premier League,2122,vs Norwich City,28,38,596,363,273,234,89,283,581,48.7,298,382,115,267,330,926,586,13,/en/squads/1c781004/2021-2022/Norwich-City-Stats
ENG-Premier League,2122,vs Southampton,25,38,640,357,309,249,82,274,624,43.9,350,438,137,301,349,989,820,18,/en/squads/33c895d4/2021-2022/Southampton-Stats
ENG-Premier League,2122,vs Tottenham,25,38,632,369,278,267,87,291,666,43.7,375,419,135,284,368,1000,676,10,/en/squads/361ca564/2021-2022/Tottenham-Hotspur-Stats
ENG-Premier League,2122,vs Watford,30,38,745,438,356,287,102,356,751,47.4,395,377,93,284,347,1092,608,15,/en/squads/2abfe087/2021-2022/Watford-Stats
ENG-Premier League,2122,vs West Ham,25,38,533,324,284,184,65,239,545,43.9,306,408,133,275,337,870,776,9,/en/squads/7c21e445/2021-2022/West-Ham-United-Stats
ENG-Premier League,2122,vs Wolves,26,38,662,388,297,277,88,321,771,41.6,450,404,108,296,383,1045,630,14,/en/squads/8cec06e1/2021-2022/Wolverhampton-Wanderers-Stats
ENG-Premier League,2223,vs Arsenal,26,38,668,387,402,202,64,290,641,45.2,351,516,186,330,360,1028,841,21,/en/squads/18bb7c10/2022-2023/Arsenal-Stats
ENG-Premier League,2223,vs Aston Villa,26,38,650,370,305,237,108,279,571,48.9,292,413,127,286,332,982,635,10,/en/squads/8602292d/2022-2023/Aston-Villa-Stats
ENG-Premier League,2223,vs Bournemouth,31,38,711,426,318,271,122,344,665,51.7,321,404,96,308,279,990,563,13,/en/squads/4ba7cbea/2022-2023/Bournemouth-Stats
ENG-Premier League,2223,vs Brentford,25,38,583,330,275,221,87,248,512,48.4,264,354,86,268,291,874,822,11,/en/squads/cd051869/2022-2023/Brentford-Stats
ENG-Premier League,2223,vs Brighton,29,38,603,350,312,220,71,279,624,44.7,345,505,160,345,417,1020,777,25,/en/squads/d07537b9/2022-2023/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2223,vs Chelsea,32,38,733,429,373,260,100,352,732,48.1,380,474,145,329,374,1107,792,10,/en/squads/cff3d9bb/2022-2023/Chelsea-Stats
ENG-Premier League,2223,vs Crystal Palace,26,38,771,436,370,299,102,314,681,46.1,367,449,136,313,366,1137,659,13,/en/squads/47c64c55/2022-2023/Crystal-Palace-Stats
ENG-Premier League,2223,vs Everton,28,38,596,365,270,258,68,296,601,49.3,305,384,122,262,275,871,727,14,/en/squads/d3fd31cc/2022-2023/Everton-Stats
ENG-Premier League,2223,vs Fulham,29,38,618,363,281,258,79,239,511,46.8,272,447,116,331,340,958,754,9,/en/squads/fd962109/2022-2023/Fulham-Stats
ENG-Premier League,2223,vs Leeds United,29,38,749,427,379,292,78,328,596,55.0,268,509,140,369,391,1140,740,13,/en/squads/5bfb9659/2022-2023/Leeds-United-Stats
ENG-Premier League,2223,vs Leicester City,28,38,558,336,263,217,78,245,536,45.7,291,475,112,363,339,897,600,16,/en/squads/a2d435b3/2022-2023/Leicester-City-Stats
