,,,players_used,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,url
,,,Unnamed: 3_level_1,Unnamed: 4_level_1,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Unnamed: 19_level_1,Unnamed: 20_level_1,xA,A-xAG,Unnamed: 23_level_1,Unnamed: 24_level_1,Unnamed: 25_level_1,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1
league,season,team,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1819,vs Manchester Utd,28,38,13430,17529,76.6,224440,85856,6749,7598,88.8,4761,5847,81.4,1330,2804,47.4,37,36.7,34.1,0.3,371,1027,288,66,1336,/en/squads/19538871/2018-2019/Manchester-United-Stats
ENG-Premier League,1819,vs Newcastle Utd,24,38,18449,23109,79.8,315246,107717,8766,9981,87.8,7050,8324,84.7,1900,3222,59.0,32,39.5,39.3,-7.5,349,1441,381,96,1868,/en/squads/b2b47a98/2018-2019/Newcastle-United-Stats
ENG-Premier League,1819,vs Southampton,30,38,16244,21051,77.2,282476,101329,7503,8704,86.2,6346,7649,83.0,1724,3166,54.5,49,40.7,36.2,8.3,383,1164,343,79,1574,/en/squads/33c895d4/2018-2019/Southampton-Stats
ENG-Premier League,1819,vs Tottenham,28,38,11840,15982,74.1,217278,86532,5431,6334,85.7,4181,5215,80.2,1691,3167,53.4,28,33.6,29.1,-5.6,342,933,255,72,1198,/en/squads/361ca564/2018-2019/Tottenham-Hotspur-Stats
ENG-Premier League,1819,vs Watford,25,38,15141,19586,77.3,264051,97503,7193,8267,87.0,5622,6834,82.3,1704,3104,54.9,38,39.5,37.2,-1.5,351,1200,344,89,1605,/en/squads/2abfe087/2018-2019/Watford-Stats
ENG-Premier League,1819,vs West Ham,26,38,15357,19548,78.6,258831,99119,7503,8474,88.5,5716,6817,83.8,1528,2825,54.1,40,46.7,40.2,-6.7,389,1322,336,73,1781,/en/squads/7c21e445/2018-2019/West-Ham-United-Stats
ENG-Premier League,1819,vs Wolves,21,38,16749,21077,79.5,286755,98460,7853,8839,88.8,6604,7767,85.0,1654,3076,53.8,32,27.7,29.4,4.3,312,1158,284,58,1573,/en/squads/8cec06e1/2018-2019/Wolverhampton-Wanderers-Stats
ENG-Premier League,1920,vs Arsenal,29,38,13968,17668,79.1,245849,89696,6592,7433,88.7,5474,6451,84.9,1506,2727,55.2,30,39.1,33.2,-9.1,415,1087,300,85,1369,/en/squads/18bb7c10/2019-2020/Arsenal-Stats
ENG-Premier League,1920,vs Aston Villa,28,38,16142,20266,79.7,279743,100721,7760,8725,88.9,6185,7276,85.0,1661,2984,55.7,44,46.6,39.9,-2.6,458,1350,383,74,1823,/en/squads/8602292d/2019-2020/Aston-Villa-Stats
ENG-Premier League,1920,vs Bournemouth,27,38,16667,21185,78.7,294977,98427,7405,8464,87.5,7039,8266,85.2,1705,3186,53.5,45,42.6,36.9,2.4,415,1241,366,86,1670,/en/squads/4ba7cbea/2019-2020/Bournemouth-Stats
ENG-Premier League,1920,vs Brighton,25,38,14322,18458,77.6,247084,86934,6790,7740,87.7,5484,6563,83.6,1527,2904,52.6,42,43.1,32.0,-1.1,376,992,297,63,1342,/en/squads/d07537b9/2019-2020/Brighton-and-Hove-Albion-Stats
ENG-Premier League,1920,vs Burnley,22,38,15824,20627,76.7,268946,94434,7570,8683,87.2,6129,7430,82.5,1544,3175,48.6,38,36.6,31.9,1.4,403,1105,352,86,1544,/en/squads/943e8050/2019-2020/Burnley-Stats
ENG-Premier League,1920,vs Chelsea,27,38,12445,16600,75.0,218822,82681,5803,6816,85.1,4884,5932,82.3,1342,2751,48.8,36,27.4,23.9,8.6,241,847,216,55,1151,/en/squads/cff3d9bb/2019-2020/Chelsea-Stats
ENG-Premier League,1920,vs Crystal Palace,25,38,16178,20387,79.4,283124,96926,7477,8506,87.9,6428,7601,84.6,1703,2988,57.0,36,40.0,36.7,-4.0,380,1280,328,81,1690,/en/squads/47c64c55/2019-2020/Crystal-Palace-Stats
ENG-Premier League,1920,vs Everton,24,38,14366,18648,77.0,255446,94202,6485,7476,86.7,5830,6928,84.2,1560,3010,51.8,39,34.2,29.6,4.8,317,1045,274,69,1405,/en/squads/d3fd31cc/2019-2020/Everton-Stats
ENG-Premier League,1920,vs Leicester City,24,38,12319,16545,74.5,215679,83904,5972,6985,85.5,4442,5529,80.3,1439,2821,51.0,26,29.2,27.5,-3.2,290,909,254,71,1214,/en/squads/a2d435b3/2019-2020/Leicester-City-Stats
ENG-Premier League,1920,vs Liverpool,24,38,10923,15242,71.7,191418,77636,5234,6146,85.2,4041,5171,78.1,1253,2832,44.2,23,29.6,22.2,-6.6,254,667,195,60,949,/en/squads/822bd0ba/2019-2020/Liverpool-Stats
ENG-Premier League,1920,vs Manchester City,24,38,10925,14396,75.9,193906,72013,5103,5826,87.6,4277,5020,85.2,1215,2603,46.7,25,23.1,19.5,1.9,199,662,168,40,801,/en/squads/b8fd03ef/2019-2020/Manchester-City-Stats
ENG-Premier League,1920,vs Manchester Utd,29,38,13147,17274,76.1,227370,83853,6180,7080,87.3,5020,6073,82.7,1402,2837,49.4,24,25.2,22.4,-1.2,275,912,209,56,1204,/en/squads/19538871/2019-2020/Manchester-United-Stats
ENG-Premier League,1920,vs Newcastle Utd,28,38,19474,23531,82.8,339292,109168,8883,9936,89.4,8230,9358,87.9,1849,3083,60.0,38,50.4,47.6,-12.4,444,1593,362,77,1882,/en/squads/b2b47a98/2019-2020/Newcastle-United-Stats
ENG-Premier League,1920,vs Norwich City,30,38,15431,19565,78.9,273323,96267,6951,7961,87.3,6154,7294,84.4,1749,3018,58.0,50,46.6,42.9,3.4,449,1322,424,103,1793,/en/squads/1c781004/2019-2020/Norwich-City-Stats
ENG-Premier League,1920,vs Sheffield Utd,26,38,17999,22602,79.6,316412,102270,8160,9268,88.0,7419,8694,85.3,1854,3409,54.4,28,38.1,31.4,-10.1,326,1150,258,60,1420,/en/squads/1df6b87e/2019-2020/Sheffield-United-Stats
ENG-Premier League,1920,vs Southampton,25,38,13419,18481,72.6,242017,92050,5891,7104,82.9,5607,7101,79.0,1529,3057,50.0,41,38.7,31.2,2.3,333,1041,301,79,1453,/en/squads/33c895d4/2019-2020/Southampton-Stats
ENG-Premier League,1920,vs Tottenham,29,38,14672,18848,77.8,258025,92485,6771,7728,87.6,5788,6945,83.3,1621,2954,54.9,27,34.0,32.2,-7.0,392,1153,298,85,1554,/en/squads/361ca564/2019-2020/Tottenham-Hotspur-Stats
ENG-Premier League,1920,vs Watford,26,38,17002,21471,79.2,292652,98057,7916,9018,87.8,6938,8154,85.1,1603,3020,53.1,37,39.4,32.3,-2.4,354,1253,287,66,1654,/en/squads/2abfe087/2019-2020/Watford-Stats
ENG-Premier League,1920,vs West Ham,29,38,17330,21591,80.3,296808,102799,8104,9093,89.1,7074,8231,85.9,1603,2924,54.8,49,48.7,41.1,0.3,388,1332,376,96,1724,/en/squads/7c21e445/2019-2020/West-Ham-United-Stats
ENG-Premier League,1920,vs Wolves,21,38,15811,19951,79.2,267919,93028,7591,8577,88.5,6174,7252,85.1,1485,2879,51.6,28,26.1,22.8,1.9,289,1098,255,68,1411,/en/squads/8cec06e1/2019-2020/Wolverhampton-Wanderers-Stats
ENG-Premier League,2021,vs Arsenal,29,38,15355,19093,80.4,264758,88749,7194,8000,89.9,6173,7125,86.6,1478,2802,52.7,25,31.8,26.6,-6.8,304,1095,262,64,1175,/en/squads/18bb7c10/2020-2021/Arsenal-Stats
ENG-Premier League,2021,vs Aston Villa,24,38,14251,18381,77.5,241489,88874,6833,7727,88.4,5491,6601,83.2,1347,2806,48.0,30,31.1,30.1,-1.1,375,1068,362,84,1549,/en/squads/8602292d/2020-2021/Aston-Villa-Stats
ENG-Premier League,2021,vs Brighton,27,38,15268,19240,79.4,256988,89029,7274,8189,88.8,6040,7081,85.3,1385,2707,51.2,30,23.3,25.0,6.7,264,1097,264,66,1302,/en/squads/d07537b9/2020-2021/Brighton-and-Hove-Albion-Stats
