,,,players_used,Age,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),url
,,,Unnamed: 3_level_1,Unnamed: 4_level_1,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,Unnamed: 25_level_1
league,season,team,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2122,Crystal Palace,24,27.1,38,3420,90,100,38,418,85,309.0,108,18,229,1.26,50,46,4,0.11,46.4,40.7,5.7,0.15,/en/squads/47c64c55/2021-2022/Crystal-Palace-Stats
ENG-Premier League,2122,Everton,33,26.7,38,3420,90,100,38,418,85,317.0,97,21,240,1.03,43,66,-23,-0.61,41.2,55.4,-14.2,-0.37,/en/squads/d3fd31cc/2021-2022/Everton-Stats
ENG-Premier League,2122,Leeds United,29,26.1,38,3420,90,100,38,418,82,312.0,106,29,234,1.0,42,79,-37,-0.97,44.4,67.8,-23.5,-0.62,/en/squads/5bfb9659/2021-2022/Leeds-United-Stats
ENG-Premier League,2122,Leicester City,28,26.5,38,3420,90,100,38,418,84,308.0,109,23,232,1.37,62,59,3,0.08,47.8,59.3,-11.5,-0.3,/en/squads/a2d435b3/2021-2022/Leicester-City-Stats
ENG-Premier League,2122,Liverpool,27,27.7,38,3420,90,100,38,418,85,306.0,111,19,231,2.42,94,26,68,1.79,88.7,33.8,54.9,1.45,/en/squads/822bd0ba/2021-2022/Liverpool-Stats
ENG-Premier League,2122,Manchester City,26,27.0,38,3420,90,100,38,418,86,338.0,79,20,261,2.45,99,26,73,1.92,88.7,24.6,64.0,1.68,/en/squads/b8fd03ef/2021-2022/Manchester-City-Stats
ENG-Premier League,2122,Manchester Utd,29,27.2,38,3420,90,100,38,418,85,303.0,114,20,227,1.53,57,57,0,0.0,55.8,53.0,2.8,0.07,/en/squads/19538871/2021-2022/Manchester-United-Stats
ENG-Premier League,2122,Newcastle Utd,29,27.5,38,3420,90,100,38,418,85,309.0,108,18,233,1.29,44,62,-18,-0.47,38.1,57.1,-19.0,-0.5,/en/squads/b2b47a98/2021-2022/Newcastle-United-Stats
ENG-Premier League,2122,Norwich City,28,26.2,38,3420,90,100,38,418,84,304.0,114,21,227,0.58,23,84,-61,-1.61,32.3,75.5,-43.2,-1.14,/en/squads/1c781004/2021-2022/Norwich-City-Stats
ENG-Premier League,2122,Southampton,25,25.7,38,3420,90,100,38,418,85,307.0,110,19,232,1.05,43,67,-24,-0.63,44.8,60.0,-15.2,-0.4,/en/squads/33c895d4/2021-2022/Southampton-Stats
ENG-Premier League,2122,Tottenham,25,26.5,38,3420,90,100,38,418,85,311.0,106,18,236,1.87,69,40,29,0.76,61.2,39.3,21.9,0.58,/en/squads/361ca564/2021-2022/Tottenham-Hotspur-Stats
ENG-Premier League,2122,Watford,30,28.4,38,3420,90,100,38,418,84,309.0,106,23,234,0.61,34,77,-43,-1.13,40.0,64.5,-24.5,-0.64,/en/squads/2abfe087/2021-2022/Watford-Stats
ENG-Premier League,2122,West Ham,25,28.2,38,3420,90,100,38,418,86,320.0,95,17,247,1.47,60,51,9,0.24,51.4,53.5,-2.1,-0.06,/en/squads/7c21e445/2021-2022/West-Ham-United-Stats
ENG-Premier League,2122,Wolves,26,27.3,38,3420,90,100,38,418,86,310.0,107,16,230,1.34,38,43,-5,-0.13,37.5,56.9,-19.4,-0.51,/en/squads/8cec06e1/2021-2022/Wolverhampton-Wanderers-Stats
ENG-Premier League,2223,Arsenal,26,24.7,38,3420,90,100,38,418,85,270.0,150,15,192,2.21,88,43,45,1.18,71.9,42.0,29.9,0.79,/en/squads/18bb7c10/2022-2023/Arsenal-Stats
ENG-Premier League,2223,Aston Villa,26,27.0,38,3420,90,100,38,418,83,274.0,144,20,193,1.61,51,46,5,0.13,50.2,52.5,-2.2,-0.06,/en/squads/8602292d/2022-2023/Aston-Villa-Stats
ENG-Premier League,2223,Bournemouth,31,26.3,38,3420,90,100,38,418,84,279.0,141,19,201,1.03,37,71,-34,-0.89,38.6,63.9,-25.3,-0.67,/en/squads/4ba7cbea/2022-2023/Bournemouth-Stats
ENG-Premier League,2223,Brentford,25,26.2,38,3420,90,100,38,418,82,247.0,171,19,171,1.55,58,46,12,0.32,56.8,49.9,6.8,0.18,/en/squads/cd051869/2022-2023/Brentford-Stats
ENG-Premier League,2223,Brighton,29,26.3,38,3420,90,100,38,418,83,277.0,143,19,199,1.63,72,53,19,0.5,73.3,50.2,23.1,0.61,/en/squads/d07537b9/2022-2023/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2223,Chelsea,32,26.3,38,3420,90,100,38,418,81,243.0,173,22,169,1.16,38,47,-9,-0.24,49.5,52.5,-3.0,-0.08,/en/squads/cff3d9bb/2022-2023/Chelsea-Stats
ENG-Premier League,2223,Crystal Palace,26,26.7,38,3420,90,100,38,418,84,277.0,138,17,204,1.18,40,49,-9,-0.24,39.3,48.1,-8.8,-0.23,/en/squads/47c64c55/2022-2023/Crystal-Palace-Stats
ENG-Premier League,2223,Everton,28,26.6,38,3420,90,100,38,418,84,300.0,116,20,225,0.95,34,57,-23,-0.61,45.2,65.7,-20.5,-0.54,/en/squads/d3fd31cc/2022-2023/Everton-Stats
ENG-Premier League,2223,Fulham,29,28.2,38,3420,90,100,38,418,84,265.0,152,15,190,1.37,55,53,2,0.05,46.2,63.8,-17.6,-0.46,/en/squads/fd962109/2022-2023/Fulham-Stats
ENG-Premier League,2223,Leeds United,29,25.3,38,3420,90,100,38,418,82,260.0,157,21,185,0.82,48,78,-30,-0.79,47.4,67.2,-19.8,-0.52,/en/squads/5bfb9659/2022-2023/Leeds-United-Stats
ENG-Premier League,2223,Leicester City,28,26.1,38,3420,90,100,38,418,82,278.0,138,23,203,0.89,51,68,-17,-0.45,50.6,63.4,-12.8,-0.34,/en/squads/a2d435b3/2022-2023/Leicester-City-Stats
ENG-Premier League,2223,Liverpool,28,27.4,38,3420,90,100,38,418,82,253.0,164,20,178,1.76,75,47,28,0.74,72.6,50.9,21.7,0.57,/en/squads/822bd0ba/2022-2023/Liverpool-Stats
ENG-Premier League,2223,Manchester City,24,27.2,38,3420,90,100,38,418,84,294.0,123,19,219,2.34,94,33,61,1.61,78.6,32.1,46.5,1.22,/en/squads/b8fd03ef/2022-2023/Manchester-City-Stats
ENG-Premier League,2223,Manchester Utd,26,26.9,38,3420,90,100,38,418,83,269.0,149,19,192,1.97,58,43,15,0.39,67.7,50.4,17.3,0.45,/en/squads/19538871/2022-2023/Manchester-United-Stats
ENG-Premier League,2223,Newcastle Utd,27,27.3,38,3420,90,100,38,418,84,263.0,155,16,185,1.87,68,33,35,0.92,72.0,39.6,32.4,0.85,/en/squads/b2b47a98/2022-2023/Newcastle-United-Stats
ENG-Premier League,2223,Nott'ham Forest,33,26.5,38,3420,90,100,38,418,82,261.0,159,21,183,1.0,38,68,-30,-0.79,39.3,64.2,-24.9,-0.66,/en/squads/e4a775cb/2022-2023/Nottingham-Forest-Stats
ENG-Premier League,2223,Southampton,36,24.7,38,3420,90,100,38,418,81,243.0,175,22,167,0.66,36,73,-37,-0.97,37.7,61.0,-23.3,-0.61,/en/squads/33c895d4/2022-2023/Southampton-Stats
ENG-Premier League,2223,Tottenham,29,27.6,38,3420,90,100,38,418,85,278.0,140,15,202,1.58,70,63,7,0.18,57.1,49.7,7.4,0.2,/en/squads/361ca564/2022-2023/Tottenham-Hotspur-Stats
ENG-Premier League,2223,West Ham,25,28.2,38,3420,90,100,38,418,84,286.0,132,20,204,1.05,42,55,-13,-0.34,49.2,53.0,-3.9,-0.1,/en/squads/7c21e445/2022-2023/West-Ham-United-Stats
ENG-Premier League,2223,Wolves,32,26.7,38,3420,90,100,38,418,80,248.0,165,24,175,1.08,31,58,-27,-0.71,36.8,59.9,-23.1,-0.61,/en/squads/8cec06e1/2022-2023/Wolverhampton-Wanderers-Stats
ENG-Premier League,2324,Arsenal,25,25.0,38,3420,90,100,38,418,84,263.0,154,17,188,2.34,91,29,62,1.63,76.1,27.9,48.2,1.27,/en/squads/18bb7c10/2023-2024/Arsenal-Stats
ENG-Premier League,2324,Aston Villa,31,26.9,38,3420,90,100,38,418,83,270.0,151,19,186,1.79,76,61,15,0.39,63.3,59.9,3.4,0.09,/en/squads/8602292d/2023-2024/Aston-Villa-Stats
ENG-Premier League,2324,Bournemouth,30,25.7,38,3420,90,100,38,418,82,247.0,170,20,171,1.26,54,67,-13,-0.34,55.9,58.1,-2.2,-0.06,/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats
ENG-Premier League,2324,Brentford,28,26.6,38,3420,90,100,38,418,83,247.0,170,16,172,1.03,56,65,-9,-0.24,58.2,56.0,2.2,0.06,/en/squads/cd051869/2023-2024/Brentford-Stats
ENG-Premier League,2324,Brighton,30,25.9,38,3420,90,100,38,418,80,239.0,176,23,166,1.26,55,62,-7,-0.18,56.8,55.4,1.4,0.04,/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2324,Burnley,31,24.5,38,3420,90,100,38,418,82,255.0,162,19,180,0.63,41,78,-37,-0.97,40.6,70.4,-29.7,-0.78,/en/squads/943e8050/2023-2024/Burnley-Stats
ENG-Premier League,2324,Chelsea,32,24.2,38,3420,90,100,38,418,84,267.0,148,17,193,1.66,77,63,14,0.37,74.5,58.1,16.4,0.43,/en/squads/cff3d9bb/2023-2024/Chelsea-Stats
ENG-Premier League,2324,Crystal Palace,26,26.7,38,3420,90,100,38,418,85,292.0,126,16,214,1.29,57,58,-1,-0.03,48.6,52.0,-3.4,-0.09,/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats
ENG-Premier League,2324,Everton,26,27.1,38,3420,90,100,38,418,85,299.0,121,19,218,1.26,40,51,-11,-0.29,54.0,55.2,-1.2,-0.03,/en/squads/d3fd31cc/2023-2024/Everton-Stats
ENG-Premier League,2324,Fulham,25,28.4,38,3420,90,100,38,418,82,244.0,170,18,171,1.24,55,61,-6,-0.16,50.8,62.9,-12.1,-0.32,/en/squads/fd962109/2023-2024/Fulham-Stats
ENG-Premier League,2324,Liverpool,30,26.3,38,3420,90,100,38,418,82,248.0,166,20,176,2.16,86,41,45,1.18,87.8,45.7,42.0,1.11,/en/squads/822bd0ba/2023-2024/Liverpool-Stats
ENG-Premier League,2324,Luton Town,28,26.7,38,3420,90,100,38,418,82,260.0,158,20,184,0.68,52,85,-33,-0.87,42.4,78.0,-35.5,-0.94,/en/squads/e297cd13/2023-2024/Luton-Town-Stats
ENG-Premier League,2324,Manchester City,25,26.6,38,3420,90,100,38,418,85,301.0,115,19,221,2.39,96,34,62,1.63,80.5,35.6,44.9,1.18,/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats
ENG-Premier League,2324,Manchester Utd,31,26.1,38,3420,90,100,38,418,84,266.0,153,17,189,1.58,57,58,-1,-0.03,56.5,68.9,-12.5,-0.33,/en/squads/19538871/2023-2024/Manchester-United-Stats
ENG-Premier League,2324,Newcastle Utd,32,27.2,38,3420,90,100,38,418,83,272.0,149,19,193,1.58,85,62,23,0.61,76.0,61.4,14.6,0.38,/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats
ENG-Premier League,2324,Nott'ham Forest,33,25.7,38,3420,90,100,38,418,83,257.0,158,18,182,0.95,49,67,-18,-0.47,49.9,53.2,-3.3,-0.09,/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats
ENG-Premier League,2324,Sheffield Utd,35,25.7,38,3420,90,100,38,418,81,263.0,152,23,188,0.42,35,104,-69,-1.82,38.3,76.7,-38.4,-1.01,/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats
ENG-Premier League,2324,Tottenham,29,25.2,38,3420,90,100,38,418,82,244.0,170,19,170,1.74,74,61,13,0.34,68.2,63.4,4.8,0.13,/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats
ENG-Premier League,2324,West Ham,26,28.3,38,3420,90,100,38,418,85,307.0,109,17,233,1.37,60,74,-14,-0.37,52.3,71.1,-18.8,-0.49,/en/squads/7c21e445/2023-2024/West-Ham-United-Stats
