,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1819,Brighton,Bernardo,BRA,DF,23,1995,19.5,0,8,3,37.5,0.41,0.15,0.0,0.0,17.6,0,0,0,0.4,0.4,0.06,-0.4,-0.4
ENG-Premier League,1819,Brighton,Bruno,ESP,DF,37,1980,12.6,0,2,0,0.0,0.16,0.0,0.0,,22.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1
ENG-Premier League,1819,Brighton,Dale Stephens,ENG,MF,29,1989,27.6,1,11,1,9.1,0.4,0.04,0.09,1.0,27.4,0,0,0,0.3,0.3,0.03,0.7,0.7
ENG-Premier League,1819,Brighton,David Button,ENG,GK,29,1989,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1819,Brighton,Davy Pröpper,NED,MF,26,1991,28.3,1,15,2,13.3,0.53,0.07,0.07,0.5,15.9,0,0,0,0.9,0.9,0.06,0.1,0.1
ENG-Premier League,1819,Brighton,Florin Andone,ROU,FW,25,1993,9.8,3,19,8,42.1,1.94,0.82,0.16,0.38,12.3,0,0,0,2.5,2.5,0.13,0.5,0.5
ENG-Premier League,1819,Brighton,Gaëtan Bong,CMR,DF,30,1988,20.1,0,2,0,0.0,0.1,0.0,0.0,,27.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1
ENG-Premier League,1819,Brighton,Glenn Murray,ENG,FW,34,1983,27.9,13,50,17,34.0,1.79,0.61,0.18,0.53,12.2,0,4,4,11.4,8.1,0.16,1.6,0.9
ENG-Premier League,1819,Brighton,José Izquierdo,COL,"MF,FW",26,1992,8.8,0,15,3,20.0,1.7,0.34,0.0,0.0,21.2,0,0,0,0.6,0.6,0.04,-0.6,-0.6
ENG-Premier League,1819,Brighton,Jürgen Locadia,NED,"FW,MF",24,1993,13.7,2,27,9,33.3,1.97,0.66,0.07,0.22,17.8,1,0,0,2.7,2.7,0.1,-0.7,-0.7
ENG-Premier League,1819,Brighton,Leon Balogun,NGA,DF,30,1988,6.6,1,1,1,100.0,0.15,0.15,1.0,1.0,13.3,0,0,0,0.1,0.1,0.07,0.9,0.9
ENG-Premier League,1819,Brighton,Lewis Dunk,ENG,DF,26,1991,35.0,2,20,4,20.0,0.57,0.11,0.1,0.5,14.1,2,0,0,1.8,1.8,0.09,0.2,0.2
ENG-Premier League,1819,Brighton,Martín Montoya,ESP,DF,27,1991,24.1,0,8,1,12.5,0.33,0.04,0.0,0.0,26.1,0,0,0,0.2,0.2,0.02,-0.2,-0.2
ENG-Premier League,1819,Brighton,Mathew Ryan,AUS,GK,26,1992,34.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1819,Brighton,Pascal Groß,GER,"MF,FW",27,1991,20.7,3,22,7,31.8,1.06,0.34,0.09,0.29,18.0,1,1,2,4.4,2.8,0.13,-1.4,-0.8
ENG-Premier League,1819,Brighton,Shane Duffy,IRL,DF,26,1992,34.3,5,37,14,37.8,1.08,0.41,0.14,0.36,10.6,0,0,0,3.1,3.1,0.08,1.9,1.9
ENG-Premier League,1819,Brighton,Solly March,ENG,"FW,MF",24,1994,27.4,1,43,9,20.9,1.57,0.33,0.02,0.11,21.4,3,0,0,2.5,2.5,0.06,-1.5,-1.5
ENG-Premier League,1819,Brighton,Yves Bissouma,MLI,MF,21,1996,19.7,0,31,3,9.7,1.57,0.15,0.0,0.0,26.1,3,0,0,1.8,1.8,0.06,-1.8,-1.8
ENG-Premier League,1819,Burnley,Aaron Lennon,ENG,MF,31,1987,13.5,1,4,2,50.0,0.3,0.15,0.25,0.5,13.4,0,0,0,0.8,0.8,0.2,0.2,0.2
