,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1920,Everton,Dominic Calvert-Lewin,ENG,FW,22,1997,29.2,13,85,38,44.7,2.91,1.3,0.15,0.34,12.9,0,0,0,15.3,15.3,0.18,-2.3,-2.3
ENG-Premier League,1920,Everton,Fabian Delph,ENG,MF,29,1989,13.2,0,3,0,0.0,0.23,0.0,0.0,,30.9,0,0,0,0.1,0.1,0.02,-0.1,-0.1
ENG-Premier League,1920,Everton,Gylfi Sigurðsson,ISL,MF,29,1989,28.4,2,45,12,26.7,1.58,0.42,0.02,0.08,22.8,5,1,1,4.0,3.2,0.07,-2.0,-2.2
ENG-Premier League,1920,Everton,Jarrad Branthwaite,ENG,DF,17,2002,3.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Everton,Jean-Philippe Gbamin,CIV,MF,23,1995,1.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Everton,Jordan Pickford,ENG,GK,25,1994,38.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Everton,Leighton Baines,ENG,DF,34,1984,4.5,0,1,0,0.0,0.22,0.0,0.0,,31.0,1,0,0,0.1,0.1,0.05,-0.1,-0.1
ENG-Premier League,1920,Everton,Lucas Digne,FRA,DF,26,1993,33.7,0,29,4,13.8,0.86,0.12,0.0,0.0,24.4,13,0,0,1.5,1.5,0.05,-1.5,-1.5
ENG-Premier League,1920,Everton,Mason Holgate,ENG,DF,22,1996,22.8,0,11,5,45.5,0.48,0.22,0.0,0.0,15.0,0,0,0,1.7,1.7,0.16,-1.7,-1.7
ENG-Premier League,1920,Everton,Michael Keane,ENG,DF,26,1993,28.4,2,14,4,28.6,0.49,0.14,0.14,0.5,7.8,0,0,0,1.9,1.9,0.13,0.1,0.1
ENG-Premier League,1920,Everton,Moise Kean,ITA,FW,19,2000,9.5,2,30,13,43.3,3.17,1.37,0.07,0.15,16.1,0,0,0,4.0,4.0,0.13,-2.0,-2.0
ENG-Premier League,1920,Everton,Morgan Schneiderlin,FRA,MF,29,1989,11.1,0,6,0,0.0,0.54,0.0,0.0,,21.4,0,0,0,0.2,0.2,0.04,-0.2,-0.2
ENG-Premier League,1920,Everton,Oumar Niasse,SEN,FW,29,1990,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Everton,Richarlison,BRA,"FW,MF",22,1997,34.1,13,90,32,35.6,2.64,0.94,0.14,0.41,14.8,0,0,0,9.1,9.1,0.1,3.9,3.9
ENG-Premier League,1920,Everton,Séamus Coleman,IRL,DF,30,1988,20.4,0,8,3,37.5,0.39,0.15,0.0,0.0,16.0,0,0,0,0.9,0.9,0.12,-0.9,-0.9
ENG-Premier League,1920,Everton,Theo Walcott,ENG,"MF,FW",30,1989,14.3,2,31,10,32.3,2.17,0.7,0.06,0.2,16.1,0,0,0,3.1,3.1,0.1,-1.1,-1.1
ENG-Premier League,1920,Everton,Tom Davies,ENG,MF,21,1998,22.5,1,17,5,29.4,0.75,0.22,0.06,0.2,17.1,0,0,0,1.6,1.6,0.09,-0.6,-0.6
ENG-Premier League,1920,Everton,Yerry Mina,COL,DF,24,1994,25.4,2,29,11,37.9,1.14,0.43,0.07,0.18,10.7,0,0,0,3.4,3.4,0.12,-1.4,-1.4
ENG-Premier League,1920,Leicester City,Ayoze Pérez,ESP,"MF,FW",26,1993,22.3,8,46,21,45.7,2.07,0.94,0.15,0.33,14.5,0,1,1,6.5,5.7,0.13,1.5,1.3
ENG-Premier League,1920,Leicester City,Ben Chilwell,ENG,DF,22,1996,26.4,3,16,6,37.5,0.61,0.23,0.19,0.5,19.1,0,0,0,1.0,1.0,0.06,2.0,2.0
ENG-Premier League,1920,Leicester City,Christian Fuchs,AUT,DF,33,1986,8.6,0,5,1,20.0,0.58,0.12,0.0,0.0,25.8,2,0,0,0.2,0.2,0.05,-0.2,-0.2
ENG-Premier League,1920,Leicester City,Demarai Gray,JAM,"MF,FW",23,1996,6.9,2,22,7,31.8,3.18,1.01,0.09,0.29,19.8,3,0,1,2.8,2.0,0.09,-0.8,0.0
ENG-Premier League,1920,Leicester City,Dennis Praet,BEL,MF,25,1994,12.6,1,16,3,18.8,1.27,0.24,0.06,0.33,18.6,0,0,0,0.9,0.9,0.06,0.1,0.1
ENG-Premier League,1920,Leicester City,George Hirst,ENG,"MF,DF",20,1999,0.1,0,3,1,33.3,24.55,8.18,0.0,0.0,13.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1
ENG-Premier League,1920,Leicester City,Hamza Choudhury,ENG,MF,21,1997,9.9,1,7,2,28.6,0.71,0.2,0.14,0.5,16.2,0,0,0,0.4,0.4,0.05,0.6,0.6
ENG-Premier League,1920,Leicester City,Harvey Barnes,ENG,"MF,FW",21,1997,23.1,6,61,28,45.9,2.64,1.21,0.1,0.21,16.7,0,0,0,8.1,8.1,0.13,-2.1,-2.1
ENG-Premier League,1920,Leicester City,James Justin,ENG,"DF,MF",21,1998,11.2,0,7,0,0.0,0.62,0.0,0.0,,20.2,0,0,0,0.3,0.3,0.04,-0.3,-0.3
ENG-Premier League,1920,Leicester City,James Maddison,ENG,MF,22,1996,29.2,6,74,18,24.3,2.54,0.62,0.08,0.33,22.0,14,0,0,5.3,5.3,0.07,0.7,0.7
ENG-Premier League,1920,Leicester City,Jamie Vardy,ENG,FW,32,1987,33.7,23,84,37,44.0,2.49,1.1,0.23,0.51,13.1,0,4,5,19.2,15.3,0.19,3.8,3.7
ENG-Premier League,1920,Leicester City,Jonny Evans,NIR,DF,31,1988,37.6,1,23,8,34.8,0.61,0.21,0.04,0.13,8.4,0,0,0,3.7,3.7,0.16,-2.7,-2.7
ENG-Premier League,1920,Leicester City,Kasper Schmeichel,DEN,GK,32,1986,38.0,0,1,0,0.0,0.03,0.0,0.0,,56.1,1,0,0,0.0,0.0,0.02,0.0,0.0
ENG-Premier League,1920,Leicester City,Kelechi Iheanacho,NGA,FW,22,1996,10.7,5,36,20,55.6,3.38,1.87,0.14,0.25,15.4,0,0,0,6.0,6.0,0.17,-1.0,-1.0
ENG-Premier League,1920,Leicester City,Luke Thomas,ENG,"MF,DF",18,2001,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Leicester City,Marc Albrighton,ENG,"MF,DF",29,1989,9.6,0,10,2,20.0,1.04,0.21,0.0,0.0,20.7,0,0,0,0.4,0.4,0.04,-0.4,-0.4
ENG-Premier League,1920,Leicester City,Matty James,ENG,MF,28,1991,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Leicester City,Nampalys Mendy,SEN,MF,27,1992,3.2,0,1,1,100.0,0.31,0.31,0.0,0.0,28.9,0,0,0,0.0,0.0,0.03,0.0,0.0
ENG-Premier League,1920,Leicester City,Ricardo Pereira,POR,DF,25,1993,28.0,3,18,5,27.8,0.64,0.18,0.17,0.6,18.4,0,0,0,1.2,1.2,0.06,1.8,1.8
ENG-Premier League,1920,Leicester City,Ryan Bennett,ENG,DF,29,1990,3.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Leicester City,Wes Morgan,JAM,DF,35,1984,4.8,0,4,2,50.0,0.83,0.41,0.0,0.0,10.0,0,0,0,0.5,0.5,0.14,-0.5,-0.5
ENG-Premier League,1920,Leicester City,Wilfred Ndidi,NGA,MF,22,1996,29.7,2,26,3,11.5,0.88,0.1,0.08,0.67,19.2,0,0,0,1.6,1.6,0.06,0.4,0.4
ENG-Premier League,1920,Leicester City,Youri Tielemans,BEL,MF,22,1997,31.4,3,56,13,23.2,1.78,0.41,0.05,0.23,23.8,0,0,0,2.7,2.7,0.05,0.3,0.3
ENG-Premier League,1920,Leicester City,Çağlar Söyüncü,TUR,DF,23,1996,33.7,1,17,5,29.4,0.5,0.15,0.06,0.2,10.3,0,0,0,2.1,2.1,0.12,-1.1,-1.1
ENG-Premier League,1920,Liverpool,Adam Lallana,ENG,"MF,FW",31,1988,4.2,1,5,1,20.0,1.18,0.24,0.2,1.0,16.3,0,0,0,0.8,0.8,0.15,0.2,0.2
ENG-Premier League,1920,Liverpool,Adrián,ESP,GK,32,1987,9.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Liverpool,Alex Oxlade-Chamberlain,ENG,"MF,FW",25,1993,16.5,4,40,10,25.0,2.42,0.61,0.1,0.4,22.5,0,0,0,2.8,2.8,0.07,1.2,1.2
ENG-Premier League,1920,Liverpool,Alisson,BRA,GK,26,1992,28.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Liverpool,Andrew Robertson,SCO,DF,25,1994,34.6,2,22,6,27.3,0.64,0.17,0.09,0.33,18.6,0,0,0,1.8,1.8,0.08,0.2,0.2
ENG-Premier League,1920,Liverpool,Curtis Jones,ENG,MF,18,2001,1.4,1,6,2,33.3,4.29,1.43,0.17,0.5,17.4,0,0,0,0.4,0.4,0.07,0.6,0.6
ENG-Premier League,1920,Liverpool,Dejan Lovren,CRO,DF,30,1989,8.6,0,5,1,20.0,0.58,0.12,0.0,0.0,8.6,0,0,0,0.4,0.4,0.08,-0.4,-0.4
ENG-Premier League,1920,Liverpool,Divock Origi,BEL,FW,24,1995,8.0,4,14,6,42.9,1.76,0.75,0.29,0.67,15.7,0,0,0,1.8,1.8,0.13,2.2,2.2
ENG-Premier League,1920,Liverpool,Fabinho,BRA,MF,25,1993,23.1,2,12,4,33.3,0.52,0.17,0.17,0.5,28.7,2,0,0,0.4,0.4,0.04,1.6,1.6
ENG-Premier League,1920,Liverpool,Georginio Wijnaldum,NED,MF,28,1990,32.6,4,36,15,41.7,1.1,0.46,0.11,0.27,16.2,0,0,0,2.6,2.6,0.07,1.4,1.4
ENG-Premier League,1920,Liverpool,Harvey Elliott,ENG,DF,16,2003,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Liverpool,James Milner,ENG,"MF,DF",33,1986,10.4,2,10,2,20.0,0.96,0.19,0.0,0.0,24.5,0,2,2,2.2,0.6,0.06,-0.2,-0.6
ENG-Premier League,1920,Liverpool,Joe Gomez,ENG,DF,22,1997,22.3,0,1,0,0.0,0.04,0.0,0.0,,30.4,0,0,0,0.0,0.0,0.03,0.0,0.0
ENG-Premier League,1920,Liverpool,Jordan Henderson,ENG,MF,29,1990,24.9,4,20,8,40.0,0.8,0.32,0.2,0.5,19.2,1,0,0,1.1,1.1,0.05,2.9,2.9
ENG-Premier League,1920,Liverpool,Joël Matip,CMR,DF,27,1991,7.8,1,4,1,25.0,0.51,0.13,0.25,1.0,10.2,0,0,0,0.3,0.3,0.09,0.7,0.7
ENG-Premier League,1920,Liverpool,Mohamed Salah,EGY,FW,27,1992,32.0,19,129,56,43.4,4.04,1.75,0.12,0.29,15.0,4,3,3,19.0,16.6,0.13,0.0,-0.6
ENG-Premier League,1920,Liverpool,Naby Keïta,GUI,MF,24,1995,9.1,2,12,7,58.3,1.33,0.77,0.17,0.29,19.3,0,0,0,1.6,1.6,0.14,0.4,0.4
ENG-Premier League,1920,Liverpool,Neco Williams,WAL,DF,18,2001,2.6,0,7,1,14.3,2.74,0.39,0.0,0.0,21.8,0,0,0,0.3,0.3,0.04,-0.3,-0.3
ENG-Premier League,1920,Liverpool,Roberto Firmino,BRA,FW,27,1991,33.2,9,99,38,38.4,2.98,1.14,0.09,0.24,13.7,0,0,0,14.0,14.0,0.14,-5.0,-5.0
ENG-Premier League,1920,Liverpool,Sadio Mané,SEN,FW,27,1992,30.5,18,77,36,46.8,2.52,1.18,0.23,0.5,13.5,0,0,0,13.2,13.2,0.18,4.8,4.8
ENG-Premier League,1920,Liverpool,Takumi Minamino,JPN,"FW,MF",24,1995,2.8,0,8,2,25.0,2.89,0.72,0.0,0.0,19.5,0,0,0,0.8,0.8,0.1,-0.8,-0.8
ENG-Premier League,1920,Liverpool,Trent Alexander-Arnold,ENG,DF,20,1998,35.3,4,44,13,29.5,1.25,0.37,0.09,0.31,22.6,13,0,0,2.8,2.8,0.06,1.2,1.2
ENG-Premier League,1920,Liverpool,Virgil van Dijk,NED,DF,28,1991,38.0,5,31,14,45.2,0.82,0.37,0.16,0.36,11.8,0,0,0,2.9,2.9,0.09,2.1,2.1
ENG-Premier League,1920,Liverpool,Xherdan Shaqiri,SUI,"FW,MF",27,1991,2.1,1,4,1,25.0,1.95,0.49,0.25,1.0,20.4,0,0,0,0.5,0.5,0.13,0.5,0.5
ENG-Premier League,1920,Manchester City,Angeliño,ESP,DF,22,1997,4.7,0,5,0,0.0,1.06,0.0,0.0,,19.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2
ENG-Premier League,1920,Manchester City,Aymeric Laporte,ESP,DF,25,1994,12.2,1,4,2,50.0,0.33,0.16,0.25,0.5,16.3,0,0,0,0.5,0.5,0.13,0.5,0.5
ENG-Premier League,1920,Manchester City,Benjamin Mendy,FRA,DF,25,1994,16.6,0,10,1,10.0,0.6,0.06,0.0,0.0,22.5,0,0,0,0.4,0.4,0.04,-0.4,-0.4
ENG-Premier League,1920,Manchester City,Bernardo Silva,POR,"FW,MF",24,1994,22.6,6,52,15,28.8,2.31,0.67,0.12,0.4,14.2,0,0,0,6.0,6.0,0.12,0.0,0.0
ENG-Premier League,1920,Manchester City,Claudio Bravo,CHI,GK,36,1983,3.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Manchester City,David Silva,ESP,MF,33,1986,20.3,6,47,18,38.3,2.32,0.89,0.13,0.33,14.4,5,0,0,6.4,6.4,0.14,-0.4,-0.4
ENG-Premier League,1920,Manchester City,Ederson,BRA,GK,25,1993,34.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Manchester City,Eric García,ESP,DF,18,2001,8.8,0,2,1,50.0,0.23,0.11,0.0,0.0,7.1,0,0,0,0.5,0.5,0.27,-0.5,-0.5
ENG-Premier League,1920,Manchester City,Fernandinho,BRA,DF,34,1985,26.6,0,17,2,11.8,0.64,0.08,0.0,0.0,14.9,0,0,0,1.0,1.0,0.06,-1.0,-1.0
ENG-Premier League,1920,Manchester City,Gabriel Jesus,BRA,FW,22,1997,22.6,14,100,45,45.0,4.43,2.0,0.14,0.31,11.6,0,0,1,18.2,17.4,0.18,-4.2,-3.4
ENG-Premier League,1920,Manchester City,John Stones,ENG,DF,25,1994,12.5,0,6,1,16.7,0.48,0.08,0.0,0.0,9.6,0,0,0,0.4,0.4,0.07,-0.4,-0.4
ENG-Premier League,1920,Manchester City,João Cancelo,POR,DF,25,1994,13.4,0,15,3,20.0,1.12,0.22,0.0,0.0,23.9,0,0,0,0.6,0.6,0.04,-0.6,-0.6
ENG-Premier League,1920,Manchester City,Kevin De Bruyne,BEL,MF,28,1991,31.0,13,97,29,29.9,3.13,0.94,0.11,0.38,21.8,11,2,2,7.3,5.8,0.06,5.7,5.2
ENG-Premier League,1920,Manchester City,Kyle Walker,ENG,DF,29,1990,26.6,1,14,3,21.4,0.53,0.11,0.07,0.33,25.0,1,0,0,1.2,1.2,0.09,-0.2,-0.2
ENG-Premier League,1920,Manchester City,Leroy Sané,GER,FW,23,1996,0.1,0,2,0,0.0,15.0,0.0,0.0,,26.5,1,0,0,0.1,0.1,0.06,-0.1,-0.1
ENG-Premier League,1920,Manchester City,Nicolás Otamendi,ARG,DF,31,1988,19.1,2,15,7,46.7,0.79,0.37,0.13,0.29,8.4,0,0,0,1.9,1.9,0.13,0.1,0.1
ENG-Premier League,1920,Manchester City,Oleksandr Zinchenko,UKR,DF,22,1996,14.2,0,16,3,18.8,1.13,0.21,0.0,0.0,26.0,0,0,0,0.5,0.5,0.03,-0.5,-0.5
ENG-Premier League,1920,Manchester City,Phil Foden,ENG,"FW,MF",19,2000,10.0,5,34,14,41.2,3.4,1.4,0.15,0.36,16.8,0,0,0,3.3,3.3,0.1,1.7,1.7
ENG-Premier League,1920,Manchester City,Raheem Sterling,ENG,FW,24,1994,29.5,20,97,36,37.1,3.29,1.22,0.21,0.56,14.0,1,0,2,18.2,16.4,0.17,1.8,3.6
ENG-Premier League,1920,Manchester City,Riyad Mahrez,ALG,"FW,MF",28,1991,21.6,11,73,30,41.1,3.38,1.39,0.14,0.33,17.0,6,1,1,7.8,7.0,0.1,3.2,3.0
ENG-Premier League,1920,Manchester City,Rodri,ESP,MF,23,1996,27.6,3,24,9,37.5,0.87,0.33,0.13,0.33,20.1,0,0,0,0.9,0.9,0.04,2.1,2.1
ENG-Premier League,1920,Manchester City,Sergio Agüero,ARG,FW,31,1988,16.1,16,73,24,32.9,4.52,1.49,0.19,0.58,13.7,0,2,3,14.5,12.1,0.17,1.5,1.9
ENG-Premier League,1920,Manchester City,Tommy Doyle,ENG,MF,17,2001,0.2,0,1,1,100.0,5.63,5.63,0.0,0.0,20.9,0,0,0,0.0,0.0,0.04,0.0,0.0
ENG-Premier League,1920,Manchester City,İlkay Gündoğan,GER,MF,28,1990,22.4,2,31,6,19.4,1.38,0.27,0.03,0.17,21.5,2,1,2,4.0,2.4,0.08,-2.0,-1.4
ENG-Premier League,1920,Manchester Utd,Aaron Wan-Bissaka,ENG,DF,21,1997,34.1,0,7,1,14.3,0.21,0.03,0.0,0.0,15.5,0,0,0,0.7,0.7,0.1,-0.7,-0.7
ENG-Premier League,1920,Manchester Utd,Andreas Pereira,BRA,"MF,FW",23,1996,16.5,1,37,14,37.8,2.24,0.85,0.03,0.07,22.9,3,0,0,2.3,2.3,0.06,-1.3,-1.3
ENG-Premier League,1920,Manchester Utd,Angel Gomes,ENG,MF,18,2000,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Manchester Utd,Anthony Martial,FRA,FW,23,1995,29.2,17,79,38,48.1,2.71,1.3,0.22,0.45,16.5,0,0,1,12.1,11.3,0.14,4.9,5.7
ENG-Premier League,1920,Manchester Utd,Ashley Young,ENG,DF,34,1985,10.6,0,3,0,0.0,0.28,0.0,0.0,,21.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1
ENG-Premier League,1920,Manchester Utd,Axel Tuanzebe,ENG,DF,21,1997,2.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Manchester Utd,Brandon Williams,ENG,DF,18,2000,11.2,1,6,2,33.3,0.54,0.18,0.17,0.5,13.1,0,0,0,1.0,1.0,0.16,0.0,0.0
ENG-Premier League,1920,Manchester Utd,Bruno Fernandes,POR,MF,24,1994,13.2,8,40,14,35.0,3.04,1.06,0.1,0.29,24.6,7,4,4,6.2,3.0,0.08,1.8,1.0
ENG-Premier League,1920,Manchester Utd,Daniel James,WAL,FW,21,1997,25.4,3,42,20,47.6,1.65,0.79,0.07,0.15,17.3,0,0,0,3.1,3.1,0.07,-0.1,-0.1
ENG-Premier League,1920,Manchester Utd,David de Gea,ESP,GK,28,1990,38.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Manchester Utd,Diogo Dalot,POR,"DF,MF",20,1999,0.7,0,1,0,0.0,1.34,0.0,0.0,,9.0,0,0,0,0.3,0.3,0.29,-0.3,-0.3
ENG-Premier League,1920,Manchester Utd,Eric Bailly,CIV,DF,25,1994,1.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Manchester Utd,Fred,BRA,MF,26,1993,24.0,0,40,10,25.0,1.66,0.42,0.0,0.0,24.5,3,0,0,1.7,1.7,0.04,-1.7,-1.7
ENG-Premier League,1920,Manchester Utd,Harry Maguire,ENG,DF,26,1993,38.0,1,31,8,25.8,0.82,0.21,0.03,0.13,12.7,0,0,0,2.1,2.1,0.07,-1.1,-1.1
ENG-Premier League,1920,Manchester Utd,James Garner,ENG,MF,18,2001,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Manchester Utd,Jesse Lingard,ENG,"MF,FW",26,1992,10.4,1,22,6,27.3,2.12,0.58,0.05,0.17,18.7,0,0,0,1.9,1.9,0.09,-0.9,-0.9
ENG-Premier League,1920,Manchester Utd,Juan Mata,ESP,"MF,FW",31,1988,8.4,0,10,2,20.0,1.19,0.24,0.0,0.0,18.5,2,0,0,1.1,1.1,0.11,-1.1,-1.1
ENG-Premier League,1920,Manchester Utd,Luke Shaw,ENG,DF,24,1995,19.3,0,11,5,45.5,0.57,0.26,0.0,0.0,18.2,0,0,0,0.7,0.7,0.06,-0.7,-0.7
ENG-Premier League,1920,Manchester Utd,Marcos Rojo,ARG,DF,29,1990,1.4,0,1,0,0.0,0.74,0.0,0.0,,6.7,0,0,0,0.2,0.2,0.2,-0.2,-0.2
ENG-Premier League,1920,Manchester Utd,Marcus Rashford,ENG,FW,21,1997,29.4,17,87,37,42.5,2.96,1.26,0.13,0.3,19.7,16,6,8,19.2,12.9,0.15,-2.2,-1.9
ENG-Premier League,1920,Manchester Utd,Mason Greenwood,ENG,FW,17,2001,14.7,10,39,20,51.3,2.66,1.36,0.26,0.5,17.0,0,0,0,2.9,2.9,0.07,7.1,7.1
ENG-Premier League,1920,Manchester Utd,Nemanja Matić,SRB,MF,30,1988,17.6,0,7,2,28.6,0.4,0.11,0.0,0.0,26.2,0,0,0,0.2,0.2,0.03,-0.2,-0.2
ENG-Premier League,1920,Manchester Utd,Odion Ighalo,NGA,FW,30,1989,1.1,0,7,3,42.9,6.24,2.67,0.0,0.0,11.7,0,0,0,1.9,1.9,0.27,-1.9,-1.9
ENG-Premier League,1920,Manchester Utd,Paul Pogba,FRA,MF,26,1993,13.4,1,21,7,33.3,1.57,0.52,0.05,0.14,22.5,2,0,1,2.4,1.6,0.08,-1.4,-0.6
ENG-Premier League,1920,Manchester Utd,Phil Jones,ENG,DF,27,1992,1.5,0,2,1,50.0,1.33,0.67,0.0,0.0,10.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1
ENG-Premier League,1920,Manchester Utd,Scott McTominay,SCO,MF,22,1996,19.7,4,29,10,34.5,1.47,0.51,0.14,0.4,20.9,0,0,0,2.2,2.2,0.08,1.8,1.8
ENG-Premier League,1920,Manchester Utd,Tahith Chong,NED,"FW,DF",19,1999,0.4,0,1,0,0.0,2.43,0.0,0.0,,14.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1
ENG-Premier League,1920,Manchester Utd,Timothy Fosu-Mensah,NED,DF,21,1998,1.5,0,1,0,0.0,0.66,0.0,0.0,,11.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1
ENG-Premier League,1920,Manchester Utd,Victor Lindelöf,SWE,DF,25,1994,34.4,1,6,1,16.7,0.17,0.03,0.17,1.0,11.4,0,0,0,0.3,0.3,0.06,0.7,0.7
ENG-Premier League,1920,Newcastle Utd,Allan Saint-Maximin,FRA,"MF,FW",22,1997,20.7,3,46,21,45.7,2.22,1.01,0.07,0.14,22.5,0,0,0,3.3,3.3,0.07,-0.3,-0.3
ENG-Premier League,1920,Newcastle Utd,Andy Carroll,ENG,FW,30,1989,7.0,0,16,3,18.8,2.28,0.43,0.0,0.0,14.3,0,0,0,1.2,1.2,0.08,-1.2,-1.2
ENG-Premier League,1920,Newcastle Utd,Christian Atsu,GHA,"MF,FW",27,1992,8.3,0,5,1,20.0,0.6,0.12,0.0,0.0,19.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2
ENG-Premier League,1920,Newcastle Utd,Ciaran Clark,IRL,DF,29,1989,13.2,2,6,4,66.7,0.46,0.3,0.33,0.5,8.3,0,0,0,1.3,1.3,0.21,0.7,0.7
ENG-Premier League,1920,Newcastle Utd,Danny Rose,ENG,DF,29,1990,9.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Newcastle Utd,DeAndre Yedlin,USA,DF,26,1993,10.4,1,1,1,100.0,0.1,0.1,1.0,1.0,3.4,0,0,0,0.8,0.8,0.75,0.2,0.2
ENG-Premier League,1920,Newcastle Utd,Dwight Gayle,ENG,FW,28,1990,9.4,4,23,10,43.5,2.44,1.06,0.17,0.4,11.9,1,0,0,4.3,4.3,0.19,-0.3,-0.3
ENG-Premier League,1920,Newcastle Utd,Emil Krafth,SWE,DF,24,1994,11.3,0,4,0,0.0,0.35,0.0,0.0,,13.5,0,0,0,0.3,0.3,0.08,-0.3,-0.3
ENG-Premier League,1920,Newcastle Utd,Fabian Schär,SUI,"DF,MF",27,1991,18.6,2,20,6,30.0,1.08,0.32,0.1,0.33,21.4,1,0,0,1.4,1.4,0.07,0.6,0.6
ENG-Premier League,1920,Newcastle Utd,Federico Fernández,ARG,DF,30,1989,29.1,2,15,7,46.7,0.52,0.24,0.13,0.29,11.5,0,0,0,1.4,1.4,0.1,0.6,0.6
ENG-Premier League,1920,Newcastle Utd,Florian Lejeune,FRA,DF,28,1991,4.9,2,4,3,75.0,0.81,0.61,0.5,0.67,14.4,0,0,0,1.2,1.2,0.3,0.8,0.8
ENG-Premier League,1920,Newcastle Utd,Isaac Hayden,ENG,MF,24,1995,24.7,1,18,3,16.7,0.73,0.12,0.06,0.33,20.9,0,0,0,1.2,1.2,0.07,-0.2,-0.2
ENG-Premier League,1920,Newcastle Utd,Jamaal Lascelles,ENG,DF,25,1993,23.1,1,9,2,22.2,0.39,0.09,0.11,0.5,12.9,0,0,0,0.5,0.5,0.06,0.5,0.5
ENG-Premier League,1920,Newcastle Utd,Javier Manquillo,ESP,DF,25,1994,17.8,0,1,0,0.0,0.06,0.0,0.0,,11.8,0,0,0,0.0,0.0,0.04,0.0,0.0
ENG-Premier League,1920,Newcastle Utd,Jetro Willems,NED,DF,25,1994,16.6,2,14,6,42.9,0.84,0.36,0.14,0.33,19.6,0,0,0,0.6,0.6,0.04,1.4,1.4
ENG-Premier League,1920,Newcastle Utd,Joelinton,BRA,FW,22,1996,29.8,2,50,15,30.0,1.68,0.5,0.04,0.13,14.9,0,0,0,5.5,5.5,0.11,-3.5,-3.5
ENG-Premier League,1920,Newcastle Utd,Jonjo Shelvey,ENG,MF,27,1992,23.5,6,45,14,31.1,1.91,0.59,0.13,0.43,26.7,8,0,0,2.5,2.5,0.05,3.5,3.5
ENG-Premier League,1920,Newcastle Utd,Kelland Watts,ENG,DF,19,1999,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Newcastle Utd,Ki Sung-yueng,KOR,MF,30,1989,1.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Newcastle Utd,Martin Dúbravka,SVK,GK,30,1989,38.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
