,,,players_used,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,url
,,,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Unnamed: 20_level_1
league,season,team,,,,,,,,,,,,,,,,,,
ENG-Premier League,2122,vs Arsenal,27,38,18005,16238,1703,401,49,102,606,744,175,90,50,3,14226,64,295,/en/squads/18bb7c10/2021-2022/Arsenal-Stats
ENG-Premier League,2122,vs Aston Villa,31,38,19079,17229,1811,424,48,233,685,815,220,118,64,3,15222,39,372,/en/squads/8602292d/2021-2022/Aston-Villa-Stats
ENG-Premier League,2122,vs Brentford,29,38,20238,18429,1738,405,73,104,812,774,229,128,69,2,15770,71,329,/en/squads/cd051869/2021-2022/Brentford-Stats
ENG-Premier League,2122,vs Brighton,26,38,17380,15605,1733,417,36,113,680,740,211,106,55,6,13304,42,374,/en/squads/d07537b9/2021-2022/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2122,vs Burnley,23,38,21508,19529,1925,473,44,168,861,846,265,95,79,5,16821,54,364,/en/squads/943e8050/2021-2022/Burnley-Stats
ENG-Premier League,2122,vs Chelsea,26,38,15424,13651,1706,451,63,90,533,697,151,66,52,4,11678,67,346,/en/squads/cff3d9bb/2021-2022/Chelsea-Stats
ENG-Premier League,2122,vs Crystal Palace,24,38,18471,16628,1790,453,42,130,664,825,184,74,96,0,14264,53,360,/en/squads/47c64c55/2021-2022/Crystal-Palace-Stats
ENG-Premier League,2122,vs Everton,33,38,22270,20390,1837,397,44,129,719,859,219,114,62,8,18019,43,415,/en/squads/d3fd31cc/2021-2022/Everton-Stats
ENG-Premier League,2122,vs Leeds United,29,38,17052,15102,1897,498,100,92,568,829,181,86,79,3,13019,53,366,/en/squads/5bfb9659/2021-2022/Leeds-United-Stats
ENG-Premier League,2122,vs Leicester City,28,38,18823,17017,1733,391,63,150,738,788,218,129,63,2,14828,73,382,/en/squads/a2d435b3/2021-2022/Leicester-City-Stats
ENG-Premier League,2122,vs Liverpool,27,38,15214,13387,1683,403,89,105,460,678,117,70,37,0,11072,144,323,/en/squads/822bd0ba/2021-2022/Liverpool-Stats
ENG-Premier League,2122,vs Manchester City,26,38,13251,11640,1517,376,50,89,397,493,108,52,37,3,9984,94,252,/en/squads/b8fd03ef/2021-2022/Manchester-City-Stats
ENG-Premier League,2122,vs Manchester Utd,29,38,18933,17152,1709,462,61,139,648,668,207,105,67,3,15051,72,310,/en/squads/19538871/2021-2022/Manchester-United-Stats
ENG-Premier League,2122,vs Newcastle Utd,29,38,21214,19431,1725,433,72,125,685,764,190,94,72,4,17236,58,292,/en/squads/b2b47a98/2021-2022/Newcastle-United-Stats
ENG-Premier League,2122,vs Norwich City,28,38,21657,19892,1709,380,77,162,793,784,251,131,78,1,17698,56,326,/en/squads/1c781004/2021-2022/Norwich-City-Stats
ENG-Premier League,2122,vs Southampton,25,38,18812,16984,1763,422,41,109,721,817,197,114,48,4,14361,65,349,/en/squads/33c895d4/2021-2022/Southampton-Stats
ENG-Premier League,2122,vs Tottenham,25,38,19252,17557,1652,434,39,130,740,680,192,84,71,10,15570,43,348,/en/squads/361ca564/2021-2022/Tottenham-Hotspur-Stats
ENG-Premier League,2122,vs Watford,30,38,21809,19879,1875,469,69,174,801,850,234,115,86,8,17339,55,332,/en/squads/2abfe087/2021-2022/Watford-Stats
ENG-Premier League,2122,vs West Ham,25,38,20172,18525,1612,361,50,92,758,651,200,114,65,2,16243,35,280,/en/squads/7c21e445/2021-2022/West-Ham-United-Stats
ENG-Premier League,2122,vs Wolves,26,38,19655,17914,1656,391,84,111,721,745,204,101,73,3,15751,85,367,/en/squads/8cec06e1/2021-2022/Wolverhampton-Wanderers-Stats
ENG-Premier League,2223,vs Arsenal,26,38,15090,13335,1672,407,51,99,510,662,139,79,47,4,11424,83,317,/en/squads/18bb7c10/2022-2023/Arsenal-Stats
ENG-Premier League,2223,vs Aston Villa,26,38,18089,16219,1754,446,95,180,689,765,211,96,77,7,14277,116,375,/en/squads/8602292d/2022-2023/Aston-Villa-Stats
ENG-Premier League,2223,vs Bournemouth,31,38,22764,20999,1700,403,54,126,930,732,271,139,73,3,18709,65,395,/en/squads/4ba7cbea/2022-2023/Bournemouth-Stats
ENG-Premier League,2223,vs Brentford,25,38,20073,18299,1713,403,63,112,781,715,214,103,73,5,15959,61,343,/en/squads/cd051869/2022-2023/Brentford-Stats
ENG-Premier League,2223,vs Brighton,29,38,15116,13420,1653,473,44,69,444,607,134,59,52,2,11658,43,310,/en/squads/d07537b9/2022-2023/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2223,vs Chelsea,32,38,16256,14458,1748,456,41,83,591,744,182,105,35,1,12591,50,404,/en/squads/cff3d9bb/2022-2023/Chelsea-Stats
ENG-Premier League,2223,vs Crystal Palace,26,38,20332,18512,1750,484,50,140,682,763,176,80,60,8,16316,70,384,/en/squads/47c64c55/2022-2023/Crystal-Palace-Stats
ENG-Premier League,2223,vs Everton,28,38,21204,19286,1864,438,51,153,758,846,238,90,66,2,17041,54,393,/en/squads/d3fd31cc/2022-2023/Everton-Stats
ENG-Premier League,2223,vs Fulham,29,38,19010,17219,1703,438,76,137,608,720,204,94,66,1,15001,88,368,/en/squads/fd962109/2022-2023/Fulham-Stats
ENG-Premier League,2223,vs Leeds United,29,38,19538,17541,1911,492,69,131,612,866,182,87,61,6,15111,86,450,/en/squads/5bfb9659/2022-2023/Leeds-United-Stats
