,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
,,,,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1920,West Ham,David Martin,ENG,GK,33,1986,5,4,436.0,4.8,6.0,1.24,21.0,15.0,71.4,2.0,0.0,2,2.0,50.0,0.0,0.0,0.0,0.0,
ENG-Premier League,1920,West Ham,Roberto,ESP,GK,33,1986,8,7,687.0,7.6,17.0,2.23,51.0,35.0,68.6,0.0,1.0,6,0.0,0.0,1.0,1.0,0.0,0.0,0.0
ENG-Premier League,1920,West Ham,Łukasz Fabiański,POL,GK,34,1985,25,25,2117.0,23.5,34.0,1.45,104.0,71.0,70.2,8.0,7.0,10,5.0,20.0,4.0,3.0,1.0,0.0,25.0
ENG-Premier League,1920,Wolves,Rui Patrício,POR,GK,31,1988,38,38,3420.0,38.0,40.0,1.05,129.0,88.0,69.8,15.0,14.0,9,13.0,34.2,3.0,1.0,2.0,0.0,66.7
ENG-Premier League,2021,Arsenal,Bernd Leno,GER,GK,28,1992,35,35,3131.0,34.8,37.0,1.06,117.0,83.0,69.2,17.0,6.0,12,11.0,31.4,2.0,1.0,1.0,0.0,50.0
ENG-Premier League,2021,Arsenal,Mathew Ryan,AUS,GK,28,1992,3,3,270.0,3.0,2.0,0.67,10.0,8.0,90.0,1.0,1.0,1,1.0,33.3,1.0,1.0,0.0,0.0,0.0
ENG-Premier League,2021,Arsenal,Rúnar Alex Rúnarsson,ISL,GK,25,1995,1,0,16.0,0.2,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,
ENG-Premier League,2021,Aston Villa,Emiliano Martínez,ARG,GK,27,1992,38,38,3420.0,38.0,46.0,1.21,186.0,133.0,78.0,16.0,7.0,15,15.0,39.5,6.0,5.0,1.0,0.0,16.7
ENG-Premier League,2021,Brighton,Mathew Ryan,AUS,GK,28,1992,11,11,990.0,11.0,19.0,1.73,34.0,16.0,55.9,2.0,4.0,5,2.0,18.2,4.0,4.0,0.0,0.0,0.0
ENG-Premier League,2021,Brighton,Robert Sánchez,ESP,GK,22,1997,27,27,2430.0,27.0,27.0,1.0,91.0,65.0,72.5,7.0,10.0,10,10.0,37.0,3.0,2.0,0.0,1.0,0.0
ENG-Premier League,2021,Burnley,Bailey Peacock-Farrell,NIR,GK,23,1996,4,4,360.0,4.0,14.0,3.5,24.0,10.0,41.7,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,
ENG-Premier League,2021,Burnley,Nick Pope,ENG,GK,28,1992,32,32,2880.0,32.0,37.0,1.16,149.0,113.0,77.2,10.0,9.0,13,11.0,34.4,3.0,3.0,0.0,0.0,0.0
ENG-Premier League,2021,Burnley,Will Norris,ENG,GK,26,1993,2,2,180.0,2.0,4.0,2.0,6.0,2.0,33.3,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,
ENG-Premier League,2021,Chelsea,Edouard Mendy,SEN,GK,28,1992,31,31,2745.0,30.5,25.0,0.82,81.0,56.0,71.6,17.0,7.0,7,16.0,51.6,3.0,2.0,1.0,0.0,33.3
ENG-Premier League,2021,Chelsea,Kepa Arrizabalaga,ESP,GK,25,1994,7,6,585.0,6.5,8.0,1.23,23.0,15.0,69.6,2.0,2.0,2,2.0,33.3,1.0,1.0,0.0,0.0,0.0
ENG-Premier League,2021,Chelsea,Willy Caballero,ARG,GK,38,1981,1,1,90.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
ENG-Premier League,2021,Crystal Palace,Jack Butland,ENG,GK,27,1993,1,1,90.0,1.0,2.0,2.0,5.0,3.0,60.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
ENG-Premier League,2021,Crystal Palace,Vicente Guaita,ESP,GK,33,1987,37,37,3330.0,37.0,64.0,1.73,169.0,104.0,63.9,11.0,8.0,18,8.0,21.6,4.0,3.0,1.0,0.0,25.0
ENG-Premier League,2021,Everton,Jordan Pickford,ENG,GK,26,1994,31,31,2742.0,30.5,39.0,1.28,128.0,90.0,71.1,15.0,5.0,11,10.0,32.3,3.0,2.0,0.0,1.0,0.0
ENG-Premier League,2021,Everton,João Virgínia,POR,GK,20,1999,1,0,48.0,0.5,0.0,0.0,3.0,3.0,100.0,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,
ENG-Premier League,2021,Everton,Robin Olsen,SWE,GK,30,1990,7,7,630.0,7.0,9.0,1.29,30.0,21.0,73.3,2.0,3.0,2,2.0,28.6,1.0,1.0,0.0,0.0,0.0
ENG-Premier League,2021,Fulham,Alphonse Areola,FRA,GK,27,1993,36,36,3240.0,36.0,48.0,1.33,161.0,114.0,73.9,5.0,13.0,18,9.0,25.0,6.0,6.0,0.0,0.0,0.0
ENG-Premier League,2021,Fulham,Marek Rodák,SVK,GK,23,1996,2,2,180.0,2.0,5.0,2.5,9.0,4.0,55.6,0.0,0.0,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0
ENG-Premier League,2021,Leeds United,Illan Meslier,FRA,GK,20,2000,35,35,3150.0,35.0,52.0,1.49,188.0,137.0,76.6,16.0,5.0,14,11.0,31.4,9.0,8.0,1.0,0.0,11.1
ENG-Premier League,2021,Leeds United,Kiko Casilla,ESP,GK,33,1986,3,3,270.0,3.0,2.0,0.67,10.0,8.0,80.0,2.0,0.0,1,1.0,33.3,0.0,0.0,0.0,0.0,
ENG-Premier League,2021,Leicester City,Kasper Schmeichel,DEN,GK,33,1986,38,38,3420.0,38.0,50.0,1.32,136.0,88.0,66.2,20.0,6.0,12,11.0,28.9,4.0,4.0,0.0,0.0,0.0
ENG-Premier League,2021,Liverpool,Adrián,ESP,GK,33,1987,3,3,270.0,3.0,9.0,3.0,18.0,9.0,50.0,1.0,1.0,1,1.0,33.3,0.0,0.0,0.0,0.0,
ENG-Premier League,2021,Liverpool,Alisson,BRA,GK,27,1992,33,33,2970.0,33.0,32.0,0.97,115.0,82.0,75.7,18.0,8.0,7,10.0,30.3,8.0,4.0,1.0,3.0,20.0
ENG-Premier League,2021,Liverpool,Caoimhín Kelleher,IRL,GK,21,1998,2,2,180.0,2.0,1.0,0.5,7.0,6.0,85.7,1.0,0.0,1,1.0,50.0,0.0,0.0,0.0,0.0,
ENG-Premier League,2021,Manchester City,Ederson,BRA,GK,26,1993,36,36,3240.0,36.0,28.0,0.78,93.0,65.0,77.4,25.0,5.0,6,19.0,52.8,8.0,7.0,1.0,0.0,12.5
ENG-Premier League,2021,Manchester City,Scott Carson,ENG,GK,34,1985,1,1,90.0,1.0,3.0,3.0,5.0,1.0,60.0,1.0,0.0,0,0.0,0.0,2.0,1.0,1.0,0.0,50.0
ENG-Premier League,2021,Manchester City,Zack Steffen,USA,GK,25,1995,1,1,90.0,1.0,1.0,1.0,2.0,1.0,50.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
ENG-Premier League,2021,Manchester Utd,David de Gea,ESP,GK,29,1990,26,26,2295.0,25.5,32.0,1.25,90.0,59.0,68.9,12.0,9.0,5,9.0,34.6,4.0,4.0,0.0,0.0,0.0
ENG-Premier League,2021,Manchester Utd,Dean Henderson,ENG,GK,23,1997,13,12,1125.0,12.5,12.0,0.96,51.0,39.0,76.5,9.0,2.0,1,4.0,33.3,0.0,0.0,0.0,0.0,
ENG-Premier League,2021,Newcastle Utd,Karl Darlow,ENG,GK,29,1990,25,25,2250.0,25.0,43.0,1.72,126.0,84.0,68.3,7.0,4.0,14,4.0,16.0,4.0,3.0,1.0,0.0,25.0
ENG-Premier League,2021,Newcastle Utd,Martin Dúbravka,SVK,GK,31,1989,13,13,1170.0,13.0,19.0,1.46,62.0,44.0,71.0,5.0,5.0,3,3.0,23.1,1.0,1.0,0.0,0.0,0.0
ENG-Premier League,2021,Sheffield Utd,Aaron Ramsdale,ENG,GK,22,1998,38,38,3420.0,38.0,63.0,1.66,206.0,145.0,70.9,7.0,2.0,29,5.0,13.2,4.0,3.0,0.0,1.0,0.0
ENG-Premier League,2021,Southampton,Alex McCarthy,ENG,GK,30,1989,30,30,2700.0,30.0,57.0,1.9,147.0,91.0,65.3,8.0,7.0,15,7.0,23.3,6.0,6.0,0.0,0.0,0.0
ENG-Premier League,2021,Southampton,Fraser Forster,ENG,GK,32,1988,8,8,720.0,8.0,11.0,1.37,31.0,19.0,71.0,4.0,0.0,4,2.0,25.0,3.0,2.0,1.0,0.0,33.3
ENG-Premier League,2021,Tottenham,Hugo Lloris,FRA,GK,33,1986,38,38,3420.0,38.0,45.0,1.18,155.0,113.0,77.4,18.0,8.0,12,12.0,31.6,10.0,10.0,0.0,0.0,0.0
ENG-Premier League,2021,West Brom,David Button,ENG,GK,31,1989,1,1,90.0,1.0,2.0,2.0,6.0,4.0,66.7,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
ENG-Premier League,2021,West Brom,Sam Johnstone,ENG,GK,27,1993,37,37,3330.0,37.0,74.0,2.0,234.0,162.0,71.4,4.0,11.0,22,6.0,16.2,11.0,7.0,1.0,3.0,12.5
ENG-Premier League,2021,West Ham,Darren Randolph,IRL,GK,33,1987,3,3,270.0,3.0,3.0,1.0,9.0,6.0,66.7,2.0,0.0,1,1.0,33.3,0.0,0.0,0.0,0.0,
ENG-Premier League,2021,West Ham,Łukasz Fabiański,POL,GK,35,1985,35,35,3150.0,35.0,44.0,1.26,138.0,97.0,70.3,17.0,8.0,10,10.0,28.6,5.0,3.0,1.0,1.0,25.0
ENG-Premier League,2021,Wolves,John Ruddy,ENG,GK,33,1986,2,1,91.0,1.0,1.0,0.99,4.0,3.0,75.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,
ENG-Premier League,2021,Wolves,Rui Patrício,POR,GK,32,1988,37,37,3329.0,37.0,51.0,1.38,148.0,99.0,70.3,12.0,9.0,16,10.0,27.0,8.0,7.0,1.0,0.0,12.5
ENG-Premier League,2122,Arsenal,Aaron Ramsdale,ENG,GK,23,1998,34,34,3060.0,34.0,39.0,1.15,128.0,90.0,73.4,21.0,3.0,10,12.0,35.3,6.0,5.0,0.0,1.0,0.0
ENG-Premier League,2122,Arsenal,Bernd Leno,GER,GK,29,1992,4,4,360.0,4.0,9.0,2.25,19.0,10.0,52.6,1.0,0.0,3,1.0,25.0,0.0,0.0,0.0,0.0,
ENG-Premier League,2122,Aston Villa,Emiliano Martínez,ARG,GK,28,1992,36,36,3240.0,36.0,48.0,1.33,140.0,93.0,68.6,13.0,6.0,17,11.0,30.6,6.0,4.0,1.0,1.0,20.0
ENG-Premier League,2122,Aston Villa,Jed Steer,ENG,GK,28,1992,1,1,90.0,1.0,3.0,3.0,4.0,1.0,25.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,
ENG-Premier League,2122,Aston Villa,Robin Olsen,SWE,GK,31,1990,1,1,90.0,1.0,3.0,3.0,5.0,2.0,40.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,
