,,,players_used,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,url
,,,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Unnamed: 20_level_1
league,season,team,,,,,,,,,,,,,,,,,,
ENG-Premier League,2223,Leeds United,29,38,16924,14953,1911,484,41,87,653,837,199,93,68,4,12437,60,414,/en/squads/5bfb9659/2022-2023/Leeds-United-Stats
ENG-Premier League,2223,Leicester City,28,38,18871,17049,1739,464,76,93,496,724,135,70,41,6,14887,83,393,/en/squads/a2d435b3/2022-2023/Leicester-City-Stats
ENG-Premier League,2223,Liverpool,28,38,24361,22466,1811,416,103,198,799,860,235,56,155,1,20043,84,383,/en/squads/822bd0ba/2022-2023/Liverpool-Stats
ENG-Premier League,2223,Manchester City,24,38,26642,25047,1544,440,94,177,742,614,238,72,87,11,23263,51,350,/en/squads/b8fd03ef/2022-2023/Manchester-City-Stats
ENG-Premier League,2223,Manchester Utd,26,38,20525,18827,1619,325,105,165,517,715,196,71,47,4,16603,79,420,/en/squads/19538871/2022-2023/Manchester-United-Stats
ENG-Premier League,2223,Newcastle Utd,27,38,17837,16020,1746,447,88,142,740,728,270,106,90,15,13925,71,370,/en/squads/b2b47a98/2022-2023/Newcastle-United-Stats
ENG-Premier League,2223,Nott'ham Forest,33,38,13606,11801,1738,446,31,66,530,720,128,65,53,1,9543,67,313,/en/squads/e4a775cb/2022-2023/Nottingham-Forest-Stats
ENG-Premier League,2223,Southampton,36,38,16391,14585,1749,426,38,87,613,752,157,63,65,2,12319,57,375,/en/squads/33c895d4/2022-2023/Southampton-Stats
ENG-Premier League,2223,Tottenham,29,38,19672,17950,1655,404,74,165,719,664,203,113,51,0,15972,67,414,/en/squads/361ca564/2022-2023/Tottenham-Hotspur-Stats
ENG-Premier League,2223,West Ham,25,38,16357,14625,1670,347,41,162,768,722,206,129,57,1,12369,62,390,/en/squads/7c21e445/2022-2023/West-Ham-United-Stats
ENG-Premier League,2223,Wolves,32,38,18294,16575,1657,430,49,149,661,663,185,61,86,2,14554,62,355,/en/squads/8cec06e1/2022-2023/Wolverhampton-Wanderers-Stats
ENG-Premier League,2324,Arsenal,25,38,22558,20941,1530,443,104,65,670,560,265,217,1,0,19094,87,319,/en/squads/18bb7c10/2023-2024/Arsenal-Stats
ENG-Premier League,2324,Aston Villa,31,38,19363,17499,1817,628,80,95,651,613,231,149,15,2,16133,47,343,/en/squads/8602292d/2023-2024/Aston-Villa-Stats
ENG-Premier League,2324,Bournemouth,30,38,15920,14065,1799,419,48,91,709,774,235,192,9,4,11899,56,361,/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats
ENG-Premier League,2324,Brentford,28,38,16818,14996,1752,464,70,113,706,683,184,79,51,10,12551,70,357,/en/squads/cd051869/2023-2024/Brentford-Stats
ENG-Premier League,2324,Brighton,30,38,25029,23334,1611,511,62,76,671,541,206,86,73,5,21810,84,327,/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2324,Burnley,31,38,17959,16189,1694,445,49,77,550,670,180,67,58,9,13937,76,344,/en/squads/943e8050/2023-2024/Burnley-Stats
ENG-Premier League,2324,Chelsea,32,38,23364,21587,1692,496,116,101,558,611,202,78,55,4,20039,85,348,/en/squads/cff3d9bb/2023-2024/Chelsea-Stats
ENG-Premier League,2324,Crystal Palace,26,38,16754,14948,1734,484,52,97,583,721,178,81,57,6,12915,72,366,/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats
ENG-Premier League,2324,Everton,26,38,15514,13704,1721,409,45,78,752,768,181,140,26,3,11349,89,347,/en/squads/d3fd31cc/2023-2024/Everton-Stats
ENG-Premier League,2324,Fulham,25,38,20237,18414,1772,464,58,118,736,696,212,70,98,1,16311,51,421,/en/squads/fd962109/2023-2024/Fulham-Stats
ENG-Premier League,2324,Liverpool,30,38,24379,22490,1789,440,102,145,817,755,287,86,171,2,20376,100,371,/en/squads/822bd0ba/2023-2024/Liverpool-Stats
ENG-Premier League,2324,Luton Town,28,38,15099,13156,1876,498,22,111,841,703,203,93,101,5,11048,67,413,/en/squads/e297cd13/2023-2024/Luton-Town-Stats
ENG-Premier League,2324,Manchester City,25,38,27758,26136,1580,460,85,133,700,604,286,114,66,7,24616,42,383,/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats
ENG-Premier League,2324,Manchester Utd,31,38,19538,17784,1663,371,73,99,594,643,224,70,86,10,15785,91,372,/en/squads/19538871/2023-2024/Manchester-United-Stats
ENG-Premier League,2324,Newcastle Utd,32,38,19852,18026,1767,515,85,133,648,679,192,75,60,9,16117,59,364,/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats
ENG-Premier League,2324,Nott'ham Forest,33,38,15673,13969,1627,409,53,83,595,661,148,80,55,0,11873,77,315,/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats
ENG-Premier League,2324,Sheffield Utd,35,38,13498,11753,1681,380,25,52,428,666,141,70,47,6,9521,64,321,/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats
ENG-Premier League,2324,Tottenham,29,38,24197,22167,1947,636,91,59,710,723,234,93,70,1,20649,83,480,/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats
ENG-Premier League,2324,West Ham,26,38,16373,14568,1734,429,60,158,661,721,165,93,61,0,12568,71,411,/en/squads/7c21e445/2023-2024/West-Ham-United-Stats
ENG-Premier League,2324,Wolves,27,38,19175,17409,1688,439,49,125,578,684,156,75,41,15,15484,78,333,/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats
ENG-Premier League,2425,Arsenal,23,17,8719,7980,705,188,30,43,335,284,112,103,3,2,7279,34,136,/en/squads/18bb7c10/Arsenal-Stats
ENG-Premier League,2425,Aston Villa,23,17,8003,7240,745,253,51,26,270,224,108,80,11,1,6673,18,156,/en/squads/8602292d/Aston-Villa-Stats
ENG-Premier League,2425,Bournemouth,25,17,7122,6345,741,175,28,36,365,289,111,82,9,0,5403,36,133,/en/squads/4ba7cbea/Bournemouth-Stats
ENG-Premier League,2425,Brentford,23,17,7987,7234,723,181,36,33,310,269,80,62,2,0,6295,30,130,/en/squads/cd051869/Brentford-Stats
ENG-Premier League,2425,Brighton,28,17,8773,8014,740,231,45,38,327,268,90,51,23,1,7332,19,149,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2425,Chelsea,24,17,9558,8811,721,252,44,52,281,239,106,71,5,0,8130,26,134,/en/squads/cff3d9bb/Chelsea-Stats
ENG-Premier League,2425,Crystal Palace,25,17,7305,6547,728,205,22,26,287,266,85,50,10,0,5561,30,140,/en/squads/47c64c55/Crystal-Palace-Stats
ENG-Premier League,2425,Everton,24,16,6041,5316,680,174,16,34,270,284,64,39,10,6,4588,45,138,/en/squads/d3fd31cc/Everton-Stats
ENG-Premier League,2425,Fulham,25,17,8682,7874,783,216,25,55,378,302,98,41,43,0,7096,25,151,/en/squads/fd962109/Fulham-Stats
ENG-Premier League,2425,Ipswich Town,28,17,7046,6299,719,204,30,29,252,264,80,60,11,1,5506,28,152,/en/squads/b74092de/Ipswich-Town-Stats
ENG-Premier League,2425,Leicester City,25,17,7848,7024,796,208,31,22,271,320,60,39,11,0,6248,28,151,/en/squads/a2d435b3/Leicester-City-Stats
ENG-Premier League,2425,Liverpool,23,16,9150,8405,721,191,25,58,271,299,97,69,13,1,7712,24,130,/en/squads/822bd0ba/Liverpool-Stats
ENG-Premier League,2425,Manchester City,22,17,11192,10431,744,212,40,38,337,270,143,72,17,2,9881,17,175,/en/squads/b8fd03ef/Manchester-City-Stats
ENG-Premier League,2425,Manchester Utd,25,17,9412,8694,685,172,44,54,255,289,86,43,16,8,7885,33,155,/en/squads/19538871/Manchester-United-Stats
ENG-Premier League,2425,Newcastle Utd,22,17,8518,7662,827,247,37,38,310,321,95,62,10,1,6915,29,141,/en/squads/b2b47a98/Newcastle-United-Stats
ENG-Premier League,2425,Nott'ham Forest,23,17,6497,5731,721,198,22,25,282,258,81,41,36,0,4918,45,133,/en/squads/e4a775cb/Nottingham-Forest-Stats
ENG-Premier League,2425,Southampton,31,17,9114,8350,738,244,28,30,252,223,76,51,11,0,7827,26,136,/en/squads/33c895d4/Southampton-Stats
ENG-Premier League,2425,Tottenham,25,17,9442,8545,869,260,30,34,368,305,138,63,24,0,7904,28,200,/en/squads/361ca564/Tottenham-Hotspur-Stats
ENG-Premier League,2425,West Ham,25,17,7774,7000,743,177,34,61,296,282,93,48,35,0,6136,31,145,/en/squads/7c21e445/West-Ham-United-Stats
ENG-Premier League,2425,Wolves,24,17,7560,6796,733,215,18,55,225,296,52,24,20,2,6007,31,152,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats
