,,,players_used,Age,Poss,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,url
,,,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Unnamed: 34_level_1
league,season,team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1920,Sheffield Utd,26,26.9,43.1,38,418,3420,38,36,25,61,35,1,1,63,2,43.0,42.2,34.0,76.3,493,1352,0.95,0.66,1.61,0.92,1.58,1.13,0.9,2.03,1.11,2.01,/en/squads/1df6b87e/2019-2020/Sheffield-United-Stats
ENG-Premier League,1920,Southampton,25,25.9,48.9,38,418,3420,38,51,32,83,49,2,5,55,4,56.1,52.1,36.4,88.5,628,1335,1.34,0.84,2.18,1.29,2.13,1.48,0.96,2.43,1.37,2.33,/en/squads/33c895d4/2019-2020/Southampton-Stats
ENG-Premier League,1920,Tottenham,29,26.7,52.0,38,418,3420,38,56,39,95,53,3,4,84,3,47.9,44.7,32.6,77.3,768,1410,1.47,1.03,2.5,1.39,2.42,1.26,0.86,2.12,1.18,2.03,/en/squads/361ca564/2019-2020/Tottenham-Hotspur-Stats
ENG-Premier League,1920,Watford,26,28.9,42.9,38,418,3420,38,35,21,56,28,7,8,80,3,48.9,42.6,31.4,74.0,578,1168,0.92,0.55,1.47,0.74,1.29,1.29,0.83,2.11,1.12,1.95,/en/squads/2abfe087/2019-2020/Watford-Stats
ENG-Premier League,1920,West Ham,29,27.4,44.1,38,418,3420,38,49,36,85,45,4,4,64,1,48.6,45.4,36.7,82.2,666,1377,1.29,0.95,2.24,1.18,2.13,1.28,0.97,2.24,1.2,2.16,/en/squads/7c21e445/2019-2020/West-Ham-United-Stats
ENG-Premier League,1920,Wolves,21,26.6,48.3,38,418,3420,38,49,34,83,45,4,4,61,2,54.1,51.0,37.5,88.5,858,1338,1.29,0.89,2.18,1.18,2.08,1.42,0.99,2.41,1.34,2.33,/en/squads/8cec06e1/2019-2020/Wolverhampton-Wanderers-Stats
ENG-Premier League,2021,Arsenal,29,25.9,53.5,38,418,3420,38,53,38,91,47,6,6,49,5,51.8,47.0,35.1,82.1,758,1760,1.39,1.0,2.39,1.24,2.24,1.36,0.92,2.29,1.24,2.16,/en/squads/18bb7c10/2020-2021/Arsenal-Stats
ENG-Premier League,2021,Aston Villa,24,25.2,48.5,38,418,3420,38,52,38,90,47,5,6,71,4,52.5,47.9,37.4,85.3,629,1420,1.37,1.0,2.37,1.24,2.24,1.38,0.98,2.37,1.26,2.25,/en/squads/8602292d/2020-2021/Aston-Villa-Stats
ENG-Premier League,2021,Brighton,27,25.8,51.1,38,418,3420,38,39,24,63,33,6,9,49,6,50.9,43.8,33.2,77.0,685,1516,1.03,0.63,1.66,0.87,1.5,1.34,0.87,2.21,1.15,2.03,/en/squads/d07537b9/2020-2021/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2021,Burnley,25,28.3,42.1,38,418,3420,38,32,20,52,29,3,3,48,0,39.3,36.9,27.7,64.6,389,1012,0.84,0.53,1.37,0.76,1.29,1.03,0.73,1.76,0.97,1.7,/en/squads/943e8050/2020-2021/Burnley-Stats
ENG-Premier League,2021,Chelsea,27,26.0,60.9,38,418,3420,38,56,38,94,48,8,10,51,3,62.4,54.5,41.5,96.0,895,1798,1.47,1.0,2.47,1.26,2.26,1.64,1.09,2.73,1.43,2.53,/en/squads/cff3d9bb/2020-2021/Chelsea-Stats
ENG-Premier League,2021,Crystal Palace,24,29.1,40.6,38,418,3420,38,39,29,68,36,3,4,56,2,34.1,31.0,23.6,54.6,526,1132,1.03,0.76,1.79,0.95,1.71,0.9,0.62,1.52,0.82,1.44,/en/squads/47c64c55/2020-2021/Crystal-Palace-Stats
