,,,players_used,Age,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),url
,,,Unnamed: 3_level_1,Unnamed: 4_level_1,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,Unnamed: 25_level_1
league,season,team,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2223,vs Leicester City,28,26.6,38,3420,90,100,38,418,82,271.0,146,22,196,1.92,68,51,17,0.45,63.4,50.6,12.8,0.34,/en/squads/a2d435b3/2022-2023/Leicester-City-Stats
ENG-Premier League,2223,vs Liverpool,28,26.6,38,3420,90,100,38,418,82,275.0,144,18,197,0.97,47,75,-28,-0.74,50.9,72.6,-21.7,-0.57,/en/squads/822bd0ba/2022-2023/Liverpool-Stats
ENG-Premier League,2223,vs Manchester City,24,26.6,38,3420,90,100,38,418,84,252.0,165,21,175,0.53,33,94,-61,-1.61,32.1,78.6,-46.5,-1.22,/en/squads/b8fd03ef/2022-2023/Manchester-City-Stats
ENG-Premier League,2223,vs Manchester Utd,26,26.4,38,3420,90,100,38,418,83,265.0,153,19,189,0.87,43,58,-15,-0.39,50.4,67.7,-17.3,-0.45,/en/squads/19538871/2022-2023/Manchester-United-Stats
ENG-Premier League,2223,vs Newcastle Utd,27,26.8,38,3420,90,100,38,418,84,270.0,146,23,196,0.76,33,68,-35,-0.92,39.6,72.0,-32.4,-0.85,/en/squads/b2b47a98/2022-2023/Newcastle-United-Stats
ENG-Premier League,2223,vs Nott'ham Forest,33,26.8,38,3420,90,100,38,418,82,276.0,142,18,199,1.71,68,38,30,0.79,64.2,39.3,24.9,0.66,/en/squads/e4a775cb/2022-2023/Nottingham-Forest-Stats
ENG-Premier League,2223,vs Southampton,36,26.7,38,3420,90,100,38,418,81,265.0,154,19,187,2.16,73,36,37,0.97,61.0,37.7,23.3,0.61,/en/squads/33c895d4/2022-2023/Southampton-Stats
ENG-Premier League,2223,vs Tottenham,29,26.7,38,3420,90,100,38,418,85,268.0,149,18,193,1.26,63,70,-7,-0.18,49.7,57.1,-7.4,-0.2,/en/squads/361ca564/2022-2023/Tottenham-Hotspur-Stats
ENG-Premier League,2223,vs West Ham,25,26.6,38,3420,90,100,38,418,84,270.0,148,20,193,1.76,55,42,13,0.34,53.0,49.2,3.9,0.1,/en/squads/7c21e445/2022-2023/West-Ham-United-Stats
ENG-Premier League,2223,vs Wolves,32,26.4,38,3420,90,100,38,418,80,260.0,159,18,183,1.71,58,31,27,0.71,59.9,36.8,23.1,0.61,/en/squads/8cec06e1/2022-2023/Wolverhampton-Wanderers-Stats
ENG-Premier League,2324,vs Arsenal,25,26.3,38,3420,90,100,38,418,84,270.0,147,22,192,0.53,29,91,-62,-1.63,27.9,76.1,-48.2,-1.27,/en/squads/18bb7c10/2023-2024/Arsenal-Stats
ENG-Premier League,2324,vs Aston Villa,31,26.2,38,3420,90,100,38,418,83,258.0,156,19,184,1.0,61,76,-15,-0.39,59.9,63.3,-3.4,-0.09,/en/squads/8602292d/2023-2024/Aston-Villa-Stats
ENG-Premier League,2324,vs Bournemouth,30,26.2,38,3420,90,100,38,418,82,262.0,154,19,187,1.5,67,54,13,0.34,58.1,55.9,2.2,0.06,/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats
ENG-Premier League,2324,vs Brentford,28,26.1,38,3420,90,100,38,418,83,280.0,136,19,206,1.74,65,56,9,0.24,56.0,58.2,-2.2,-0.06,/en/squads/cd051869/2023-2024/Brentford-Stats
ENG-Premier League,2324,vs Brighton,30,26.3,38,3420,90,100,38,418,80,263.0,153,18,188,1.42,62,55,7,0.18,55.4,56.8,-1.4,-0.04,/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2324,vs Burnley,31,26.3,38,3420,90,100,38,418,82,273.0,145,18,195,2.13,78,41,37,0.97,70.4,40.6,29.7,0.78,/en/squads/943e8050/2023-2024/Burnley-Stats
ENG-Premier League,2324,vs Chelsea,32,26.3,38,3420,90,100,38,418,84,263.0,154,21,187,1.11,63,77,-14,-0.37,58.1,74.5,-16.4,-0.43,/en/squads/cff3d9bb/2023-2024/Chelsea-Stats
ENG-Premier League,2324,vs Crystal Palace,26,26.3,38,3420,90,100,38,418,85,258.0,158,18,183,1.45,58,57,1,0.03,52.0,48.6,3.4,0.09,/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats
ENG-Premier League,2324,vs Everton,26,26.3,38,3420,90,100,38,418,85,271.0,146,19,194,1.5,51,40,11,0.29,55.2,54.0,1.2,0.03,/en/squads/d3fd31cc/2023-2024/Everton-Stats
ENG-Premier League,2324,vs Fulham,25,26.1,38,3420,90,100,38,418,82,263.0,158,21,183,1.55,61,55,6,0.16,62.9,50.8,12.1,0.32,/en/squads/fd962109/2023-2024/Fulham-Stats
