,,,players_used,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,url
ENG-Premier League,1920,vs Crystal Palace,2,38,38,3420,38,31,0.82,118,89,76.3,17,10,11,16,42.1,3,3,0,0,0.0,/en/squads/47c64c55/2019-2020/Crystal-Palace-Stats
ENG-Premier League,1920,vs Everton,1,38,38,3420,38,44,1.16,160,118,73.1,15,10,13,10,26.3,1,1,0,0,0.0,/en/squads/d3fd31cc/2019-2020/Everton-Stats
ENG-Premier League,1920,vs Leicester City,1,38,38,3420,38,67,1.76,190,123,67.4,12,8,18,9,23.7,7,5,2,0,28.6,/en/squads/a2d435b3/2019-2020/Leicester-City-Stats
ENG-Premier League,1920,vs Liverpool,2,38,38,3420,38,85,2.24,229,146,65.1,3,3,32,3,7.9,5,5,0,0,0.0,/en/squads/822bd0ba/2019-2020/Liverpool-Stats
ENG-Premier League,1920,vs Manchester City,2,38,38,3420,38,102,2.68,261,156,63.2,9,3,26,4,10.5,11,6,5,0,45.5,/en/squads/b8fd03ef/2019-2020/Manchester-City-Stats
ENG-Premier League,1920,vs Manchester Utd,1,38,38,3420,38,66,1.74,214,146,73.8,8,12,18,8,21.1,14,10,3,1,23.1,/en/squads/19538871/2019-2020/Manchester-United-Stats
ENG-Premier League,1920,vs Newcastle Utd,1,38,38,3420,38,38,1.0,133,94,71.4,16,11,11,13,34.2,1,0,1,0,100.0,/en/squads/b2b47a98/2019-2020/Newcastle-United-Stats
ENG-Premier League,1920,vs Norwich City,3,38,38,3420,38,26,0.68,128,103,81.3,27,6,5,20,52.6,2,2,0,0,0.0,/en/squads/1c781004/2019-2020/Norwich-City-Stats
ENG-Premier League,1920,vs Sheffield Utd,2,38,38,3420,38,39,1.03,110,74,65.5,12,12,14,12,31.6,1,1,0,0,0.0,/en/squads/1df6b87e/2019-2020/Sheffield-United-Stats
ENG-Premier League,1920,vs Southampton,2,38,38,3420,38,51,1.34,175,122,72.0,16,7,15,6,15.8,5,2,2,1,50.0,/en/squads/33c895d4/2019-2020/Southampton-Stats
ENG-Premier League,1920,vs Tottenham,2,38,38,3420,38,61,1.61,158,101,63.3,11,11,16,7,18.4,4,3,1,0,25.0,/en/squads/361ca564/2019-2020/Tottenham-Hotspur-Stats
ENG-Premier League,1920,vs Watford,1,38,38,3420,38,36,0.95,120,84,75.8,20,10,8,16,42.1,8,7,1,0,12.5,/en/squads/2abfe087/2019-2020/Watford-Stats
ENG-Premier League,1920,vs West Ham,4,38,38,3420,38,49,1.29,160,111,71.9,19,9,10,12,31.6,4,4,0,0,0.0,/en/squads/7c21e445/2019-2020/West-Ham-United-Stats
ENG-Premier League,1920,vs Wolves,1,38,38,3418,38,51,1.34,146,97,67.8,9,14,15,8,21.1,4,4,0,0,0.0,/en/squads/8cec06e1/2019-2020/Wolverhampton-Wanderers-Stats
ENG-Premier League,2021,vs Arsenal,3,38,38,3420,38,55,1.45,146,93,66.4,13,7,18,12,31.6,6,6,0,0,0.0,/en/squads/18bb7c10/2020-2021/Arsenal-Stats
ENG-Premier League,2021,vs Aston Villa,1,38,38,3420,38,55,1.45,183,131,72.7,15,7,16,8,21.1,6,5,0,1,0.0,/en/squads/8602292d/2020-2021/Aston-Villa-Stats
ENG-Premier League,2021,vs Brighton,2,38,38,3420,38,40,1.05,140,101,75.7,15,14,9,12,31.6,9,6,0,3,0.0,/en/squads/d07537b9/2020-2021/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2021,vs Burnley,3,38,38,3420,38,33,0.87,127,95,76.4,19,9,10,17,44.7,3,3,0,0,0.0,/en/squads/943e8050/2020-2021/Burnley-Stats
ENG-Premier League,2021,vs Chelsea,3,38,38,3420,38,58,1.53,203,145,75.4,9,10,19,10,26.3,10,8,2,0,20.0,/en/squads/cff3d9bb/2020-2021/Chelsea-Stats
ENG-Premier League,2021,vs Crystal Palace,2,38,38,3420,38,41,1.08,131,91,71.0,18,8,12,14,36.8,4,3,1,0,25.0,/en/squads/47c64c55/2020-2021/Crystal-Palace-Stats
ENG-Premier League,2021,vs Everton,3,38,38,3420,38,47,1.24,148,102,70.9,13,8,17,10,26.3,5,4,1,0,20.0,/en/squads/d3fd31cc/2020-2021/Everton-Stats
ENG-Premier League,2021,vs Fulham,2,38,38,3420,38,27,0.71,129,102,81.4,20,13,5,18,47.4,6,3,1,2,25.0,/en/squads/fd962109/2020-2021/Fulham-Stats
ENG-Premier League,2021,vs Leeds United,2,38,38,3420,38,62,1.63,197,136,70.6,15,5,18,10,26.3,4,4,0,0,0.0,/en/squads/5bfb9659/2020-2021/Leeds-United-Stats
ENG-Premier League,2021,vs Leicester City,1,38,38,3420,38,68,1.79,182,116,68.1,12,6,20,6,15.8,12,10,2,0,16.7,/en/squads/a2d435b3/2020-2021/Leicester-City-Stats
ENG-Premier League,2021,vs Liverpool,3,38,38,3420,38,68,1.79,210,145,70.5,9,9,20,8,21.1,6,6,0,0,0.0,/en/squads/822bd0ba/2020-2021/Liverpool-Stats
ENG-Premier League,2021,vs Manchester City,3,38,38,3420,38,83,2.18,217,127,64.1,6,5,27,3,7.9,9,5,1,3,16.7,/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats
ENG-Premier League,2021,vs Manchester Utd,2,38,38,3420,38,73,1.92,207,135,69.6,6,11,21,8,21.1,11,10,1,0,9.1,/en/squads/19538871/2020-2021/Manchester-United-Stats
ENG-Premier League,2021,vs Newcastle Utd,2,38,38,3420,38,46,1.21,137,92,70.8,17,9,12,12,31.6,7,6,1,0,14.3,/en/squads/b2b47a98/2020-2021/Newcastle-United-Stats
ENG-Premier League,2021,vs Sheffield Utd,1,38,38,3420,38,20,0.53,96,76,82.3,29,2,7,21,55.3,4,3,1,0,25.0,/en/squads/1df6b87e/2020-2021/Sheffield-United-Stats
ENG-Premier League,2021,vs Southampton,2,38,38,3420,38,47,1.24,163,115,74.2,19,7,12,13,34.2,6,5,1,0,16.7,/en/squads/33c895d4/2020-2021/Southampton-Stats
ENG-Premier League,2021,vs Tottenham,1,38,38,3420,38,68,1.79,172,106,63.4,12,8,18,6,15.8,5,5,0,0,0.0,/en/squads/361ca564/2020-2021/Tottenham-Hotspur-Stats
ENG-Premier League,2021,vs West Brom,2,38,38,3420,38,35,0.92,110,77,71.8,22,11,5,16,42.1,4,4,0,0,0.0,/en/squads/60c6b05f/2020-2021/West-Bromwich-Albion-Stats
ENG-Premier League,2021,vs West Ham,2,38,38,3420,38,62,1.63,161,100,62.7,11,8,19,7,18.4,4,2,1,1,33.3,/en/squads/7c21e445/2020-2021/West-Ham-United-Stats
ENG-Premier League,2021,vs Wolves,2,38,38,3417,38,36,0.95,153,119,79.1,17,9,12,13,34.2,4,4,0,0,0.0,/en/squads/8cec06e1/2020-2021/Wolverhampton-Wanderers-Stats
ENG-Premier League,2122,vs Arsenal,2,38,38,3420,38,61,1.61,194,131,71.1,13,3,22,11,28.9,8,5,3,0,37.5,/en/squads/18bb7c10/2021-2022/Arsenal-Stats
ENG-Premier League,2122,vs Aston Villa,3,38,38,3420,38,52,1.37,162,112,69.8,19,6,13,8,21.1,3,3,0,0,0.0,/en/squads/8602292d/2021-2022/Aston-Villa-Stats
ENG-Premier League,2122,vs Brentford,3,38,38,3420,38,48,1.26,147,101,71.4,18,7,13,12,31.6,6,6,0,0,0.0,/en/squads/cd051869/2021-2022/Brentford-Stats
ENG-Premier League,2122,vs Brighton,2,38,38,3420,38,42,1.11,146,105,74.0,11,15,12,13,34.2,7,4,1,2,20.0,/en/squads/d07537b9/2021-2022/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2122,vs Burnley,2,38,38,3420,38,34,0.89,120,88,72.5,17,14,7,16,42.1,2,1,0,1,0.0,/en/squads/943e8050/2021-2022/Burnley-Stats
ENG-Premier League,2122,vs Chelsea,2,38,38,3420,38,76,2.0,209,133,67.5,6,11,21,4,10.5,9,8,1,0,11.1,/en/squads/cff3d9bb/2021-2022/Chelsea-Stats
ENG-Premier League,2122,vs Crystal Palace,2,38,38,3420,38,50,1.32,147,96,70.1,12,15,11,11,28.9,8,6,1,1,14.3,/en/squads/47c64c55/2021-2022/Crystal-Palace-Stats
ENG-Premier League,2122,vs Everton,2,38,38,3420,38,43,1.13,136,94,72.8,21,6,11,12,31.6,7,6,0,1,0.0,/en/squads/d3fd31cc/2021-2022/Everton-Stats
ENG-Premier League,2122,vs Leeds United,2,38,38,3420,38,42,1.11,147,105,74.8,18,11,9,13,34.2,5,5,0,0,0.0,/en/squads/5bfb9659/2021-2022/Leeds-United-Stats
ENG-Premier League,2122,vs Leicester City,2,38,38,3420,38,62,1.63,166,104,63.9,14,10,14,6,15.8,2,2,0,0,0.0,/en/squads/a2d435b3/2021-2022/Leicester-City-Stats
ENG-Premier League,2122,vs Liverpool,2,38,38,3420,38,94,2.47,245,150,64.5,2,8,28,1,2.6,8,7,1,0,12.5,/en/squads/822bd0ba/2021-2022/Liverpool-Stats
ENG-Premier League,2122,vs Manchester City,2,38,38,3420,38,99,2.61,246,148,62.6,3,6,29,4,10.5,9,7,2,0,22.2,/en/squads/b8fd03ef/2021-2022/Manchester-City-Stats
ENG-Premier League,2122,vs Manchester Utd,1,38,38,3420,38,57,1.5,182,126,70.3,12,10,16,9,23.7,5,3,0,2,0.0,/en/squads/19538871/2021-2022/Manchester-United-Stats
ENG-Premier League,2122,vs Newcastle Utd,3,38,38,3419,38,44,1.16,145,104,71.7,15,10,13,9,23.7,3,3,0,0,0.0,/en/squads/b2b47a98/2021-2022/Newcastle-United-Stats
ENG-Premier League,2122,vs Norwich City,2,38,38,3420,38,23,0.61,107,86,81.3,26,7,5,22,57.9,3,3,0,0,0.0,/en/squads/1c781004/2021-2022/Norwich-City-Stats
ENG-Premier League,2122,vs Southampton,3,38,38,3420,38,43,1.13,165,124,76.4,16,13,9,9,23.7,4,4,0,0,0.0,/en/squads/33c895d4/2021-2022/Southampton-Stats
ENG-Premier League,2122,vs Tottenham,1,38,38,3420,38,69,1.82,190,127,66.3,11,5,22,10,26.3,5,5,0,0,0.0,/en/squads/361ca564/2021-2022/Tottenham-Hotspur-Stats
ENG-Premier League,2122,vs Watford,2,38,38,3420,38,34,0.89,125,91,73.6,27,5,6,18,47.4,2,1,1,0,50.0,/en/squads/2abfe087/2021-2022/Watford-Stats
ENG-Premier League,2122,vs West Ham,2,38,38,3420,38,60,1.58,148,88,62.2,14,8,16,8,21.1,6,4,2,0,33.3,/en/squads/7c21e445/2021-2022/West-Ham-United-Stats
ENG-Premier League,2122,vs Wolves,2,38,38,3420,38,38,1.0,134,99,72.4,17,6,15,16,42.1,1,1,0,0,0.0,/en/squads/8cec06e1/2021-2022/Wolverhampton-Wanderers-Stats
ENG-Premier League,2223,vs Arsenal,1,38,38,3420,38,88,2.32,197,113,56.9,6,6,26,4,10.5,4,3,0,1,0.0,/en/squads/18bb7c10/2022-2023/Arsenal-Stats
ENG-Premier League,2223,vs Aston Villa,2,38,38,3420,38,51,1.34,148,99,67.6,13,7,18,8,21.1,4,3,0,1,0.0,/en/squads/8602292d/2022-2023/Aston-Villa-Stats
ENG-Premier League,2223,vs Bournemouth,2,38,38,3420,38,37,0.97,126,89,70.6,21,6,11,18,47.4,0,0,0,0,,/en/squads/4ba7cbea/2022-2023/Bournemouth-Stats
ENG-Premier League,2223,vs Brentford,1,38,38,3420,38,58,1.53,155,98,67.1,9,14,15,9,23.7,8,7,1,0,12.5,/en/squads/cd051869/2022-2023/Brentford-Stats
ENG-Premier League,2223,vs Brighton,2,38,38,3420,38,72,1.89,225,157,70.7,12,8,18,5,13.2,6,6,0,0,0.0,/en/squads/d07537b9/2022-2023/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2223,vs Chelsea,2,38,38,3420,38,38,1.0,154,116,77.3,16,11,11,14,36.8,3,3,0,0,0.0,/en/squads/cff3d9bb/2022-2023/Chelsea-Stats
ENG-Premier League,2223,vs Crystal Palace,3,38,38,3420,38,40,1.05,135,96,71.1,15,12,11,16,42.1,3,1,1,1,50.0,/en/squads/47c64c55/2022-2023/Crystal-Palace-Stats
ENG-Premier League,2223,vs Everton,2,38,38,3420,38,34,0.89,146,114,78.8,18,12,8,14,36.8,3,3,0,0,0.0,/en/squads/d3fd31cc/2022-2023/Everton-Stats
ENG-Premier League,2223,vs Fulham,2,38,38,3420,38,55,1.45,145,90,65.5,16,7,15,9,23.7,9,5,3,1,37.5,/en/squads/fd962109/2022-2023/Fulham-Stats
ENG-Premier League,2223,vs Leeds United,2,38,38,3420,38,48,1.26,143,97,67.1,21,10,7,10,26.3,3,1,1,1,50.0,/en/squads/5bfb9659/2022-2023/Leeds-United-Stats
ENG-Premier League,2223,vs Leicester City,2,38,38,3420,38,51,1.34,148,96,67.6,22,7,9,12,31.6,6,3,3,0,50.0,/en/squads/a2d435b3/2022-2023/Leicester-City-Stats
ENG-Premier League,2223,vs Liverpool,2,38,38,3418,38,75,1.97,205,134,64.4,9,10,19,8,21.1,4,2,0,2,0.0,/en/squads/822bd0ba/2022-2023/Liverpool-Stats
ENG-Premier League,2223,vs Manchester City,2,38,38,3420,38,94,2.47,214,122,60.3,5,5,28,3,7.9,10,9,0,1,0.0,/en/squads/b8fd03ef/2022-2023/Manchester-City-Stats
ENG-Premier League,2223,vs Manchester Utd,1,38,38,3420,38,58,1.53,209,153,73.7,9,6,23,7,18.4,3,3,0,0,0.0,/en/squads/19538871/2022-2023/Manchester-United-Stats
ENG-Premier League,2223,vs Newcastle Utd,2,38,38,3420,38,68,1.79,190,126,67.4,5,14,19,11,28.9,6,6,0,0,0.0,/en/squads/b2b47a98/2022-2023/Newcastle-United-Stats
ENG-Premier League,2223,vs Nott'ham Forest,3,38,38,3420,38,38,1.0,117,78,70.1,18,11,9,12,31.6,6,3,3,0,50.0,/en/squads/e4a775cb/2022-2023/Nottingham-Forest-Stats
ENG-Premier League,2223,vs Southampton,2,38,38,3420,38,36,0.95,136,98,75.0,25,7,6,15,39.5,4,2,2,0,50.0,/en/squads/33c895d4/2022-2023/Southampton-Stats
ENG-Premier League,2223,vs Tottenham,2,38,38,3420,38,70,1.84,192,123,66.1,14,6,18,4,10.5,6,5,1,0,16.7,/en/squads/361ca564/2022-2023/Tottenham-Hotspur-Stats
ENG-Premier League,2223,vs West Ham,2,38,38,3420,38,42,1.11,141,98,74.5,20,7,11,13,34.2,8,6,2,0,25.0,/en/squads/7c21e445/2022-2023/West-Ham-United-Stats
ENG-Premier League,2223,vs Wolves,2,38,38,3420,38,31,0.82,122,94,77.0,19,8,11,15,39.5,3,3,0,0,0.0,/en/squads/8cec06e1/2022-2023/Wolverhampton-Wanderers-Stats
