,,,players_used,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,url
ENG-Premier League,2021,vs Everton,29,38,66,1,0,409,372,42,746,357,314,4,5,2,1997,486,665,42.2,/en/squads/d3fd31cc/2020-2021/Everton-Stats
ENG-Premier League,2021,vs Fulham,28,38,40,1,0,387,462,103,693,404,373,6,6,1,1986,625,649,49.1,/en/squads/fd962109/2020-2021/Fulham-Stats
ENG-Premier League,2021,vs Leeds United,23,38,49,2,1,432,422,53,613,426,318,8,4,2,2165,605,538,52.9,/en/squads/5bfb9659/2020-2021/Leeds-United-Stats
ENG-Premier League,2021,vs Leicester City,27,38,61,1,0,439,399,72,647,449,350,2,12,4,2047,590,600,49.6,/en/squads/a2d435b3/2020-2021/Leicester-City-Stats
ENG-Premier League,2021,vs Liverpool,28,38,56,2,0,343,380,95,531,456,343,7,6,3,2091,572,537,51.6,/en/squads/822bd0ba/2020-2021/Liverpool-Stats
ENG-Premier League,2021,vs Manchester City,24,38,61,2,1,390,345,67,426,405,358,10,9,1,1743,417,479,46.5,/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats
ENG-Premier League,2021,vs Manchester Utd,29,38,64,3,1,412,437,60,617,478,369,3,11,3,2048,413,546,43.1,/en/squads/19538871/2020-2021/Manchester-United-Stats
ENG-Premier League,2021,vs Newcastle Utd,27,38,60,3,1,432,369,70,844,372,276,3,7,2,1973,655,634,50.8,/en/squads/b2b47a98/2020-2021/Newcastle-United-Stats
ENG-Premier League,2021,vs Sheffield Utd,27,38,39,1,1,304,445,57,718,296,301,3,4,1,1942,798,718,52.6,/en/squads/1df6b87e/2020-2021/Sheffield-United-Stats
ENG-Premier League,2021,vs Southampton,29,38,58,3,2,438,405,89,667,428,355,7,6,0,2055,713,527,57.5,/en/squads/33c895d4/2020-2021/Southampton-Stats
ENG-Premier League,2021,vs Tottenham,24,38,77,1,0,495,428,76,754,429,381,8,5,2,2165,647,618,51.1,/en/squads/361ca564/2020-2021/Tottenham-Hotspur-Stats
ENG-Premier League,2021,vs West Brom,30,38,50,1,1,431,382,60,841,328,328,7,4,2,2044,771,709,52.1,/en/squads/60c6b05f/2020-2021/West-Bromwich-Albion-Stats
ENG-Premier League,2021,vs West Ham,24,38,52,1,1,366,352,59,740,364,328,5,4,2,2001,677,738,47.8,/en/squads/7c21e445/2020-2021/West-Ham-United-Stats
ENG-Premier League,2021,vs Wolves,27,38,62,6,1,405,409,65,736,345,339,7,4,2,1871,596,576,50.9,/en/squads/8cec06e1/2020-2021/Wolverhampton-Wanderers-Stats
ENG-Premier League,2122,vs Arsenal,27,38,69,3,2,375,346,64,606,364,339,5,8,1,1817,572,463,55.3,/en/squads/18bb7c10/2021-2022/Arsenal-Stats
ENG-Premier League,2122,vs Aston Villa,31,38,83,1,0,512,392,39,685,339,343,5,3,2,1922,561,538,51.0,/en/squads/8602292d/2021-2022/Aston-Villa-Stats
ENG-Premier League,2122,vs Brentford,29,38,50,3,0,377,357,71,812,381,285,5,6,2,2204,728,717,50.4,/en/squads/cd051869/2021-2022/Brentford-Stats
ENG-Premier League,2122,vs Brighton,26,38,80,0,0,373,373,42,680,389,358,3,7,2,2094,498,569,46.7,/en/squads/d07537b9/2021-2022/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2122,vs Burnley,23,38,44,0,0,339,381,54,861,280,306,3,2,2,2068,733,827,47.0,/en/squads/943e8050/2021-2022/Burnley-Stats
ENG-Premier League,2122,vs Chelsea,26,38,69,4,1,406,389,67,533,376,356,4,9,1,1921,486,538,47.5,/en/squads/cff3d9bb/2021-2022/Chelsea-Stats
ENG-Premier League,2122,vs Crystal Palace,24,38,74,3,2,499,391,53,664,378,440,2,8,0,2109,618,610,50.3,/en/squads/47c64c55/2021-2022/Crystal-Palace-Stats
ENG-Premier League,2122,vs Everton,33,38,72,0,0,400,345,43,719,333,336,1,7,1,2049,725,634,53.3,/en/squads/d3fd31cc/2021-2022/Everton-Stats
ENG-Premier League,2122,vs Leeds United,29,38,74,3,3,386,465,53,568,398,351,4,5,0,2228,626,470,57.1,/en/squads/5bfb9659/2021-2022/Leeds-United-Stats
ENG-Premier League,2122,vs Leicester City,28,38,60,0,0,406,350,73,738,400,370,7,2,0,2104,553,530,51.1,/en/squads/a2d435b3/2021-2022/Leicester-City-Stats
ENG-Premier League,2122,vs Liverpool,27,38,63,3,0,311,348,144,460,487,350,0,8,0,2137,467,571,45.0,/en/squads/822bd0ba/2021-2022/Liverpool-Stats
ENG-Premier League,2122,vs Manchester City,26,38,68,3,2,342,306,94,397,374,359,1,9,3,1665,397,482,45.2,/en/squads/b8fd03ef/2021-2022/Manchester-City-Stats
ENG-Premier League,2122,vs Manchester Utd,29,38,48,1,0,333,386,72,648,430,347,3,5,1,2039,443,555,44.4,/en/squads/19538871/2021-2022/Manchester-United-Stats
ENG-Premier League,2122,vs Newcastle Utd,29,38,75,3,0,382,380,58,685,268,364,5,3,3,1967,619,677,47.8,/en/squads/b2b47a98/2021-2022/Newcastle-United-Stats
ENG-Premier League,2122,vs Norwich City,28,38,62,2,1,445,342,56,793,330,363,8,3,2,2085,598,493,54.8,/en/squads/1c781004/2021-2022/Norwich-City-Stats
ENG-Premier League,2122,vs Southampton,25,38,64,1,1,377,390,65,721,349,357,2,4,2,2198,726,672,51.9,/en/squads/33c895d4/2021-2022/Southampton-Stats
ENG-Premier League,2122,vs Tottenham,25,38,83,6,4,411,369,43,740,368,369,0,5,6,1925,500,560,47.2,/en/squads/361ca564/2021-2022/Tottenham-Hotspur-Stats
ENG-Premier League,2122,vs Watford,30,38,64,1,1,364,428,55,801,347,438,6,2,1,2253,749,711,51.3,/en/squads/2abfe087/2021-2022/Watford-Stats
ENG-Premier League,2122,vs West Ham,25,38,49,3,1,294,307,35,758,337,324,5,6,2,1901,628,639,49.6,/en/squads/7c21e445/2021-2022/West-Ham-United-Stats
ENG-Premier League,2122,vs Wolves,26,38,90,3,3,355,356,85,721,383,388,8,1,3,2122,490,461,51.5,/en/squads/8cec06e1/2021-2022/Wolverhampton-Wanderers-Stats
ENG-Premier League,2223,vs Arsenal,26,38,84,1,0,456,354,83,510,360,387,4,4,4,1821,559,486,53.5,/en/squads/18bb7c10/2022-2023/Arsenal-Stats
ENG-Premier League,2223,vs Aston Villa,26,38,85,3,3,508,403,116,689,332,370,3,4,2,1962,465,442,51.3,/en/squads/8602292d/2022-2023/Aston-Villa-Stats
ENG-Premier League,2223,vs Bournemouth,31,38,51,0,0,375,372,65,930,279,426,3,0,0,2160,539,521,50.8,/en/squads/4ba7cbea/2022-2023/Bournemouth-Stats
ENG-Premier League,2223,vs Brentford,25,38,61,1,0,415,338,61,781,291,330,1,8,2,1975,618,665,48.2,/en/squads/cd051869/2022-2023/Brentford-Stats
ENG-Premier League,2223,vs Brighton,29,38,92,1,0,426,409,43,444,417,350,6,6,4,1875,387,444,46.6,/en/squads/d07537b9/2022-2023/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2223,vs Chelsea,32,38,69,1,1,468,378,50,591,374,429,1,3,1,1956,453,493,47.9,/en/squads/cff3d9bb/2022-2023/Chelsea-Stats
ENG-Premier League,2223,vs Crystal Palace,26,38,83,3,1,487,429,70,682,366,436,3,3,2,2130,578,496,53.8,/en/squads/47c64c55/2022-2023/Crystal-Palace-Stats
ENG-Premier League,2223,vs Everton,28,38,76,1,0,400,382,54,758,275,365,5,3,2,2092,613,582,51.3,/en/squads/d3fd31cc/2022-2023/Everton-Stats
ENG-Premier League,2223,vs Fulham,29,38,57,5,1,419,392,88,608,340,363,8,9,3,2070,550,511,51.8,/en/squads/fd962109/2022-2023/Fulham-Stats
ENG-Premier League,2223,vs Leeds United,29,38,66,3,1,422,453,86,612,391,427,5,3,3,2255,607,586,50.9,/en/squads/5bfb9659/2022-2023/Leeds-United-Stats
ENG-Premier League,2223,vs Leicester City,28,38,64,2,2,410,395,78,712,339,336,3,6,2,2119,558,512,52.1,/en/squads/a2d435b3/2022-2023/Leicester-City-Stats
ENG-Premier League,2223,vs Liverpool,28,38,59,1,0,343,383,88,515,410,391,4,4,4,2083,455,482,48.6,/en/squads/822bd0ba/2022-2023/Liverpool-Stats
ENG-Premier League,2223,vs Manchester City,24,38,80,2,1,402,332,72,395,327,298,3,10,2,1647,364,438,45.4,/en/squads/b8fd03ef/2022-2023/Manchester-City-Stats
ENG-Premier League,2223,vs Manchester Utd,26,38,50,0,0,310,413,43,670,415,361,2,3,2,2119,434,465,48.3,/en/squads/19538871/2022-2023/Manchester-United-Stats
ENG-Premier League,2223,vs Newcastle Utd,27,38,80,2,0,419,391,56,564,341,421,4,6,4,1956,427,553,43.6,/en/squads/b2b47a98/2022-2023/Newcastle-United-Stats
ENG-Premier League,2223,vs Nott'ham Forest,33,38,65,0,0,414,425,58,817,286,301,5,6,2,2022,600,560,51.7,/en/squads/e4a775cb/2022-2023/Nottingham-Forest-Stats
ENG-Premier League,2223,vs Southampton,36,38,63,2,1,399,413,53,686,318,418,3,4,0,2170,611,551,52.6,/en/squads/33c895d4/2022-2023/Southampton-Stats
ENG-Premier League,2223,vs Tottenham,29,38,79,2,1,381,412,47,665,322,393,3,6,2,2050,474,549,46.3,/en/squads/361ca564/2022-2023/Tottenham-Hotspur-Stats
ENG-Premier League,2223,vs West Ham,25,38,54,0,0,328,341,45,730,292,373,5,8,1,2070,587,620,48.6,/en/squads/7c21e445/2022-2023/West-Ham-United-Stats
ENG-Premier League,2223,vs Wolves,32,38,75,0,0,413,446,37,735,317,360,4,3,3,2000,542,465,53.8,/en/squads/8cec06e1/2022-2023/Wolverhampton-Wanderers-Stats
