,,,players_used,Poss,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,url
,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,
league,season,team,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2122,vs Aston Villa,31,53.5,38,23096,2362,7680,10237,5398,852,23090,649,349,53.8,300,46.2,12899,69297,36612,741,475,222,542,334,15104,1499,/en/squads/8602292d/2021-2022/Aston-Villa-Stats
ENG-Premier League,2122,vs Brentford,29,55.5,38,24462,2251,6892,11000,6765,838,24457,616,325,52.8,291,47.2,13970,69503,34218,734,609,164,618,316,15638,1517,/en/squads/cd051869/2021-2022/Brentford-Stats
ENG-Premier League,2122,vs Brighton,26,45.3,38,21578,2394,7672,8761,5358,830,21574,564,320,56.7,243,43.1,11610,61934,31945,642,446,197,581,425,13173,1250,/en/squads/d07537b9/2021-2022/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2122,vs Burnley,23,60.2,38,25638,2435,8341,10906,6613,1094,25633,534,284,53.2,250,46.8,14368,77595,41281,865,582,253,571,340,16680,1694,/en/squads/943e8050/2021-2022/Burnley-Stats
ENG-Premier League,2122,vs Chelsea,26,37.7,38,19624,2723,7393,7923,4499,614,19618,567,310,54.7,257,45.3,10135,54161,25855,495,367,130,592,364,11579,993,/en/squads/cff3d9bb/2021-2022/Chelsea-Stats
ENG-Premier League,2122,vs Crystal Palace,24,49.1,38,22794,2209,7021,10187,5794,794,22790,575,302,52.5,273,47.5,12186,62876,31764,563,428,135,652,364,14161,1394,/en/squads/47c64c55/2021-2022/Crystal-Palace-Stats
ENG-Premier League,2122,vs Everton,33,60.3,38,26579,2286,7934,12214,6624,880,26577,735,399,54.3,336,45.7,14994,76711,41763,735,574,160,664,369,17894,1782,/en/squads/d3fd31cc/2021-2022/Everton-Stats
ENG-Premier League,2122,vs Leeds United,29,47.5,38,21610,2367,7145,9288,5440,949,21605,886,478,54.0,408,46.0,11522,65965,34372,700,480,208,675,379,12886,1339,/en/squads/5bfb9659/2021-2022/Leeds-United-Stats
ENG-Premier League,2122,vs Leicester City,28,47.9,38,23094,2218,7065,10268,6018,1025,23085,720,414,57.5,306,42.5,13115,70989,36278,732,510,208,598,384,14699,1481,/en/squads/a2d435b3/2021-2022/Leicester-City-Stats
ENG-Premier League,2122,vs Liverpool,27,36.7,38,19789,3363,8838,7652,3510,540,19789,577,343,59.4,233,40.4,10261,50690,24148,469,309,139,655,321,10987,898,/en/squads/822bd0ba/2021-2022/Liverpool-Stats
ENG-Premier League,2122,vs Manchester City,26,31.5,38,17313,3457,8404,6269,2844,464,17312,509,282,55.4,227,44.6,9091,46446,22113,392,286,119,510,271,9919,749,/en/squads/b8fd03ef/2021-2022/Manchester-City-Stats
ENG-Premier League,2122,vs Manchester Utd,29,47.1,38,23079,2490,7246,10393,5671,814,23074,608,343,56.4,265,43.6,13079,67807,33613,672,482,173,547,320,14963,1396,/en/squads/19538871/2021-2022/Manchester-United-Stats
ENG-Premier League,2122,vs Newcastle Utd,29,60.1,38,25217,2219,6731,12257,6462,909,25211,641,337,52.6,304,47.4,14551,76683,41845,774,592,193,562,355,17121,1709,/en/squads/b2b47a98/2021-2022/Newcastle-United-Stats
ENG-Premier League,2122,vs Norwich City,28,57.5,38,25642,1977,6870,11765,7247,1136,25630,714,417,58.4,297,41.6,14991,79766,42726,822,588,257,560,317,17581,1756,/en/squads/1c781004/2021-2022/Norwich-City-Stats
ENG-Premier League,2122,vs Southampton,25,52.1,38,23224,2471,7680,9846,5890,898,23222,581,333,57.3,248,42.7,12115,63337,31846,647,461,187,659,354,14247,1483,/en/squads/33c895d4/2021-2022/Southampton-Stats
ENG-Premier League,2122,vs Tottenham,25,48.0,38,23287,2341,6799,10610,6087,859,23285,585,322,55.0,262,44.8,13789,69157,34379,653,494,168,558,336,15465,1428,/en/squads/361ca564/2021-2022/Tottenham-Hotspur-Stats
ENG-Premier League,2122,vs Watford,30,59.7,38,25989,2020,7589,12050,6577,1057,25982,627,348,55.5,278,44.3,14666,75897,41153,744,559,195,631,336,17236,1732,/en/squads/2abfe087/2021-2022/Watford-Stats
ENG-Premier League,2122,vs West Ham,25,52.2,38,24232,2449,7533,10770,6167,960,24226,557,317,56.9,240,43.1,14273,78362,42157,845,621,217,572,294,16104,1522,/en/squads/7c21e445/2021-2022/West-Ham-United-Stats
