,,,,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err
ENG-Premier League,2425,Everton,Abdoulaye Doucouré,MLI,MF,31-357,1993,11.9,21,9,12,7,2,6,13,46.2,7,17,4,13,5,26,10,0
ENG-Premier League,2425,Everton,Armando Broja,ALB,FW,23-104,2001,0.4,1,0,0,1,0,0,0,,0,0,0,0,0,1,1,0
ENG-Premier League,2425,Everton,Ashley Young,ENG,DF,39-167,1985,13.3,43,23,21,18,4,26,41,63.4,15,6,2,4,18,61,43,0
ENG-Premier League,2425,Everton,Beto,GNB,FW,26-327,1998,2.3,3,0,0,2,1,1,2,50.0,1,1,0,1,0,3,2,0
ENG-Premier League,2425,Everton,Dominic Calvert-Lewin,ENG,FW,27-282,1997,13.7,7,5,1,3,3,0,2,0.0,2,5,2,3,6,13,15,0
ENG-Premier League,2425,Everton,Dwight McNeil,ENG,"MF,FW",25-031,1999,12.7,10,6,5,3,2,7,16,43.8,9,7,0,7,5,15,1,1
ENG-Premier League,2425,Everton,Harrison Armstrong,ENG,MF,17-339,2007,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
ENG-Premier League,2425,Everton,Idrissa Gana Gueye,SEN,MF,35-088,1989,12.9,46,25,23,17,6,20,33,60.6,13,18,2,16,14,60,8,0
ENG-Premier League,2425,Everton,Iliman Ndiaye,SEN,FW,24-292,2000,14.0,30,15,13,9,8,13,26,50.0,13,14,4,10,15,45,13,0
ENG-Premier League,2425,Everton,Jack Harrison,ENG,FW,28-033,1996,8.9,16,11,8,3,5,9,19,47.4,10,4,0,4,5,21,16,2
ENG-Premier League,2425,Everton,Jake O'Brien,IRL,DF,23-222,2001,0.4,2,2,1,1,0,2,2,100.0,0,1,0,1,0,2,0,0
ENG-Premier League,2425,Everton,James Garner,ENG,"DF,MF",23-285,2001,2.8,10,8,6,4,0,7,10,70.0,3,2,2,0,4,14,9,0
ENG-Premier League,2425,Everton,James Tarkowski,ENG,DF,32-034,1992,15.9,36,22,20,14,2,17,28,60.7,11,27,22,5,15,51,92,2
ENG-Premier League,2425,Everton,Jarrad Branthwaite,ENG,DF,22-179,2002,7.1,15,6,12,3,0,7,9,77.8,2,7,3,4,10,25,28,1
ENG-Premier League,2425,Everton,Jesper Lindstrøm,DEN,FW,24-298,2000,6.0,20,10,9,11,0,11,30,36.7,19,9,3,6,3,23,6,0
ENG-Premier League,2425,Everton,Jordan Pickford,ENG,GK,30-291,1994,16.0,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,18,1
ENG-Premier League,2425,Everton,Mason Holgate,ENG,"FW,DF",28-062,1996,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Everton,Michael Keane,ENG,DF,31-347,1993,9.0,10,7,7,2,1,7,10,70.0,3,9,6,3,10,20,50,0
ENG-Premier League,2425,Everton,Nathan Patterson,SCO,DF,23-068,2001,0.2,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
ENG-Premier League,2425,Everton,Orel Mangala,BEL,MF,26-280,1998,8.5,12,5,1,10,1,4,6,66.7,2,4,1,3,14,26,11,0
ENG-Premier League,2425,Everton,Roman Dixon,ENG,DF,19-363,2004,1.0,5,5,3,2,0,4,4,100.0,0,1,0,1,1,6,3,0
ENG-Premier League,2425,Everton,Séamus Coleman,IRL,DF,36-073,1988,1.2,1,0,0,1,0,1,2,50.0,1,2,1,1,0,1,2,0
ENG-Premier League,2425,Everton,Tim Iroegbunam,ENG,MF,21-176,2003,4.3,18,9,9,4,5,7,12,58.3,5,6,0,6,8,26,5,1
ENG-Premier League,2425,Everton,Vitaliy Mykolenko,UKR,DF,25-208,1999,13.3,24,15,15,6,3,13,26,50.0,13,9,4,5,15,39,52,1
ENG-Premier League,2425,Fulham,Adama Traoré,ESP,"FW,MF",28-333,1996,9.4,9,5,6,2,1,3,8,37.5,5,5,0,5,1,10,4,1
ENG-Premier League,2425,Fulham,Alex Iwobi,NGA,"FW,MF",28-234,1996,16.4,22,13,9,10,3,9,15,60.0,6,12,1,11,6,28,20,0
ENG-Premier League,2425,Fulham,Andreas Pereira,BRA,MF,28-357,1996,11.2,10,4,3,4,3,5,20,25.0,15,6,1,5,4,14,3,0
ENG-Premier League,2425,Fulham,Antonee Robinson,USA,DF,27-137,1997,17.0,50,31,33,16,1,27,48,56.3,21,20,3,17,35,85,60,0
ENG-Premier League,2425,Fulham,Bernd Leno,GER,GK,32-294,1992,17.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,3,3
ENG-Premier League,2425,Fulham,Calvin Bassey,NGA,DF,24-358,1999,16.0,19,12,12,7,0,8,11,72.7,3,27,13,14,7,26,51,3
ENG-Premier League,2425,Fulham,Carlos Vinícius,BRA,MF,29-273,1995,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Fulham,Emile Smith Rowe,ENG,MF,24-148,2000,12.1,21,13,6,6,9,6,17,35.3,11,10,1,9,7,28,7,0
ENG-Premier League,2425,Fulham,Harrison Reed,ENG,MF,29-331,1995,0.7,5,2,2,2,1,0,2,0.0,2,1,0,1,1,6,2,0
ENG-Premier League,2425,Fulham,Harry Wilson,WAL,"FW,MF",27-276,1997,4.7,5,3,4,1,0,2,5,40.0,3,6,0,6,3,8,2,1
ENG-Premier League,2425,Fulham,Issa Diop,FRA,DF,27-349,1997,9.4,14,8,10,4,0,6,9,66.7,3,7,6,1,2,16,44,0
ENG-Premier League,2425,Fulham,Jay Stansfield,ENG,MF,22-029,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Fulham,Joachim Andersen,DEN,DF,28-206,1996,7.7,8,5,8,0,0,4,8,50.0,4,9,6,3,11,19,42,0
ENG-Premier League,2425,Fulham,Jorge Cuenca,ESP,DF,25-036,1999,1.0,1,1,1,0,0,1,4,25.0,3,0,0,0,1,2,13,0
ENG-Premier League,2425,Fulham,Joshua King,ENG,MF,17-355,2007,0.8,5,3,2,3,0,0,1,0.0,1,2,0,2,1,6,1,0
ENG-Premier League,2425,Fulham,Kenny Tete,NED,DF,29-075,1995,14.0,41,27,20,12,9,17,28,60.7,11,19,6,13,28,69,36,0
ENG-Premier League,2425,Fulham,Martial Godo,ENG,FW,21-284,2003,0.2,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
ENG-Premier League,2425,Fulham,Raúl Jiménez,MEX,FW,33-232,1991,11.1,16,9,2,10,4,3,9,33.3,6,6,2,4,5,21,7,2
ENG-Premier League,2425,Fulham,Reiss Nelson,ENG,FW,25-013,1999,5.4,8,6,3,3,2,5,13,38.5,8,11,0,11,5,13,2,0
ENG-Premier League,2425,Fulham,Rodrigo Muniz,BRA,FW,23-233,2001,5.9,4,2,1,2,1,3,3,100.0,0,5,1,4,4,8,5,0
ENG-Premier League,2425,Fulham,Ryan Sessegnon,ENG,MF,24-219,2000,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,1,0
ENG-Premier League,2425,Fulham,Sander Berge,NOR,MF,26-313,1998,10.6,26,16,11,13,2,13,21,61.9,8,15,6,9,14,40,18,0
ENG-Premier League,2425,Fulham,Saša Lukić,SRB,MF,28-132,1996,9.9,24,10,9,14,1,7,21,33.3,14,11,5,6,13,37,10,0
ENG-Premier League,2425,Fulham,Timothy Castagne,BEL,DF,29-018,1995,3.0,7,4,4,2,1,6,9,66.7,3,2,1,1,3,10,15,0
ENG-Premier League,2425,Fulham,Tom Cairney,SCO,MF,33-338,1991,2.8,5,1,1,1,3,1,2,50.0,1,3,1,2,4,9,1,1
ENG-Premier League,2425,Ipswich Town,Ali Al Hamadi,IRQ,FW,22-297,2002,1.3,1,0,0,0,1,0,2,0.0,2,0,0,0,0,1,2,0
ENG-Premier League,2425,Ipswich Town,Arijanet Muric,KVX,GK,26-046,1998,16.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,10,5
ENG-Premier League,2425,Ipswich Town,Axel Tuanzebe,COD,DF,27-039,1997,8.6,18,11,13,2,3,10,14,71.4,4,7,3,4,11,29,25,0
ENG-Premier League,2425,Ipswich Town,Ben Johnson,ENG,"DF,FW",24-334,2000,5.7,22,13,14,7,1,13,21,61.9,8,9,3,6,9,31,10,0
ENG-Premier League,2425,Ipswich Town,Cameron Burgess,AUS,DF,29-063,1995,9.0,7,5,5,2,0,3,3,100.0,0,11,9,2,6,13,61,1
ENG-Premier League,2425,Ipswich Town,Chiedozie Ogbene,IRL,FW,27-236,1997,2.6,7,3,1,2,4,2,4,50.0,2,1,0,1,1,8,3,0
ENG-Premier League,2425,Ipswich Town,Christian Walton,ENG,GK,29-044,1995,1.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
ENG-Premier League,2425,Ipswich Town,Conor Chaplin,ENG,"MF,FW",27-311,1997,6.8,11,5,3,6,2,6,13,46.2,7,8,1,7,3,14,2,0
ENG-Premier League,2425,Ipswich Town,Conor Townsend,ENG,MF,31-294,1993,0.0,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
ENG-Premier League,2425,Ipswich Town,Dara O'Shea,IRL,DF,25-294,1999,13.7,20,13,12,7,1,7,11,63.6,4,26,21,5,19,39,76,3
ENG-Premier League,2425,Ipswich Town,George Edmundson,ENG,DF,27-114,1997,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Ipswich Town,George Hirst,ENG,FW,25-312,1999,2.0,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,4,0
ENG-Premier League,2425,Ipswich Town,Harry Clarke,ENG,DF,23-296,2001,4.2,5,3,3,2,0,3,6,50.0,3,5,4,1,4,9,14,3
ENG-Premier League,2425,Ipswich Town,Jack Clarke,ENG,FW,24-030,2000,5.6,18,10,8,8,2,10,17,58.8,7,4,0,4,3,21,6,0
ENG-Premier League,2425,Ipswich Town,Jack Taylor,IRL,MF,26-183,1998,3.7,5,1,2,3,0,3,8,37.5,5,3,1,2,3,8,12,0
ENG-Premier League,2425,Ipswich Town,Jacob Greaves,ENG,DF,24-102,2000,8.0,17,7,7,9,1,7,12,58.3,5,9,7,2,9,26,48,1
ENG-Premier League,2425,Ipswich Town,Jens Cajuste,SWE,MF,25-135,1999,6.7,13,4,6,6,1,6,20,30.0,14,9,1,8,5,18,6,1
ENG-Premier League,2425,Ipswich Town,Kalvin Phillips,ENG,MF,29-021,1995,6.3,15,7,4,9,2,8,18,44.4,10,16,3,13,8,23,11,1
ENG-Premier League,2425,Ipswich Town,Leif Davis,ENG,DF,24-346,2000,17.0,25,15,19,3,3,18,30,60.0,12,12,2,10,13,38,45,0
ENG-Premier League,2425,Ipswich Town,Liam Delap,ENG,FW,21-319,2003,13.2,6,4,2,1,3,0,7,0.0,7,4,0,4,2,8,14,0
ENG-Premier League,2425,Ipswich Town,Luke Woolfenden,ENG,DF,26-063,1998,4.2,1,1,1,0,0,0,2,0.0,2,8,3,5,8,9,22,0
ENG-Premier League,2425,Ipswich Town,Marcus Harness,ENG,MF,28-303,1996,0.5,1,0,0,0,1,0,3,0.0,3,2,1,1,0,1,1,0
ENG-Premier League,2425,Ipswich Town,Massimo Luongo,AUS,MF,32-089,1992,1.6,5,3,5,0,0,4,6,66.7,2,3,2,1,2,7,2,0
ENG-Premier League,2425,Ipswich Town,Nathan Broadhead,WAL,"FW,MF",26-262,1998,0.6,2,2,1,1,0,1,1,100.0,0,1,0,1,0,2,0,0
ENG-Premier League,2425,Ipswich Town,Omari Hutchinson,ENG,"MF,FW",21-054,2003,15.1,18,8,8,7,3,9,28,32.1,19,14,1,13,6,24,7,1
ENG-Premier League,2425,Ipswich Town,Sam Morsy,EGY,MF,33-104,1991,15.9,37,20,18,15,4,15,37,40.5,22,16,6,10,17,54,26,2
ENG-Premier League,2425,Ipswich Town,Sammie Szmodics,IRL,FW,29-090,1995,9.1,12,8,2,8,2,5,16,31.3,11,8,1,7,4,16,10,0
ENG-Premier League,2425,Ipswich Town,Wes Burns,WAL,FW,30-030,1994,8.1,7,7,1,5,1,3,9,33.3,6,5,1,4,7,14,7,2
ENG-Premier League,2425,Leicester City,Abdul Fatawu Issahaku,GHA,FW,20-290,2004,6.4,21,15,13,2,6,11,19,57.9,8,7,0,7,4,25,12,0
ENG-Premier League,2425,Leicester City,Bilal El Khannouss,MAR,"MF,FW",20-227,2004,6.3,16,6,5,8,3,4,7,57.1,3,6,0,6,3,19,2,0
ENG-Premier League,2425,Leicester City,Bobby Reid,JAM,"FW,MF",31-325,1993,3.1,4,3,0,4,0,3,7,42.9,4,4,1,3,0,4,4,0
ENG-Premier League,2425,Leicester City,Boubakary Soumaré,FRA,MF,25-300,1999,6.3,13,5,9,3,1,7,11,63.6,4,7,2,5,5,18,5,1
ENG-Premier League,2425,Leicester City,Caleb Okoli,ITA,DF,23-163,2001,8.7,18,10,6,11,1,9,12,75.0,3,18,11,7,10,28,56,1
ENG-Premier League,2425,Leicester City,Conor Coady,ENG,DF,31-302,1993,5.1,6,4,3,3,0,2,3,66.7,1,11,9,2,5,11,16,1
ENG-Premier League,2425,Leicester City,Danny Ward,WAL,GK,31-184,1993,1.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
ENG-Premier League,2425,Leicester City,Facundo Buonanotte,ARG,"MF,FW",20-000,2004,10.2,27,13,9,10,8,12,44,27.3,32,24,5,19,7,34,7,0
ENG-Premier League,2425,Leicester City,Hamza Choudhury,ENG,"MF,DF",27-083,1997,1.2,1,1,1,0,0,1,3,33.3,2,2,1,1,3,4,2,0
ENG-Premier League,2425,Leicester City,Harry Winks,ENG,MF,28-325,1996,10.1,14,8,6,6,2,7,15,46.7,8,10,4,6,4,18,14,0
ENG-Premier League,2425,Leicester City,James Justin,ENG,DF,26-304,1998,15.5,35,21,19,12,4,19,33,57.6,14,23,6,17,24,59,66,1
ENG-Premier League,2425,Leicester City,Jamie Vardy,ENG,FW,37-347,1987,14.2,5,5,2,3,0,1,5,20.0,4,4,2,2,1,6,13,0
ENG-Premier League,2425,Leicester City,Jannik Vestergaard,DEN,DF,32-142,1992,7.7,14,6,10,4,0,3,7,42.9,4,10,6,4,10,24,40,1
ENG-Premier League,2425,Leicester City,Jordan Ayew,GHA,"FW,MF",33-103,1991,8.2,12,5,4,6,2,2,8,25.0,6,6,0,6,7,19,3,0
ENG-Premier League,2425,Leicester City,Kasey McAteer,IRL,"FW,MF",23-031,2001,3.7,10,7,6,3,1,5,12,41.7,7,7,1,6,1,11,8,0
ENG-Premier League,2425,Leicester City,Luke Thomas,ENG,DF,23-196,2001,1.0,2,2,2,0,0,1,2,50.0,1,3,0,3,0,2,0,0
ENG-Premier League,2425,Leicester City,Mads Hermansen,DEN,GK,24-165,2000,15.5,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,8,2
ENG-Premier League,2425,Leicester City,Odsonne Édouard,FRA,FW,26-342,1998,0.3,1,1,1,0,0,0,0,,0,0,0,0,0,1,1,0
ENG-Premier League,2425,Leicester City,Oliver Skipp,ENG,MF,24-098,2000,7.6,9,2,2,6,1,6,9,66.7,3,9,3,6,8,17,8,1
ENG-Premier League,2425,Leicester City,Patson Daka,ZAM,"FW,MF",26-075,1998,1.2,5,1,0,3,2,4,8,50.0,4,1,1,0,0,5,2,0
ENG-Premier League,2425,Leicester City,Ricardo Pereira,POR,DF,31-078,1993,1.6,3,2,0,1,2,1,4,25.0,3,3,1,2,1,4,0,0
ENG-Premier League,2425,Leicester City,Stephy Mavididi,ENG,FW,26-206,1998,9.4,20,13,9,7,4,9,23,39.1,14,16,1,15,2,22,4,0
ENG-Premier League,2425,Leicester City,Victor Bernth Kristiansen,DEN,DF,22-007,2002,14.5,51,32,35,15,1,28,48,58.3,20,24,10,14,18,69,37,2
ENG-Premier League,2425,Leicester City,Wilfred Ndidi,NGA,MF,28-007,1996,13.5,48,28,26,19,3,15,33,45.5,18,32,12,20,9,57,47,0
ENG-Premier League,2425,Leicester City,Wout Faes,BEL,DF,26-264,1998,14.0,21,13,15,5,1,9,24,37.5,15,26,18,8,11,32,85,3
ENG-Premier League,2425,Liverpool,Alexis Mac Allister,ARG,MF,25-365,1998,11.7,43,28,13,25,5,24,46,52.2,22,29,0,29,8,51,10,1
ENG-Premier League,2425,Liverpool,Alisson,BRA,GK,32-082,1992,7.9,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
ENG-Premier League,2425,Liverpool,Andrew Robertson,SCO,DF,30-287,1994,12.6,20,12,13,4,3,15,25,60.0,10,2,1,1,8,28,19,0
ENG-Premier League,2425,Liverpool,Caoimhín Kelleher,IRL,GK,26-030,1998,8.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2
ENG-Premier League,2425,Liverpool,Cody Gakpo,NED,FW,25-230,1999,8.4,15,9,4,6,5,8,13,61.5,5,8,0,8,6,21,9,1
ENG-Premier League,2425,Liverpool,Conor Bradley,NIR,DF,21-167,2003,2.6,3,2,1,1,1,3,9,33.3,6,0,0,0,2,5,11,0
ENG-Premier League,2425,Liverpool,Curtis Jones,ENG,MF,23-328,2001,7.3,13,6,2,9,2,5,10,50.0,5,8,4,4,2,15,5,0
ENG-Premier League,2425,Liverpool,Darwin Núñez,URU,FW,25-182,1999,7.2,16,14,9,3,4,5,12,41.7,7,3,0,3,1,17,8,0
ENG-Premier League,2425,Liverpool,Diogo Jota,POR,FW,28-019,1996,5.9,4,2,0,3,1,3,8,37.5,5,2,0,2,3,7,4,0
ENG-Premier League,2425,Liverpool,Dominik Szoboszlai,HUN,MF,24-059,2000,12.4,14,9,5,5,4,7,16,43.8,9,21,2,19,7,21,6,0
ENG-Premier League,2425,Liverpool,Federico Chiesa,ITA,FW,27-059,1997,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Liverpool,Harvey Elliott,ENG,"FW,DF",21-263,2003,0.3,3,2,2,1,0,0,0,,0,1,0,1,0,3,0,0
ENG-Premier League,2425,Liverpool,Ibrahima Konaté,FRA,DF,25-212,1999,10.8,14,10,10,3,1,9,12,75.0,3,13,5,8,4,18,44,1
ENG-Premier League,2425,Liverpool,Jarell Quansah,ENG,DF,21-329,2003,1.9,8,6,6,2,0,4,5,80.0,1,2,2,0,3,11,10,0
ENG-Premier League,2425,Liverpool,Joe Gomez,ENG,DF,27-214,1997,4.4,11,8,4,7,0,9,14,64.3,5,7,6,1,6,17,16,2
ENG-Premier League,2425,Liverpool,Kostas Tsimikas,GRE,DF,28-225,1996,2.6,12,7,8,2,2,6,8,75.0,2,3,1,2,3,15,6,0
ENG-Premier League,2425,Liverpool,Luis Díaz,COL,FW,27-345,1997,10.7,13,7,5,7,1,6,14,42.9,8,10,0,10,3,16,4,1
ENG-Premier League,2425,Liverpool,Mohamed Salah,EGY,FW,32-191,1992,15.6,9,6,3,3,3,3,4,75.0,1,1,0,1,4,13,4,0
ENG-Premier League,2425,Liverpool,Ryan Gravenberch,NED,MF,22-221,2002,15.7,31,18,11,14,6,17,28,60.7,11,20,5,15,33,64,17,0
ENG-Premier League,2425,Liverpool,Trent Alexander-Arnold,ENG,DF,26-077,1998,12.6,38,29,25,9,4,25,50,50.0,25,14,5,9,12,50,23,0
ENG-Premier League,2425,Liverpool,Virgil van Dijk,NED,DF,33-168,1991,16.0,17,8,9,7,1,6,11,54.5,5,12,4,8,30,47,70,2
ENG-Premier League,2425,Liverpool,Vitezslav Jaros,CZE,GK,23-153,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Liverpool,Wataru Endo,JPN,MF,31-318,1993,0.3,3,2,0,3,0,2,2,100.0,0,2,0,2,1,4,1,0
ENG-Premier League,2425,Manchester City,Bernardo Silva,POR,"MF,FW",30-135,1994,15.3,16,11,3,8,5,7,23,30.4,16,19,3,16,11,27,12,3
ENG-Premier League,2425,Manchester City,Ederson,BRA,GK,31-128,1993,13.0,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,3,1
ENG-Premier League,2425,Manchester City,Erling Haaland,NOR,FW,24-155,2000,17.0,6,4,2,2,2,1,2,50.0,1,3,0,3,3,9,15,0
ENG-Premier League,2425,Manchester City,Jack Grealish,ENG,"FW,MF",29-104,1995,6.4,9,5,4,2,3,2,4,50.0,2,9,2,7,2,11,4,1
ENG-Premier League,2425,Manchester City,Jahmai Simpson-Pusey,ENG,DF,19-049,2005,1.0,1,0,1,0,0,0,0,,0,1,1,0,0,1,2,0
ENG-Premier League,2425,Manchester City,James Mcatee,ENG,"FW,MF",22-066,2002,0.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
ENG-Premier League,2425,Manchester City,Jeremy Doku,BEL,"FW,MF",22-210,2002,6.9,14,9,6,4,4,3,5,60.0,2,6,1,5,1,15,2,0
ENG-Premier League,2425,Manchester City,John Stones,ENG,"DF,MF",30-209,1994,3.7,5,2,2,2,1,4,4,100.0,0,2,0,2,3,8,9,1
ENG-Premier League,2425,Manchester City,Joško Gvardiol,CRO,DF,22-335,2002,15.5,27,19,13,7,7,13,18,72.2,5,20,8,12,19,46,45,3
ENG-Premier League,2425,Manchester City,Kevin De Bruyne,BEL,MF,33-178,1991,7.0,5,3,2,1,2,1,8,12.5,7,3,0,3,3,8,2,1
ENG-Premier League,2425,Manchester City,Kyle Walker,ENG,DF,34-209,1990,10.2,17,10,7,7,3,14,25,56.0,11,13,4,9,3,20,11,1
ENG-Premier League,2425,Manchester City,Manuel Akanji,SUI,DF,29-157,1995,12.2,13,10,6,4,3,6,11,54.5,5,7,5,2,6,19,33,1
ENG-Premier League,2425,Manchester City,Mateo Kovačić,CRO,MF,30-231,1994,10.9,24,15,6,12,6,12,28,42.9,16,12,0,12,6,30,6,0
ENG-Premier League,2425,Manchester City,Matheus Nunes,POR,"MF,FW",26-118,1998,5.9,17,9,9,5,3,7,14,50.0,7,8,2,6,4,21,7,0
ENG-Premier League,2425,Manchester City,Nathan Aké,NED,DF,29-309,1995,3.3,5,4,4,1,0,2,2,100.0,0,5,1,4,3,8,5,1
ENG-Premier League,2425,Manchester City,Phil Foden,ENG,"MF,FW",24-209,2000,9.0,2,1,2,0,0,2,7,28.6,5,4,1,3,4,6,3,0
ENG-Premier League,2425,Manchester City,Rico Lewis,ENG,"DF,MF",20-032,2004,12.4,23,13,10,10,3,8,11,72.7,3,16,2,14,11,34,26,1
ENG-Premier League,2425,Manchester City,Rodri,ESP,MF,28-184,1996,0.7,2,1,1,1,0,0,0,,0,1,0,1,1,3,0,0
ENG-Premier League,2425,Manchester City,Rúben Dias,POR,DF,27-223,1997,12.1,9,5,3,5,1,3,4,75.0,1,10,9,1,12,21,32,1
ENG-Premier League,2425,Manchester City,Stefan Ortega,GER,GK,32-047,1992,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,0
ENG-Premier League,2425,Manchester City,Sávio,BRA,"FW,MF",20-257,2004,8.1,16,10,3,8,5,3,7,42.9,4,4,0,4,1,17,3,1
ENG-Premier League,2425,Manchester City,İlkay Gündoğan,GER,MF,34-060,1990,12.4,13,7,2,8,3,6,16,37.5,10,7,0,7,11,24,14,0
ENG-Premier League,2425,Manchester Utd,Alejandro Garnacho,ARG,"FW,MF",20-175,2004,10.9,13,10,4,4,5,3,13,23.1,10,8,0,8,6,19,8,1
ENG-Premier League,2425,Manchester Utd,Amad Diallo,CIV,"FW,DF",22-165,2002,10.8,24,20,4,12,8,12,18,66.7,6,3,0,3,8,32,11,0
ENG-Premier League,2425,Manchester Utd,André Onana,CMR,GK,28-265,1996,17.0,1,1,1,0,0,1,3,33.3,2,0,0,0,0,1,7,2
ENG-Premier League,2425,Manchester Utd,Antony,BRA,"FW,MF",24-303,2000,0.6,2,0,2,0,0,1,3,33.3,2,1,0,1,2,4,0,0
ENG-Premier League,2425,Manchester Utd,Bruno Fernandes,POR,"MF,FW",30-106,1994,15.9,38,24,8,22,8,13,38,34.2,25,15,2,13,13,51,18,1
ENG-Premier League,2425,Manchester Utd,Casemiro,BRA,MF,32-304,1992,8.3,35,22,20,9,6,17,35,48.6,18,20,5,15,7,42,27,3
ENG-Premier League,2425,Manchester Utd,Christian Eriksen,DEN,MF,32-313,1992,5.6,9,3,2,5,2,5,10,50.0,5,4,1,3,4,13,5,0
ENG-Premier League,2425,Manchester Utd,Diogo Dalot,POR,DF,25-280,1999,16.6,38,26,23,11,4,17,27,63.0,10,14,7,7,24,62,33,0
ENG-Premier League,2425,Manchester Utd,Harry Maguire,ENG,DF,31-293,1993,6.0,8,5,5,3,0,5,6,83.3,1,4,3,1,14,22,16,1
ENG-Premier League,2425,Manchester Utd,Jonny Evans,NIR,DF,36-355,1988,3.2,7,5,4,3,0,2,4,50.0,2,2,1,1,4,11,13,0
ENG-Premier League,2425,Manchester Utd,Joshua Zirkzee,NED,"FW,MF",23-215,2001,7.3,4,1,3,1,0,3,3,100.0,0,7,2,5,2,6,2,0
ENG-Premier League,2425,Manchester Utd,Kobbie Mainoo,ENG,MF,19-248,2005,10.1,23,17,13,6,4,14,21,66.7,7,11,2,9,15,38,5,1
ENG-Premier League,2425,Manchester Utd,Leny Yoro,FRA,DF,19-040,2005,1.7,6,1,6,0,0,3,4,75.0,1,1,1,0,2,8,4,0
ENG-Premier League,2425,Manchester Utd,Lisandro Martínez,ARG,DF,26-340,1998,13.8,29,17,18,8,3,15,26,57.7,11,16,5,11,26,55,39,1
ENG-Premier League,2425,Manchester Utd,Luke Shaw,ENG,DF,29-164,1995,0.8,2,2,1,1,0,1,1,100.0,0,1,0,1,1,3,1,0
ENG-Premier League,2425,Manchester Utd,Manuel Ugarte Ribeiro,URU,MF,23-256,2001,7.2,31,17,11,16,4,10,23,43.5,13,9,2,7,11,42,8,1
ENG-Premier League,2425,Manchester Utd,Marcus Rashford,ENG,"FW,MF",27-053,1997,10.9,7,4,2,2,3,3,9,33.3,6,8,0,8,4,11,7,0
ENG-Premier League,2425,Manchester Utd,Mason Mount,ENG,"MF,FW",25-348,1999,2.7,6,2,3,3,0,5,7,71.4,2,4,1,3,0,6,0,0
ENG-Premier League,2425,Manchester Utd,Matthijs de Ligt,NED,DF,25-133,1999,12.7,13,7,9,4,0,10,14,71.4,4,14,11,3,20,33,38,0
ENG-Premier League,2425,Manchester Utd,Noussair Mazraoui,MAR,DF,27-039,1997,13.9,56,33,29,17,10,32,49,65.3,17,18,4,14,14,70,41,0
ENG-Premier League,2425,Manchester Utd,Rasmus Højlund,DEN,FW,21-323,2003,8.0,2,0,0,1,1,0,1,0.0,1,2,0,2,1,3,3,0
ENG-Premier League,2425,Manchester Utd,Scott McTominay,SCO,MF,28-015,1996,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
ENG-Premier League,2425,Manchester Utd,Toby Collyer,ENG,MF,20-355,2004,0.5,4,3,1,3,0,2,2,100.0,0,0,0,0,0,4,1,0
ENG-Premier League,2425,Manchester Utd,Tyrell Malacia,NED,DF,25-128,1999,1.0,1,0,1,0,0,0,1,0.0,1,0,0,0,1,2,0,1
ENG-Premier League,2425,Manchester Utd,Victor Lindelöf,SWE,"DF,MF",30-159,1994,0.7,3,0,3,0,0,1,1,100.0,0,1,0,1,2,5,4,0
ENG-Premier League,2425,Newcastle Utd,Alexander Isak,SWE,FW,25-093,1999,13.3,5,3,0,2,3,3,7,42.9,4,10,1,9,1,6,5,1
ENG-Premier League,2425,Newcastle Utd,Anthony Gordon,ENG,FW,23-303,2001,14.1,18,9,7,9,2,6,17,35.3,11,19,1,18,5,23,3,1
