,,,,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Brentford,Yehor Yarmoliuk,UKR,MF,20-297,2004,4.4,200,241,83.0,3232,756,109,131,83.2,73,84,86.9,14,17,82.4,0,0.1,0.3,-0.1,3,20,4,2,19
ENG-Premier League,2425,Brentford,Yoane Wissa,COD,FW,28-111,1996,11.6,202,261,77.4,3031,653,124,148,83.8,59,76,77.6,14,24,58.3,1,0.8,0.5,0.2,9,20,3,0,26
ENG-Premier League,2425,Brentford,Yunus Emre Konak,TUR,"MF,FW",18-348,2006,0.2,12,17,70.6,201,62,7,9,77.8,3,4,75.0,2,3,66.7,0,0.0,0.0,0.0,0,1,0,0,2
ENG-Premier League,2425,Brighton,Adam Webster,ENG,DF,29-354,1995,0.9,69,78,88.5,1289,639,23,25,92.0,39,42,92.9,5,6,83.3,0,0.0,0.0,0.0,0,9,0,0,10
ENG-Premier League,2425,Brighton,Bart Verbruggen,NED,GK,22-127,2002,15.0,455,567,80.2,10619,7510,146,147,99.3,200,202,99.0,107,212,50.5,0,0.0,0.0,0.0,0,4,0,0,0
ENG-Premier League,2425,Brighton,Billy Gilmour,SCO,MF,23-195,2001,1.1,58,67,86.6,980,346,36,38,94.7,18,22,81.8,4,7,57.1,0,0.0,0.0,0.0,0,12,2,0,11
ENG-Premier League,2425,Brighton,Brajan Gruda,GER,"MF,FW",20-206,2004,1.7,44,63,69.8,493,114,29,36,80.6,10,15,66.7,1,7,14.3,0,0.1,0.1,-0.1,2,1,2,0,3
ENG-Premier League,2425,Brighton,Carlos Baleba,CMR,MF,20-355,2004,11.0,421,471,89.4,7323,2043,202,219,92.2,162,179,90.5,50,59,84.7,1,0.6,0.4,0.4,11,54,11,1,58
ENG-Premier League,2425,Brighton,Danny Welbeck,ENG,FW,34-027,1990,12.4,214,257,83.3,2613,529,134,159,84.3,51,59,86.4,7,7,100.0,2,0.5,0.5,1.5,12,11,9,0,29
ENG-Premier League,2425,Brighton,Evan Ferguson,IRL,FW,20-065,2004,2.5,35,48,72.9,389,44,25,30,83.3,6,8,75.0,1,3,33.3,0,0.4,0.4,-0.4,3,1,0,0,1
