,,,,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Ipswich Town,Nathan Broadhead,WAL,"FW,MF",26-262,1998,0.6,17,22,77.3,245,58,12,14,85.7,5,5,100.0,0,3,0.0,0,0.0,0.0,0.0,1,1,1,0,2
ENG-Premier League,2425,Ipswich Town,Omari Hutchinson,ENG,"MF,FW",21-054,2003,15.1,332,439,75.6,4970,890,176,201,87.6,127,161,78.9,19,30,63.3,1,1.5,1.2,-0.5,14,26,10,4,40
ENG-Premier League,2425,Ipswich Town,Sam Morsy,EGY,MF,33-104,1991,15.9,729,826,88.3,11558,3127,387,414,93.5,274,297,92.3,47,69,68.1,1,0.6,0.9,0.4,13,95,10,2,72
ENG-Premier League,2425,Ipswich Town,Sammie Szmodics,IRL,FW,29-090,1995,9.1,125,164,76.2,2139,634,60,67,89.6,45,54,83.3,15,25,60.0,0,0.2,0.4,-0.2,4,10,4,1,16
ENG-Premier League,2425,Ipswich Town,Wes Burns,WAL,FW,30-030,1994,8.1,131,209,62.7,2051,476,73,88,83.0,39,61,63.9,13,28,46.4,1,1.6,1.1,-0.6,9,6,8,7,5
ENG-Premier League,2425,Leicester City,Abdul Fatawu Issahaku,GHA,FW,20-290,2004,6.4,123,197,62.4,2150,601,59,81,72.8,45,59,76.3,16,33,48.5,2,1.6,1.4,0.4,6,7,7,2,17
ENG-Premier League,2425,Leicester City,Bilal El Khannouss,MAR,"MF,FW",20-227,2004,6.3,231,304,76.0,4032,1125,116,130,89.2,72,91,79.1,34,57,59.6,1,1.5,1.0,-0.5,10,31,9,1,42
ENG-Premier League,2425,Leicester City,Bobby Reid,JAM,"FW,MF",31-325,1993,3.1,69,95,72.6,973,324,38,47,80.9,24,30,80.0,2,7,28.6,0,0.1,0.1,-0.1,1,5,3,0,9
ENG-Premier League,2425,Leicester City,Boubakary Soumaré,FRA,MF,25-300,1999,6.3,304,349,87.1,4521,1270,166,178,93.3,125,140,89.3,4,11,36.4,0,0.1,0.4,-0.1,3,27,4,1,25
ENG-Premier League,2425,Leicester City,Caleb Okoli,ITA,DF,23-163,2001,8.7,394,457,86.2,6856,2848,178,193,92.2,180,199,90.5,30,53,56.6,0,0.0,0.0,0.0,0,14,0,0,21
ENG-Premier League,2425,Leicester City,Conor Coady,ENG,DF,31-302,1993,5.1,246,274,89.8,4348,1564,101,106,95.3,126,134,94.0,18,29,62.1,0,0.0,0.2,0.0,1,16,2,0,13
ENG-Premier League,2425,Leicester City,Danny Ward,WAL,GK,31-184,1993,1.5,42,54,77.8,1220,1022,6,6,100.0,19,19,100.0,17,29,58.6,0,0.0,0.0,0.0,0,2,0,0,0
ENG-Premier League,2425,Leicester City,Facundo Buonanotte,ARG,"MF,FW",20-000,2004,10.2,256,339,75.5,4157,1088,136,163,83.4,87,108,80.6,24,45,53.3,2,2.6,1.5,-0.6,19,26,10,1,33
ENG-Premier League,2425,Leicester City,Hamza Choudhury,ENG,"MF,DF",27-083,1997,1.2,57,65,87.7,790,203,38,40,95.0,17,21,81.0,2,3,66.7,0,0.4,0.2,-0.4,2,8,1,1,3
ENG-Premier League,2425,Leicester City,Harry Winks,ENG,MF,28-325,1996,10.1,522,604,86.4,8159,3251,269,289,93.1,202,225,89.8,31,54,57.4,2,1.1,1.4,0.9,14,65,4,2,65
ENG-Premier League,2425,Leicester City,James Justin,ENG,DF,26-304,1998,15.5,589,744,79.2,8790,2970,326,369,88.3,229,273,83.9,19,61,31.1,1,0.3,0.3,0.7,5,43,7,3,39
ENG-Premier League,2425,Leicester City,Jamie Vardy,ENG,FW,37-347,1987,14.2,114,176,64.8,1680,175,59,83,71.1,37,49,75.5,9,11,81.8,3,2.0,1.5,1.0,9,5,5,1,13
ENG-Premier League,2425,Leicester City,Jannik Vestergaard,DEN,DF,32-142,1992,7.7,433,479,90.4,7218,2849,194,203,95.6,208,226,92.0,23,36,63.9,0,0.0,0.1,0.0,1,21,0,0,18
ENG-Premier League,2425,Leicester City,Jordan Ayew,GHA,"FW,MF",33-103,1991,8.2,172,222,77.5,2379,475,106,120,88.3,57,77,74.0,4,12,33.3,0,0.2,0.5,-0.2,5,10,4,2,16
ENG-Premier League,2425,Leicester City,Kasey McAteer,IRL,"FW,MF",23-031,2001,3.7,75,109,68.8,1020,214,52,61,85.2,18,27,66.7,3,7,42.9,1,0.1,0.1,0.9,2,5,0,0,4
ENG-Premier League,2425,Leicester City,Luke Thomas,ENG,DF,23-196,2001,1.0,40,57,70.2,611,137,22,24,91.7,16,22,72.7,2,8,25.0,0,0.1,0.0,-0.1,1,4,0,0,3
ENG-Premier League,2425,Leicester City,Mads Hermansen,DEN,GK,24-165,2000,15.5,382,596,64.1,9898,7381,99,101,98.0,166,174,95.4,117,317,36.9,0,0.0,0.0,0.0,0,9,0,0,0
ENG-Premier League,2425,Leicester City,Odsonne Édouard,FRA,FW,26-342,1998,0.3,6,8,75.0,59,5,3,4,75.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,1
ENG-Premier League,2425,Leicester City,Oliver Skipp,ENG,MF,24-098,2000,7.6,263,305,86.2,3904,988,140,156,89.7,97,105,92.4,13,19,68.4,0,0.2,0.3,-0.2,7,23,4,0,19
ENG-Premier League,2425,Leicester City,Patson Daka,ZAM,"FW,MF",26-075,1998,1.2,10,21,47.6,147,5,5,10,50.0,4,6,66.7,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2425,Leicester City,Ricardo Pereira,POR,DF,31-078,1993,1.6,76,88,86.4,1120,367,47,52,90.4,23,29,79.3,4,4,100.0,0,0.0,0.0,0.0,0,8,0,0,5
ENG-Premier League,2425,Leicester City,Stephy Mavididi,ENG,FW,26-206,1998,9.4,249,335,74.3,3510,906,143,160,89.4,73,106,68.9,12,25,48.0,0,1.0,2.3,-1.0,12,18,17,2,39
ENG-Premier League,2425,Leicester City,Victor Bernth Kristiansen,DEN,DF,22-007,2002,14.5,578,752,76.9,9568,3628,281,316,88.9,236,295,80.0,47,104,45.2,1,1.0,0.9,0.0,13,39,14,11,37
ENG-Premier League,2425,Leicester City,Wilfred Ndidi,NGA,MF,28-007,1996,13.5,430,534,80.5,6137,1597,237,272,87.1,139,165,84.2,22,42,52.4,4,1.4,1.1,2.6,9,36,6,1,37
ENG-Premier League,2425,Leicester City,Wout Faes,BEL,DF,26-264,1998,14.0,587,684,85.8,10778,3826,238,255,93.3,295,312,94.6,53,100,53.0,0,0.0,0.2,0.0,2,46,5,0,48
ENG-Premier League,2425,Liverpool,Alexis Mac Allister,ARG,MF,25-365,1998,11.7,525,609,86.2,8175,2314,277,307,90.2,199,219,90.9,31,41,75.6,0,1.4,1.8,-1.4,15,49,15,1,67
ENG-Premier League,2425,Liverpool,Alisson,BRA,GK,32-082,1992,7.9,231,276,83.7,4711,2774,77,77,100.0,125,127,98.4,28,69,40.6,0,0.4,0.2,-0.4,1,5,0,0,0
ENG-Premier League,2425,Liverpool,Andrew Robertson,SCO,DF,30-287,1994,12.6,742,882,84.1,12378,3862,360,379,95.0,320,363,88.2,51,109,46.8,0,2.3,1.9,-2.3,20,60,13,7,75
ENG-Premier League,2425,Liverpool,Caoimhín Kelleher,IRL,GK,26-030,1998,8.0,221,296,74.7,4749,2888,80,80,100.0,109,109,100.0,32,106,30.2,0,0.0,0.0,0.0,0,5,0,0,0
ENG-Premier League,2425,Liverpool,Cody Gakpo,NED,FW,25-230,1999,8.4,207,278,74.5,2994,652,123,143,86.0,65,93,69.9,10,21,47.6,1,1.4,0.9,-0.4,15,10,12,3,23
ENG-Premier League,2425,Liverpool,Conor Bradley,NIR,DF,21-167,2003,2.6,166,192,86.5,2434,560,95,102,93.1,64,72,88.9,3,12,25.0,0,0.0,0.2,0.0,0,7,0,0,10
ENG-Premier League,2425,Liverpool,Curtis Jones,ENG,MF,23-328,2001,7.3,385,407,94.6,5678,1192,220,224,98.2,142,152,93.4,14,17,82.4,1,0.2,0.2,0.8,6,28,7,0,40
ENG-Premier League,2425,Liverpool,Darwin Núñez,URU,FW,25-182,1999,7.2,87,120,72.5,1383,306,47,55,85.5,26,35,74.3,10,14,71.4,2,0.9,0.3,1.1,6,5,0,0,14
ENG-Premier League,2425,Liverpool,Diogo Jota,POR,FW,28-019,1996,5.9,95,137,69.3,1358,340,51,67,76.1,32,41,78.0,5,10,50.0,2,1.1,0.6,0.9,6,9,2,1,12
ENG-Premier League,2425,Liverpool,Dominik Szoboszlai,HUN,MF,24-059,2000,12.4,551,649,84.9,8583,1756,305,341,89.4,172,196,87.8,46,64,71.9,2,2.7,2.5,-0.7,25,41,19,4,55
ENG-Premier League,2425,Liverpool,Federico Chiesa,ITA,FW,27-059,1997,0.2,7,8,87.5,67,12,5,6,83.3,1,1,100.0,0,0,,0,0.0,0.1,0.0,0,1,0,0,0
ENG-Premier League,2425,Liverpool,Harvey Elliott,ENG,"FW,DF",21-263,2003,0.3,37,48,77.1,620,170,23,25,92.0,6,10,60.0,6,9,66.7,0,0.1,0.1,-0.1,2,3,1,0,4
ENG-Premier League,2425,Liverpool,Ibrahima Konaté,FRA,DF,25-212,1999,10.8,678,742,91.4,12262,4567,248,262,94.7,397,413,96.1,29,57,50.9,1,0.2,0.2,0.8,3,47,4,0,35
ENG-Premier League,2425,Liverpool,Jarell Quansah,ENG,DF,21-329,2003,1.9,106,125,84.8,1692,474,43,45,95.6,57,67,85.1,3,8,37.5,0,0.0,0.1,0.0,0,3,0,0,4
ENG-Premier League,2425,Liverpool,Joe Gomez,ENG,DF,27-214,1997,4.4,260,294,88.4,4673,1741,108,117,92.3,126,134,94.0,22,36,61.1,0,0.0,0.0,0.0,0,13,0,0,17
ENG-Premier League,2425,Liverpool,Kostas Tsimikas,GRE,DF,28-225,1996,2.6,180,209,86.1,3020,1117,87,90,96.7,73,82,89.0,14,28,50.0,0,0.5,0.6,-0.5,3,19,2,0,28
ENG-Premier League,2425,Liverpool,Luis Díaz,COL,FW,27-345,1997,10.7,290,343,84.5,4483,1015,166,187,88.8,87,105,82.9,23,27,85.2,2,1.8,1.6,0.2,21,21,17,2,44
ENG-Premier League,2425,Liverpool,Mohamed Salah,EGY,FW,32-191,1992,15.6,332,468,70.9,5229,1558,184,221,83.3,111,155,71.6,28,50,56.0,11,6.6,3.5,4.4,30,26,34,7,56
ENG-Premier League,2425,Liverpool,Ryan Gravenberch,NED,MF,22-221,2002,15.7,853,951,89.7,12707,3298,479,512,93.6,318,345,92.2,33,55,60.0,1,1.3,1.5,-0.3,9,80,14,1,82
ENG-Premier League,2425,Liverpool,Trent Alexander-Arnold,ENG,DF,26-077,1998,12.6,590,835,70.7,11330,4710,267,308,86.7,222,297,74.7,90,195,46.2,4,4.0,4.1,0.0,29,64,25,10,74
ENG-Premier League,2425,Liverpool,Virgil van Dijk,NED,DF,33-168,1991,16.0,1144,1253,91.3,20228,8634,514,533,96.4,531,557,95.3,87,136,64.0,1,0.3,0.3,0.7,5,88,3,0,62
ENG-Premier League,2425,Liverpool,Vitezslav Jaros,CZE,GK,23-153,2001,0.1,6,8,75.0,302,273,0,0,,1,1,100.0,5,7,71.4,0,0.0,0.0,0.0,0,2,0,0,0
ENG-Premier League,2425,Liverpool,Wataru Endo,JPN,MF,31-318,1993,0.3,19,20,95.0,273,58,9,9,100.0,9,10,90.0,0,0,,0,0.0,0.0,0.0,1,1,0,0,3
ENG-Premier League,2425,Manchester City,Bernardo Silva,POR,"MF,FW",30-135,1994,15.3,742,867,85.6,11305,2105,421,460,91.5,265,310,85.5,39,56,69.6,4,3.8,3.0,0.2,34,41,19,5,71
ENG-Premier League,2425,Manchester City,Ederson,BRA,GK,31-128,1993,13.0,400,463,86.4,9938,6591,74,74,100.0,229,235,97.4,96,152,63.2,1,0.4,0.0,0.6,1,12,1,0,1
ENG-Premier League,2425,Manchester City,Erling Haaland,NOR,FW,24-155,2000,17.0,122,182,67.0,1486,280,83,115,72.2,27,41,65.9,3,4,75.0,1,1.1,0.9,-0.1,12,5,3,0,11
ENG-Premier League,2425,Manchester City,Jack Grealish,ENG,"FW,MF",29-104,1995,6.4,293,339,86.4,4446,773,186,200,93.0,93,106,87.7,13,21,61.9,1,1.7,1.5,-0.7,22,14,13,0,42
ENG-Premier League,2425,Manchester City,Jahmai Simpson-Pusey,ENG,DF,19-049,2005,1.0,99,107,92.5,1594,477,44,46,95.7,53,55,96.4,2,6,33.3,0,0.0,0.0,0.0,0,3,0,0,3
ENG-Premier League,2425,Manchester City,James Mcatee,ENG,"FW,MF",22-066,2002,0.0,4,4,100.0,45,18,3,3,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2425,Manchester City,Jeremy Doku,BEL,"FW,MF",22-210,2002,6.9,254,324,78.4,3575,570,169,196,86.2,77,96,80.2,6,10,60.0,2,1.4,1.4,0.6,11,3,20,2,26
ENG-Premier League,2425,Manchester City,John Stones,ENG,"DF,MF",30-209,1994,3.7,231,256,90.2,4029,1061,111,120,92.5,95,105,90.5,21,24,87.5,0,0.1,0.1,-0.1,2,31,0,0,18
ENG-Premier League,2425,Manchester City,Joško Gvardiol,CRO,DF,22-335,2002,15.5,1068,1167,91.5,16762,4292,547,581,94.1,471,501,94.0,36,51,70.6,0,1.5,1.9,-1.5,18,110,13,1,131
ENG-Premier League,2425,Manchester City,Kevin De Bruyne,BEL,MF,33-178,1991,7.0,404,526,76.8,6861,1983,213,247,86.2,149,193,77.2,38,57,66.7,2,3.7,3.2,-1.7,25,36,26,5,73
ENG-Premier League,2425,Manchester City,Kyle Walker,ENG,DF,34-209,1990,10.2,677,777,87.1,11164,3602,341,362,94.2,287,314,91.4,39,79,49.4,0,0.4,1.3,-0.4,7,62,7,4,64
ENG-Premier League,2425,Manchester City,Manuel Akanji,SUI,DF,29-157,1995,12.2,920,981,93.8,14957,3858,451,472,95.6,416,435,95.6,44,59,74.6,0,0.3,0.9,-0.3,7,99,11,2,98
ENG-Premier League,2425,Manchester City,Mateo Kovačić,CRO,MF,30-231,1994,10.9,808,864,93.5,12170,3121,442,464,95.3,329,345,95.4,25,33,75.8,0,1.6,1.6,-1.6,15,89,13,0,68
ENG-Premier League,2425,Manchester City,Matheus Nunes,POR,"MF,FW",26-118,1998,5.9,284,335,84.8,4322,771,162,180,90.0,98,117,83.8,19,26,73.1,3,1.9,1.7,1.1,13,9,17,5,26
ENG-Premier League,2425,Manchester City,Nathan Aké,NED,DF,29-309,1995,3.3,238,257,92.6,3684,1300,131,136,96.3,97,101,96.0,9,16,56.3,0,0.0,0.1,0.0,0,16,0,0,22
ENG-Premier League,2425,Manchester City,Phil Foden,ENG,"MF,FW",24-209,2000,9.0,389,460,84.6,5986,1276,239,262,91.2,112,126,88.9,31,53,58.5,1,2.8,3.1,-1.8,20,19,16,2,43
ENG-Premier League,2425,Manchester City,Rico Lewis,ENG,"DF,MF",20-032,2004,12.4,616,675,91.3,8572,1450,388,413,93.9,201,214,93.9,16,22,72.7,2,0.3,0.7,1.7,6,52,8,0,58
ENG-Premier League,2425,Manchester City,Rodri,ESP,MF,28-184,1996,0.7,57,61,93.4,1056,250,25,26,96.2,24,27,88.9,7,7,100.0,0,0.0,0.1,0.0,1,3,1,0,4
ENG-Premier League,2425,Manchester City,Rúben Dias,POR,DF,27-223,1997,12.1,1056,1123,94.0,17837,5740,462,478,96.7,523,548,95.4,54,69,78.3,0,0.3,0.7,-0.3,5,102,5,0,75
ENG-Premier League,2425,Manchester City,Stefan Ortega,GER,GK,32-047,1992,4.0,138,160,86.3,2597,1654,55,56,98.2,62,62,100.0,19,38,50.0,0,0.0,0.0,0.0,0,1,0,0,0
ENG-Premier League,2425,Manchester City,Sávio,BRA,"FW,MF",20-257,2004,8.1,321,407,78.9,4557,869,212,236,89.8,87,117,74.4,14,30,46.7,2,3.5,3.0,-1.5,22,5,30,6,35
ENG-Premier League,2425,Manchester City,İlkay Gündoğan,GER,MF,34-060,1990,12.4,760,857,88.7,11478,2033,437,462,94.6,266,288,92.4,39,76,51.3,1,1.3,1.7,-0.3,21,50,11,1,69
ENG-Premier League,2425,Manchester Utd,Alejandro Garnacho,ARG,"FW,MF",20-175,2004,10.9,278,349,79.7,4070,491,179,199,89.9,68,83,81.9,19,34,55.9,1,1.6,0.8,-0.6,14,10,7,1,19
ENG-Premier League,2425,Manchester Utd,Amad Diallo,CIV,"FW,DF",22-165,2002,10.8,421,508,82.9,5824,1258,262,293,89.4,112,136,82.4,24,39,61.5,6,2.7,2.0,3.3,25,16,22,2,39
ENG-Premier League,2425,Manchester Utd,André Onana,CMR,GK,28-265,1996,17.0,560,716,78.2,12830,7943,158,159,99.4,298,300,99.3,102,253,40.3,0,0.2,0.2,-0.2,1,15,0,0,1
ENG-Premier League,2425,Manchester Utd,Antony,BRA,"FW,MF",24-303,2000,0.6,13,18,72.2,143,7,13,15,86.7,0,1,0.0,0,0,,0,0.1,0.1,-0.1,1,0,0,0,1
ENG-Premier League,2425,Manchester Utd,Bruno Fernandes,POR,"MF,FW",30-106,1994,15.9,715,941,76.0,12014,4121,373,425,87.8,246,312,78.8,74,143,51.7,5,4.2,3.2,0.8,38,85,28,6,122
ENG-Premier League,2425,Manchester Utd,Casemiro,BRA,MF,32-304,1992,8.3,393,491,80.0,6645,2097,182,209,87.1,167,194,86.1,32,49,65.3,0,2.0,1.4,-2.0,14,42,10,3,40
ENG-Premier League,2425,Manchester Utd,Christian Eriksen,DEN,MF,32-313,1992,5.6,285,345,82.6,4966,1561,152,160,95.0,97,118,82.2,29,56,51.8,0,1.7,1.1,-1.7,14,27,1,0,27
ENG-Premier League,2425,Manchester Utd,Diogo Dalot,POR,DF,25-280,1999,16.6,754,915,82.4,12653,4064,362,399,90.7,312,363,86.0,62,108,57.4,1,1.2,1.3,-0.2,11,34,12,1,55
ENG-Premier League,2425,Manchester Utd,Harry Maguire,ENG,DF,31-293,1993,6.0,326,376,86.7,5676,1913,133,145,91.7,166,185,89.7,19,33,57.6,0,0.1,0.1,-0.1,2,18,1,0,19
ENG-Premier League,2425,Manchester Utd,Jonny Evans,NIR,DF,36-355,1988,3.2,174,196,88.8,2809,784,82,87,94.3,81,90,90.0,6,12,50.0,0,0.0,0.0,0.0,0,9,1,0,8
ENG-Premier League,2425,Manchester Utd,Joshua Zirkzee,NED,"FW,MF",23-215,2001,7.3,147,197,74.6,1803,487,108,132,81.8,29,39,74.4,3,7,42.9,1,0.8,0.5,0.2,8,14,3,0,20
ENG-Premier League,2425,Manchester Utd,Kobbie Mainoo,ENG,MF,19-248,2005,10.1,422,482,87.6,5608,1537,266,288,92.4,106,121,87.6,20,24,83.3,0,1.1,0.8,-1.1,8,36,5,0,38
ENG-Premier League,2425,Manchester Utd,Leny Yoro,FRA,DF,19-040,2005,1.7,80,87,92.0,1350,395,35,36,97.2,43,45,95.6,2,6,33.3,0,0.0,0.0,0.0,0,2,0,0,3
ENG-Premier League,2425,Manchester Utd,Lisandro Martínez,ARG,DF,26-340,1998,13.8,894,990,90.3,15031,5240,391,412,94.9,453,483,93.8,41,77,53.2,1,0.8,0.9,0.2,6,64,11,2,83
ENG-Premier League,2425,Manchester Utd,Luke Shaw,ENG,DF,29-164,1995,0.8,89,101,88.1,1503,573,48,50,96.0,34,38,89.5,7,11,63.6,0,0.0,0.0,0.0,0,6,0,0,6
ENG-Premier League,2425,Manchester Utd,Manuel Ugarte Ribeiro,URU,MF,23-256,2001,7.2,300,329,91.2,5049,1055,141,155,91.0,134,138,97.1,21,29,72.4,0,0.5,0.4,-0.5,6,23,2,0,23
ENG-Premier League,2425,Manchester Utd,Marcus Rashford,ENG,"FW,MF",27-053,1997,10.9,253,343,73.8,3508,868,168,201,83.6,56,85,65.9,14,28,50.0,1,2.1,1.4,-1.1,15,13,16,8,21
ENG-Premier League,2425,Manchester Utd,Mason Mount,ENG,"MF,FW",25-348,1999,2.7,76,95,80.0,1124,241,43,49,87.8,21,27,77.8,5,9,55.6,0,0.1,0.1,-0.1,4,5,0,0,8
ENG-Premier League,2425,Manchester Utd,Matthijs de Ligt,NED,DF,25-133,1999,12.7,732,799,91.6,12627,3148,264,280,94.3,439,457,96.1,24,52,46.2,0,0.1,0.1,-0.1,2,29,0,0,23
ENG-Premier League,2425,Manchester Utd,Noussair Mazraoui,MAR,DF,27-039,1997,13.9,764,886,86.2,11577,4147,419,462,90.7,300,328,91.5,30,58,51.7,1,0.2,1.0,0.8,5,66,6,2,55
ENG-Premier League,2425,Manchester Utd,Rasmus Højlund,DEN,FW,21-323,2003,8.0,103,129,79.8,1119,262,73,87,83.9,14,20,70.0,3,3,100.0,0,0.9,0.6,-0.9,7,7,2,0,9
ENG-Premier League,2425,Manchester Utd,Scott McTominay,SCO,MF,28-015,1996,0.2,10,10,100.0,186,99,5,5,100.0,3,3,100.0,2,2,100.0,0,0.0,0.0,0.0,0,2,0,0,1
ENG-Premier League,2425,Manchester Utd,Toby Collyer,ENG,MF,20-355,2004,0.5,15,19,78.9,235,37,8,8,100.0,4,5,80.0,2,3,66.7,0,0.1,0.0,-0.1,1,1,0,0,2
ENG-Premier League,2425,Manchester Utd,Tyrell Malacia,NED,DF,25-128,1999,1.0,46,52,88.5,592,223,30,32,93.8,11,12,91.7,2,2,100.0,0,0.1,0.0,-0.1,1,6,1,0,2
ENG-Premier League,2425,Manchester Utd,Victor Lindelöf,SWE,"DF,MF",30-159,1994,0.7,35,38,92.1,534,171,16,19,84.2,17,17,100.0,1,1,100.0,0,0.0,0.0,0.0,1,4,2,1,5
ENG-Premier League,2425,Newcastle Utd,Alexander Isak,SWE,FW,25-093,1999,13.3,217,294,73.8,3199,703,127,155,81.9,70,90,77.8,11,18,61.1,4,2.7,2.2,1.3,24,18,9,0,38
ENG-Premier League,2425,Newcastle Utd,Anthony Gordon,ENG,FW,23-303,2001,14.1,365,503,72.6,5485,1801,203,240,84.6,128,163,78.5,21,57,36.8,3,3.2,3.5,-0.2,36,29,30,13,43
ENG-Premier League,2425,Newcastle Utd,Bruno Guimarães,BRA,MF,27-037,1997,16.4,665,810,82.1,11218,3842,323,366,88.3,270,304,88.8,57,99,57.6,4,2.7,1.6,1.3,19,85,24,3,111
ENG-Premier League,2425,Newcastle Utd,Callum Wilson,ENG,"FW,MF",32-300,1992,0.7,6,8,75.0,63,0,2,2,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2425,Newcastle Utd,Dan Burn,ENG,DF,32-228,1992,16.0,809,893,90.6,14433,4977,287,315,91.1,473,491,96.3,43,68,63.2,0,0.2,0.2,-0.2,2,5,4,0,19
ENG-Premier League,2425,Newcastle Utd,Emil Krafth,SWE,DF,30-143,1994,2.7,59,74,79.7,1018,485,26,33,78.8,29,33,87.9,4,6,66.7,0,0.1,0.0,-0.1,1,3,0,0,1
ENG-Premier League,2425,Newcastle Utd,Fabian Schär,SUI,DF,33-003,1991,14.3,779,937,83.1,15550,6196,270,298,90.6,418,450,92.9,90,179,50.3,0,0.2,0.6,-0.2,1,77,5,0,50
ENG-Premier League,2425,Newcastle Utd,Harvey Barnes,ENG,FW,27-014,1997,8.3,212,271,78.2,3008,966,138,161,85.7,65,90,72.2,7,12,58.3,1,2.4,2.7,-1.4,11,7,20,4,39
ENG-Premier League,2425,Newcastle Utd,Jacob Murphy,ENG,FW,29-303,1995,8.6,235,330,71.2,3746,1220,137,165,83.0,79,105,75.2,16,36,44.4,5,3.0,2.1,2.0,16,21,18,4,39
ENG-Premier League,2425,Newcastle Utd,Joe Willock,ENG,"MF,FW",25-125,1999,5.8,141,176,80.1,1986,433,88,101,87.1,48,58,82.8,4,9,44.4,1,1.1,0.6,-0.1,11,14,3,0,21
ENG-Premier League,2425,Newcastle Utd,Joelinton,BRA,"MF,FW",28-131,1996,14.7,488,589,82.9,7008,1913,307,349,88.0,158,182,86.8,18,34,52.9,0,1.3,1.3,-1.3,15,51,7,1,68
ENG-Premier League,2425,Newcastle Utd,Kieran Trippier,ENG,DF,34-095,1990,3.9,312,379,82.3,5385,1783,155,166,93.4,133,154,86.4,21,50,42.0,0,0.2,0.4,-0.2,3,21,2,0,25
ENG-Premier League,2425,Newcastle Utd,Lewis Hall,ENG,DF,20-106,2004,14.6,855,1057,80.9,14757,6109,411,460,89.3,369,437,84.4,66,128,51.6,2,3.1,2.4,-1.1,24,77,10,2,79
ENG-Premier League,2425,Newcastle Utd,Lewis Miley,ENG,MF,18-236,2006,0.1,15,15,100.0,234,44,8,8,100.0,4,4,100.0,2,2,100.0,0,0.0,0.0,0.0,0,1,0,0,2
ENG-Premier League,2425,Newcastle Utd,Lloyd Kelly,ENG,DF,26-078,1998,3.3,138,169,81.7,2538,839,52,58,89.7,75,83,90.4,10,24,41.7,1,0.5,0.1,0.5,2,5,1,1,9
ENG-Premier League,2425,Newcastle Utd,Martin Dúbravka,SVK,GK,35-343,1989,2.0,70,81,86.4,1382,562,15,15,100.0,50,50,100.0,5,16,31.3,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2425,Newcastle Utd,Miguel Almirón,PAR,FW,30-317,1994,1.6,45,56,80.4,586,183,34,36,94.4,9,12,75.0,1,3,33.3,0,0.2,0.2,-0.2,1,3,1,0,6
ENG-Premier League,2425,Newcastle Utd,Nick Pope,ENG,GK,32-248,1992,15.0,314,441,71.2,7842,4985,76,76,100.0,155,157,98.7,81,205,39.5,0,0.0,0.0,0.0,0,1,0,0,0
ENG-Premier League,2425,Newcastle Utd,Sandro Tonali,ITA,MF,24-229,2000,9.2,353,434,81.3,5439,1504,207,231,89.6,118,146,80.8,21,39,53.8,1,0.3,0.4,0.7,5,37,4,0,32
ENG-Premier League,2425,Newcastle Utd,Sean Longstaff,ENG,MF,27-054,1997,7.9,261,308,84.7,3907,1051,146,166,88.0,96,103,93.2,14,21,66.7,0,0.2,0.2,-0.2,4,24,1,0,38
ENG-Premier League,2425,Newcastle Utd,Valentino Livramento,ENG,DF,22-041,2002,13.3,574,690,83.2,8775,2934,312,354,88.1,236,275,85.8,20,40,50.0,0,0.5,0.5,-0.5,8,39,12,4,58
ENG-Premier League,2425,Newcastle Utd,William Osula,DEN,"FW,MF",21-141,2003,0.3,2,3,66.7,32,19,0,0,,1,2,50.0,0,0,,0,0.1,0.0,-0.1,1,0,1,0,1
ENG-Premier League,2425,Nott'ham Forest,Anthony Elanga,SWE,"FW,MF",22-240,2002,9.8,176,285,61.8,2607,908,100,124,80.6,43,74,58.1,19,53,35.8,2,1.2,1.5,0.8,15,9,6,0,16
ENG-Premier League,2425,Nott'ham Forest,Callum Hudson-Odoi,ENG,"FW,MF",24-046,2000,13.7,392,479,81.8,5579,1102,238,259,91.9,114,140,81.4,23,46,50.0,1,1.6,1.4,-0.6,29,13,15,4,40
ENG-Premier League,2425,Nott'ham Forest,Chris Wood,NZL,FW,33-016,1991,14.7,136,216,63.0,1845,430,87,124,70.2,30,50,60.0,9,13,69.2,0,1.0,0.2,-1.0,6,8,3,1,13
ENG-Premier League,2425,Nott'ham Forest,Danilo,BRA,MF,23-238,2001,0.2,3,3,100.0,85,6,0,0,,2,2,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0
