,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Bournemouth,Milos Kerkez,HUN,DF,21-046,2003,16.2,1,10,1,10.0,0.62,0.06,0.1,1.0,21.4,0,0,0,0.3,0.3,0.03,0.7,0.7
ENG-Premier League,2425,Bournemouth,Neto,BRA,GK,35-157,1989,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Bournemouth,Philip Billing,DEN,MF,28-195,1996,0.9,0,2,0,0.0,2.14,0.0,0.0,,21.0,0,0,0,0.3,0.3,0.17,-0.3,-0.3
ENG-Premier League,2425,Bournemouth,Ryan Christie,SCO,MF,29-305,1995,12.6,1,16,6,37.5,1.27,0.48,0.06,0.17,20.8,0,0,0,0.8,0.8,0.05,0.2,0.2
ENG-Premier League,2425,Bournemouth,Tyler Adams,USA,MF,25-313,1999,5.1,0,5,1,20.0,0.99,0.2,0.0,0.0,17.2,0,0,0,1.1,1.1,0.21,-1.1,-1.1
ENG-Premier League,2425,Brentford,Ben Mee,ENG,DF,35-093,1989,1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Brentford,Bryan Mbeumo,CMR,FW,25-138,1999,16.9,10,26,14,53.8,1.54,0.83,0.31,0.57,18.6,2,2,2,4.9,3.3,0.13,5.1,4.7
ENG-Premier League,2425,Brentford,Christian Nørgaard,DEN,MF,30-288,1994,12.8,1,16,5,31.3,1.25,0.39,0.06,0.2,16.1,0,0,0,1.8,1.8,0.11,-0.8,-0.8
ENG-Premier League,2425,Brentford,Edmond-Paris Maghoma,ENG,MF,23-229,2001,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Brentford,Ethan Pinnock,JAM,DF,31-208,1993,16.0,2,9,6,66.7,0.56,0.37,0.22,0.33,11.2,0,0,0,0.9,0.9,0.1,1.1,1.1
ENG-Premier League,2425,Brentford,Fabio Carvalho,POR,"FW,MF",22-115,2002,4.8,1,10,4,40.0,2.1,0.84,0.1,0.25,16.1,0,0,0,2.1,2.1,0.21,-1.1,-1.1
ENG-Premier League,2425,Brentford,Frank Onyeka,NGA,MF,26-357,1998,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Brentford,Jayden Meghoma,ENG,DF,18-178,2006,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Brentford,Keane Lewis-Potter,ENG,"DF,FW",23-305,2001,14.3,0,14,7,50.0,0.98,0.49,0.0,0.0,20.7,1,0,0,0.9,0.9,0.07,-0.9,-0.9
ENG-Premier League,2425,Brentford,Kevin Schade,GER,FW,23-026,2001,8.4,4,20,9,45.0,2.37,1.07,0.2,0.44,11.2,0,0,0,3.6,3.6,0.18,0.4,0.4
ENG-Premier League,2425,Brentford,Kristoffer Ajer,NOR,DF,26-250,1998,8.0,0,3,2,66.7,0.38,0.25,0.0,0.0,7.9,0,0,0,0.5,0.5,0.17,-0.5,-0.5
ENG-Premier League,2425,Brentford,Mads Roerslev,DEN,DF,25-182,1999,6.3,0,1,0,0.0,0.16,0.0,0.0,,30.1,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Brentford,Mark Flekken,NED,GK,31-193,1993,17.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Brentford,Mathias Jensen,DEN,MF,28-357,1996,5.3,0,5,1,20.0,0.94,0.19,0.0,0.0,21.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2
ENG-Premier League,2425,Brentford,Mikkel Damsgaard,DEN,"MF,FW",24-173,2000,13.2,2,16,6,37.5,1.21,0.45,0.13,0.33,15.3,2,0,0,1.6,1.6,0.1,0.4,0.4
