,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Manchester Utd,Antony,BRA,"FW,MF",24-303,2000,4,0,53,0.6,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,2,1,1,0.0,0.0,0.0,0.0,0.0,0.38,0.12,0.5,0.38,0.5
ENG-Premier League,2425,Manchester Utd,Bruno Fernandes,POR,"MF,FW",30-106,1994,17,17,1429,15.9,4,5,9,2,2,2,1,1,6.2,4.6,4.2,8.7,37,122,81,0.25,0.31,0.57,0.13,0.44,0.39,0.26,0.65,0.29,0.55
ENG-Premier League,2425,Manchester Utd,Casemiro,BRA,MF,32-304,1992,12,9,745,8.3,1,0,1,1,0,0,1,0,1.0,1.0,2.0,2.9,3,40,15,0.12,0.0,0.12,0.12,0.12,0.11,0.24,0.35,0.11,0.35
ENG-Premier League,2425,Manchester Utd,Christian Eriksen,DEN,MF,32-313,1992,9,6,507,5.6,0,0,0,0,0,0,2,0,0.1,0.1,1.7,1.8,4,27,15,0.0,0.0,0.0,0.0,0.0,0.02,0.29,0.31,0.02,0.31
ENG-Premier League,2425,Manchester Utd,Diogo Dalot,POR,DF,25-280,1999,17,17,1496,16.6,0,1,1,0,0,0,3,0,1.2,1.2,1.2,2.3,22,55,70,0.0,0.06,0.06,0.0,0.06,0.07,0.07,0.14,0.07,0.14
ENG-Premier League,2425,Manchester Utd,Harry Maguire,ENG,DF,31-293,1993,10,6,540,6.0,0,0,0,0,0,0,4,0,0.0,0.0,0.1,0.1,1,19,0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02
ENG-Premier League,2425,Manchester Utd,Jonny Evans,NIR,DF,36-355,1988,6,3,290,3.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,8,2,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03
ENG-Premier League,2425,Manchester Utd,Joshua Zirkzee,NED,"FW,MF",23-215,2001,17,6,660,7.3,3,1,4,3,0,0,1,0,3.0,3.0,0.8,3.8,5,20,30,0.41,0.14,0.55,0.41,0.55,0.41,0.11,0.52,0.41,0.52
ENG-Premier League,2425,Manchester Utd,Kobbie Mainoo,ENG,MF,19-248,2005,11,10,907,10.1,0,0,0,0,0,0,5,0,0.3,0.3,1.1,1.4,14,38,20,0.0,0.0,0.0,0.0,0.0,0.03,0.11,0.14,0.03,0.14
ENG-Premier League,2425,Manchester Utd,Leny Yoro,FRA,DF,19-040,2005,4,1,154,1.7,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,1,3,0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.25
