,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Tottenham,Destiny Udogie,ITA,DF,22-025,2002,16,1301,81,85.0,14.5,16,81,10,0,,1,1.44,30,19,11,0.76,-0.42,26.0,22.4,3.6,0.25,0.28
ENG-Premier League,2425,Tottenham,Djed Spence,ENG,DF,24-136,2000,6,231,39,15.1,2.6,2,83,1,4,16,8,2.17,12,6,6,2.34,1.78,7.0,6.1,0.9,0.35,0.17
ENG-Premier League,2425,Tottenham,Dominic Solanke,ENG,FW,27-100,1997,14,1238,88,80.9,13.8,14,88,11,0,,0,1.36,33,22,11,0.8,-0.12,26.9,24.0,2.9,0.21,0.03
ENG-Premier League,2425,Tottenham,Fraser Forster,ENG,GK,36-281,1988,5,450,90,29.4,5.0,5,90,5,0,,11,0.8,12,12,0,0.0,-1.17,8.0,13.2,-5.2,-1.05,-1.78
ENG-Premier League,2425,Tottenham,Guglielmo Vicario,ITA,GK,28-077,1996,12,1080,90,70.6,12.0,12,90,12,0,,0,1.58,27,13,14,1.17,1.17,23.8,15.1,8.7,0.73,1.78
ENG-Premier League,2425,Tottenham,James Maddison,ENG,MF,28-030,1996,17,1082,64,70.7,12.0,14,75,0,3,9,0,1.35,26,17,9,0.75,-0.26,21.1,19.4,1.7,0.15,-0.21
ENG-Premier League,2425,Tottenham,Luca Williams Barnett,ENG,FW,16-083,2008,0,,,,,0,,0,0,,1,,,,,,,,,,,
ENG-Premier League,2425,Tottenham,Lucas Bergvall,SWE,MF,18-325,2006,11,204,19,13.3,2.3,1,90,1,10,11,6,1.55,10,3,7,3.09,2.61,6.9,4.6,2.3,1.01,0.93
ENG-Premier League,2425,Tottenham,Maeson King,ENG,DF,19-105,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,
ENG-Premier League,2425,Tottenham,Malachi Hardy,ENG,DF,16-288,2008,0,,,,,0,,0,0,,2,,,,,,,,,,,
