playerid,footed,Id,Name
/en/players/874125a3/Carl-Jenkinson,Right Foot,874125a3,Carl-Jenkinson
/en/players/a48da055/Stefan-Johansen,Left Foot,a48da055,Stefan-Johansen
/en/players/4701e130/Tyreke-Johnson,Right Foot,4.70E+133,Tyreke-Johnson
/en/players/6265208f/Joselu,Right Foot,6265208f,Joselu
/en/players/5bddccc9/Elias-Kachunga,Right Foot,5bddccc9,Elias-Kachunga
/en/players/26679cdf/Beram-Kayal,Right Foot,26679cdf,Beram-Kayal
/en/players/6c679c6d/Anthony-Knockaert,Left Foot,6c679c6d,Anthony-Knockaert
/en/players/d2bff301/Vincent-Kompany,Right Foot,d2bff301,Vincent-Kompany
/en/players/f5efb153/Laurent-Koscielny,Right Foot,f5efb153,Laurent-Koscielny
/en/players/1931bde9/Rajiv-van-La-Parra,Right Foot,1931bde9,Rajiv-van-La-Parra
/en/players/99b1d0e6/Stephan-Lichtsteiner,Right Foot,99b1d0e6,Stephan-Lichtsteiner
/en/players/82dbf623/Fernando-Llorente,Right Foot,82dbf623,Fernando-Llorente
/en/players/c6896eab/Chris-Lowe,Left Foot,c6896eab,Chris-Lowe
/en/players/e3e6502a/Gary-Madine,Right Foot,e3e6502a,Gary-Madine
/en/players/723ba189/Lazar-Markovic,Right Foot,723ba189,Lazar-Markovic
/en/players/00963611/Konstantinos-Mavropanos,Right Foot,963611,Konstantinos-Mavropanos
/en/players/d368feb8/Alfie-Mawson,Right Foot,d368feb8,Alfie-Mawson
/en/players/aa1a8c7e/Isaac-Mbenza,Right Foot,aa1a8c7e,Isaac-Mbenza
/en/players/71a08f97/Kevin-McDonald,Right Foot,71a08f97,Kevin-McDonald
/en/players/b4b2f632/Nathaniel-Mendez-Laing,Right Foot,b4b2f632,Nathaniel-Mendez-Laing
/en/players/129af0db/Alvaro-Morata,Right Foot,129af0db,Alvaro-Morata
/en/players/11b9265b/Alberto-Moreno,Left Foot,11b9265b,Alberto-Moreno
/en/players/09fec029/Sean-Morrison,Right Foot,09fec029,Sean-Morrison
/en/players/e726e11e/Victor-Moses,Right Foot,e726e11e,Victor-Moses
/en/players/19ba6c6d/Steve-Mounie,Right Foot,19ba6c6d,Steve-Mounie
/en/players/b30c7426/Josh-Murphy,Right Foot,b30c7426,Josh-Murphy
/en/players/165bed61/Samir-Nasri,Right Foot,165bed61,Samir-Nasri
/en/players/c2846353/Marc-Navarro,Right Foot,c2846353,Marc-Navarro
/en/players/6cafd68d/Havard-Nordtveit,Right Foot,6cafd68d,Havard-Nordtveit
/en/players/ba1e04b3/Pedro-Obiang,Right Foot,ba1e04b3,Pedro-Obiang
/en/players/601ef102/Stefano-Okaka,Right Foot,601ef102,Stefano-Okaka
/en/players/68796d61/Shinji-Okazaki,Right Foot,68796d61,Shinji-Okazaki
